Datetime,ESP1950,ESP1951,ESP1952,ESP1953,ESP1954,ESP1955,ESP1956,ESP1957,ESP1958,ESP1959,ESP1960,ESP1961,ESP1962,ESP1963,ESP1964,ESP1965,ESP1966,ESP1967,ESP1968,ESP1969,ESP1970,ESP1971,ESP1972,ESP1973,ESP1974,ESP1975,ESP1976,ESP1977,ESP1978,ESP1979,ESP1980,ESP1981,ESP1982,ESP1983,ESP1984,ESP1985,ESP1986,ESP1987,ESP1988,ESP1989,ESP1990,ESP1991,ESP1992,ESP1993,ESP1994,ESP1995,ESP1996,ESP1997,ESP1998,ESP1999,ESP2000,ESP2001,ESP2002,ESP2003,ESP2004,ESP2005,ESP2006,ESP2007,ESP2008
2019-02-25,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501,110.45501
2019-02-26,109.27879999999999,109.175004,109.1625,109.86750599999999,109.2163,109.1613,109.15130400000001,109.1613,109.1613,109.30879999999999,109.1613,109.1625,109.15379999999999,109.49380000000002,109.1625,109.83879999999999,109.15379999999999,109.1625,109.804995,109.1613,109.73880400000002,109.15379999999999,109.175004,109.34749999999998,109.16380600000001,109.2725,109.1613,109.1625,109.307505,109.1625,109.205,109.1613,109.16380600000001,109.1613,109.1688,109.1625,110.5788,109.1688,110.49249999999999,109.4175,109.93130000000001,109.93,109.94380000000001,109.152496,109.18251,109.8875,109.1688,109.2525,109.1688,109.1625,109.1613,109.15379999999999,109.16380600000001,109.1625,109.1613,109.5113,109.561294,109.1613,109.16380600000001
2019-02-27,119.13999,108.01500000000001,108.52630400000001,128.81878,110.47629999999998,107.86880000000002,107.74249999999999,107.88130000000001,107.873805,113.15129999999999,107.873805,107.92,107.84501,125.15129,107.92750000000001,127.40129,107.83251000000001,108.21130000000001,129.23129,107.83,124.966286,107.842505,107.94251,117.95629600000001,107.98130000000002,111.1413,107.873805,107.9688,110.3175,107.92,124.34998999999999,107.873805,107.99249999999999,107.873805,107.90500999999999,108.109996,183.67253,107.907504,144.73127,115.06249,128.95128,130.25498,136.65378,107.8163,110.78499,130.78628,107.88130000000001,110.69380500000001,107.907504,107.95999999999998,107.8413,107.8338,108.33999499999999,107.97129999999999,107.83,118.05879,120.60999,107.873805,107.965
2019-02-28,174.14004,106.59880000000001,123.09379,188.70503,135.09747,106.378704,106.23751,107.0125,106.4625,147.02497,106.4625,106.497504,106.437504,200.69122000000002,106.64120000000001,166.74505,106.42125,114.143796,205.12122,106.2963,166.16875000000002,106.42,107.04125,152.26626,106.65630000000002,113.3363,106.4625,106.77620999999999,128.10247999999999,106.497504,265.995,106.4625,107.4625,106.4625,106.42999999999999,111.94129,481.10744,106.468804,250.90748000000002,134.30879000000002,167.27754000000002,188.55003000000002,264.92375000000004,106.40751,139.02748,202.80620000000002,106.41120400000001,118.778795,106.47999999999999,106.5737,106.39000000000001,106.56000999999999,117.10379,106.80250000000001,106.2963,150.72876,153.90627,106.455006,107.3925
2019-03-01,207.28381000000002,105.2263,155.40496000000002,250.90128,164.71995,105.1125,105.06751,119.16749999999999,105.20750000000001,213.67249999999999,105.20750000000001,105.2663,105.23501,215.9275,105.39751,169.25755,105.16500500000001,143.63126,300.63254,105.09501,210.47120999999999,105.1437,122.51998999999999,155.92495,105.280004,111.017495,105.21880000000002,106.662504,151.51746999999997,105.2663,443.7063,105.20750000000001,123.37998,105.21880000000002,105.3175,143.83246,645.88374,105.21880000000002,336.2937,145.96376999999998,211.225,231.57498,373.70375,105.1613,154.38376,279.09124,105.1437,122.21879,105.37121,105.205,105.155006,106.83001,151.75126,105.641246,105.09501,191.28372,161.59874,105.19380000000001,124.39998
2019-03-02,187.21373,104.1425,157.26876000000001,235.96498,154.18747,104.09251,104.06121,132.10878,104.12750400000002,223.4675,104.12750400000002,104.18130500000001,104.15619999999998,167.92004999999997,104.306206,137.08128,104.116306,161.18625,291.47124,104.07371,205.51372,104.096204,138.20247,130.42748,104.17371,110.1838,104.13371000000001,105.71500999999999,142.84497,104.18130500000001,357.32129999999995,104.12750400000002,138.45997,104.13371000000001,104.32249999999999,164.38125,490.83504,104.13371000000001,293.37870000000004,134.83998,213.25874,211.27870000000001,325.755,104.116306,132.44379,255.70998,104.096204,113.23249,104.346305,104.1425,104.116306,107.09749999999998,164.38875,104.48871,104.07371,187.76123,133.19628,104.12251,140.47877
2019-03-03,173.96374,103.20501,130.56248000000002,171.50374,131.02876999999998,103.18001,103.1462,118.91749,103.20501,202.76121999999998,103.20251,103.236206,103.19621,143.64746,103.30751000000001,121.81879599999999,103.19251,152.78126,257.57006,103.16501,156.33996,103.18001,121.58499,117.86998999999999,103.24120500000001,110.7513,103.20501,103.87871,136.47377,103.236206,223.8038,104.21631000000001,122.94378999999999,103.20501,104.29871,144.41377,354.86495,104.76249999999999,198.70122,119.836286,177.77254000000002,160.09375,264.11375,103.18871,185.65752999999998,199.36252,103.18001,107.89500000000001,103.28121,103.21251,103.19251,104.59371,134.06248000000002,103.76370999999999,103.16501,147.46496000000002,119.08499,103.19251,131.93248
2019-03-04,227.9038,102.35501,117.763795,144.56497,144.98247,102.32500999999999,102.30499999999999,132.14128,102.35871,244.88878,102.34751,102.381214,102.34251,140.17627,102.4162,120.42748999999999,102.35000400000001,151.27127000000002,326.71002,102.32500999999999,133.99379,102.32500999999999,113.22629500000001,116.12750000000001,102.381214,127.76877999999999,102.35751,102.74121,147.88496,102.381214,210.70999999999998,131.86997,136.74627,110.35879999999999,128.88628,131.84377999999998,463.83002,164.10625000000002,171.89373,112.925,182.99754,145.83625999999998,312.1525,102.345005,393.23872,177.36503000000002,102.32500999999999,105.81501,102.40621,102.36001,102.35000400000001,103.0175,119.81499,113.4575,102.32500999999999,139.11128,114.24749,102.34251,146.49126
2019-03-05,386.10625,101.56871000000001,113.295,164.17006,223.52749,101.54750999999999,101.53371,252.43998000000002,101.57750999999999,299.00503000000003,101.573706,101.59000999999999,101.55621,132.81998000000002,101.62371,180.30503000000002,101.56121,133.00748000000002,451.87747,101.53621,126.22379000000001,101.54750999999999,155.03376999999998,163.58005,101.58121,163.81755,101.57001,101.89121,158.55876,101.59000999999999,307.36002,211.35375000000002,227.9825,230.80748,171.33126000000001,120.36379,798.26504,406.64372,215.95632,110.11130000000001,187.71254000000002,246.18126,347.4988,101.57500999999999,713.7774999999999,153.30376,101.54871,104.563706,101.62371,101.583704,101.56121,102.09621000000001,139.00997,134.24878,101.53621,180.61122,111.79129999999999,101.55621,151.10376
2019-03-06,456.90498,100.84371,110.957496,270.20624,328.45628,100.821204,100.82001,308.10502,100.940004,340.8363,100.84371,100.85501,100.83751000000001,134.96128,100.89750599999999,258.29627999999997,100.83751000000001,123.71248999999999,510.8625,100.81121,122.06749,100.821204,241.87998,196.89871,100.85121,224.99749,100.84000999999999,101.64001,214.22870000000003,108.485006,403.97623,225.8188,271.58004,318.51122,196.10503,114.41130000000001,786.235,639.97257,327.24749999999995,108.32629999999999,174.74374,406.61496000000005,351.7975,103.561305,674.9249699999999,139.90748,101.78371,103.48751,100.89121,100.85501,109.42249999999999,102.00001,222.075,146.64246,100.81121,269.31500000000005,109.875,101.62871,141.55877
