Datetime,ESP1950,ESP1951,ESP1952,ESP1953,ESP1954,ESP1955,ESP1956,ESP1957,ESP1958,ESP1959,ESP1960,ESP1961,ESP1962,ESP1963,ESP1964,ESP1965,ESP1966,ESP1967,ESP1968,ESP1969,ESP1970,ESP1971,ESP1972,ESP1973,ESP1974,ESP1975,ESP1976,ESP1977,ESP1978,ESP1979,ESP1980,ESP1981,ESP1982,ESP1983,ESP1984,ESP1985,ESP1986,ESP1987,ESP1988,ESP1989,ESP1990,ESP1991,ESP1992,ESP1993,ESP1994,ESP1995,ESP1996,ESP1997,ESP1998,ESP1999,ESP2000,ESP2001,ESP2002,ESP2003,ESP2004,ESP2005,ESP2006,ESP2007,ESP2008
2019-02-26,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613,109.1613
2019-02-27,107.8813,107.878804,107.878804,108.36501,107.87251,107.8688,107.878804,107.87251,107.87251,107.8813,107.8688,107.878804,107.87251,107.8813,107.878804,107.8813,107.878804,107.8813,107.8875,107.878804,107.8813,107.878804,107.88,107.878804,107.87251,107.87251,107.87251,107.878804,107.8813,107.878804,107.9813,107.873805,107.87251,107.878804,107.878804,107.878804,108.995,107.878804,108.471304,107.8813,107.8813,108.2425,108.03001,107.878804,107.878804,108.2425,107.8688,107.8813,107.878804,107.878804,107.8688,107.87251,107.8813,107.878804,107.878804,107.956246,107.8813,107.878804,107.8813
2019-02-28,108.41,106.465004,106.4788,124.11129,106.405005,106.382504,106.46751,106.580004,106.3963,110.4663,106.382504,106.4788,106.4388,107.2963,106.48,107.0175,106.48,107.8688,114.6,106.46751,110.305,106.468804,123.89879,106.745005,106.4175,107.1113,106.42125,106.76501,107.8763,106.4788,145.89748,107.1875,106.405005,106.4788,106.6475,106.48,165.44625,106.892504,131.43499,106.892504,109.786294,120.05999,128.63249,106.46751,106.683746,126.77878,106.382504,106.5625,106.46751,106.465004,106.385,106.441304,107.46,106.468804,106.46751,112.215005,107.9013,106.465004,107.259996
2019-03-01,141.23496,105.16751,105.2825,197.56372,105.29,105.12251,105.1775,109.5788,105.138704,169.79754,105.12251,105.276205,105.228804,124.73249,105.3538,119.04749,105.3538,137.55247,206.45131,105.1775,169.12375,105.185,305.94003,112.0875,105.2312,125.28628,105.352506,112.6925,136.98877,105.276205,350.70497,125.44999,105.29,105.276205,109.5275,105.34375,392.97,117.341295,251.05876,112.89629,162.92125,193.15502,280.05505,105.1775,110.50379,223.42251,105.12251,105.42881,105.1775,105.16751,105.2513,105.330005,128.63497,105.185,105.1775,175.54624,138.63127,105.16751,123.87129
2019-03-02,164.41375,104.116306,104.2025,218.785,104.25251,104.09371,104.116306,113.05,104.112506,206.63622,104.09371,104.195,104.1325,140.85998,104.351304,131.91748,104.35251,162.34624,243.13378,104.116306,202.03121,104.12501,339.6325,117.989995,104.14751,143.62878,104.40371,119.02999,160.39877,104.195,335.29,143.47248,104.25251,104.195,112.822495,104.342505,382.72622,128.51128,265.45376,119.06129,195.15373,217.3488,302.64372,104.1188,116.62499,233.9388,104.09371,104.37121,104.1188,104.1188,104.37121,104.33381,147.53747,104.12621,104.1188,207.82752,165.22376,104.116306,139.81627
2019-03-03,140.88628,103.19251,103.24371,160.38124,104.32871,103.18001,103.19251,108.49751,103.19251,170.54494,103.18001,103.2387,103.19251,123.05379,103.2875,119.041294,103.29371,136.18998,201.04751,103.19251,152.01506,103.19251,208.47501,110.8725,103.19621,124.89749,103.31371,111.23999,132.52129,103.2387,209.02501,131.80998,103.25371,103.463806,109.7938,103.3125,274.96123,118.751295,178.32123,111.28879,153.87997,159.33995,229.6513,103.2038,160.96255,166.78256,103.18001,103.392504,103.2012,103.2038,103.318706,103.3762,126.13499,103.20501,103.2038,155.22125,135.24748,103.19251,122.83129
2019-03-04,177.56374,102.34251,102.39501,135.30748,132.81879,102.32501,102.345005,117.335,102.3512,197.76872,102.32501,102.38501,102.34251,126.83879,102.40621,133.91627,102.40871,133.51378,236.03249,102.350004,127.74248,102.34251,157.13996,108.4863,102.34251,125.57998,102.41121,106.2175,127.19,102.381214,191.07252,181.27003,102.62001,110.693745,148.69997,102.41251,314.7475,182.80873,146.44246,106.27501,146.65127,132.94879,249.67627,102.35501,323.29625,137.38248,102.32501,102.49621,102.34621,102.35501,102.41251,102.45871,120.83879,102.35501,102.35501,140.72748,118.476294,102.345005,127.49998
2019-03-05,336.07373,101.55621,101.60631,175.22873,219.155,101.54751,101.56501,143.11127,101.78751,272.13627,101.54751,101.60501,101.55621,139.67128,101.62371,233.28379,101.62371,138.42247,366.88876,101.56121,120.248795,101.55621,143.20996,113.9238,101.55621,162.05256,101.62371,104.338706,168.69874,102.6925,284.73756,301.17372,116.58629,169.92255,204.46251,101.62371,465.8425,472.29257,192.55002,104.3537,169.00375,147.58377,329.06118,102.97871,517.1513,127.79379,102.203704,101.645015,101.56501,101.57501,104.33251,102.192506,156.43375,101.67371,101.56871,194.24002,113.1063,101.665005,140.28747
2019-03-06,470.82996,100.83751,100.88001,313.23,352.46128,100.821204,100.85121,309.3113,121.92879,357.67996,100.821204,100.88001,100.84121,159.85996,100.89121,336.29,100.89121,146.91247,500.12875,100.84121,117.248796,100.83751,200.71131,142.99127,100.83751,256.39626,100.89121,106.07251,318.58128,154.43495,556.685,314.3663,254.55746,319.63623,242.44128,100.89121,627.4513,810.54753,394.06124,104.87001,209.9875,339.2263,413.4612,140.81378,667.0675,123.15379,136.48628,100.97371,100.85121,100.85501,177.10254,119.07129,269.47755,110.4925,100.85121,331.7825,110.6325,113.9675,154.29495
2019-03-07,599.37626,100.15501,100.19251,445.3288,514.4525,100.15121,100.17871,444.515,290.58504,456.5088,158.90376,100.19251,100.175016,245.88247,100.20871,392.36,111.4975,234.7513,664.4762,100.16751,155.35747,100.158714,651.9137,183.88623,100.16621,351.77127,100.20871,171.80374,660.98124,424.58004,577.8438,252.11996,341.20128,470.48128,298.23378,100.20871,787.08,1032.465,926.5764,203.16501,246.44998,379.57373,522.0162,257.01746,601.87125,119.831294,336.55,102.24251,100.17871,100.18121,455.055,190.00502,524.61755,222.665,100.272514,523.63,108.7888,323.9638,208.72252
