     Measure	       Value	       Units
----------------------------------------
Frequency Meeting Dry Year Fish Targets Scott	      69.7727	    % of Days
Frequency Meeting Dry Year Fish Targets Shasta	      57.6070	    % of Days
Mean Annual Water Delivery to LKNWR	      14.0333	          KAF
Mean Annual Hydropower Generated (MW)	   25147.6534	           MW
Boyle Mean Spill Volume per Year	     341.6041	          KAF
Copco1 Mean Spill Volume per Year	     374.9456	          KAF
Iron Gate Mean Spill Volume per Year	     687.8628	          KAF
Boyle Mean Spill Days per Year	     203.5333	         days
Copco1 Mean Spill Days per Year	      51.2333	         days
Iron Gate Mean Spill Days per Year	     135.2667	         days
Freq of UKL Flood Control Release	      41.4712	 Percent of Days
Mean Ann UKL Flood Control Release Volume	     311.3883	          KAF
KenoReach Mean Ann Fishing Days	     241.4333	         days
BoyleReach Mean Ann Fishing Days	     163.2333	         days
HellsCornerReach Mean Ann Fishing Days	     253.4667	         days
IGScottReach Mean Ann Fishing Days	     276.7333	         days
ScottSalmonReach Mean Ann Fishing Days	     191.6000	         days
SalmonTrinityReach Mean Ann Fishing Days	     220.3333	         days
TrinityOceanReach Mean Ann Fishing Days	     251.7333	         days
KenoReach Mean Ann Boating Days	     167.2000	         days
BoyleReach Mean Ann Boating Days	      51.3667	         days
HellsCornerReach Mean Ann Boating Days	     173.3000	         days
IGScottReach Mean Ann Boating Days	     276.7333	         days
ScottSalmonReach Mean Ann Boating Days	     243.3000	         days
SalmonTrinityReach Mean Ann Boating Days	     220.3333	         days
TrinityOceanReach Mean Ann Boating Days	     251.7333	         days
Mean Project Supply (Apr-Sep)	     361.6493	          KAF
Mean Annual UKL Stg and Inflow	    1381.3562	          KAF
 Mean Annual Shasta Flow	     198.2554	          cfs
  Mean Annual Scott Flow	     766.2631	          cfs
        Mean Annual MWAT	      80.8357	         degF
Mean exceedence of MWAT - Poor	      17.1557	         degF
