"measure","scenario","period","climset","strategy","value_hist","pctchange","colournm"
"HellsCornerReach Mean Ann Fishing Days","2",2030,"CMIP5","Add 30KAF",220.4333,14.6832171001387,"4"
"HellsCornerReach Mean Ann Fishing Days","3",2030,"CMIP3","Baseline",220.4333,10.5549842061068,"3"
"HellsCornerReach Mean Ann Fishing Days","3",2030,"CMIP3","Reduce ET 30%",220.4333,10.0257084569346,"3"
"HellsCornerReach Mean Ann Fishing Days","3",2030,"CMIP3","Reduce ET 50%",220.4333,9.69304546999025,"3"
"HellsCornerReach Mean Ann Fishing Days","3",2030,"CMIP3","Add 30KAF",220.4333,9.20913491745576,"3"
"HellsCornerReach Mean Ann Fishing Days","3",2030,"CMIP5","Baseline",220.4333,10.6457145993822,"3"
"HellsCornerReach Mean Ann Fishing Days","3",2030,"CMIP5","Reduce ET 30%",220.4333,10.2978996367609,"3"
"HellsCornerReach Mean Ann Fishing Days","3",2030,"CMIP5","Reduce ET 50%",220.4333,10.0257084569346,"3"
"HellsCornerReach Mean Ann Fishing Days","3",2030,"CMIP5","Add 30KAF",220.4333,9.46621948680168,"3"
"HellsCornerReach Mean Ann Fishing Days","4",2030,"CMIP3","Baseline",220.4333,24.9357515402618,"4"
"HellsCornerReach Mean Ann Fishing Days","4",2030,"CMIP3","Reduce ET 30%",220.4333,24.6635603604356,"4"
"HellsCornerReach Mean Ann Fishing Days","4",2030,"CMIP3","Reduce ET 50%",220.4333,24.119178000783,"4"
"HellsCornerReach Mean Ann Fishing Days","4",2030,"CMIP3","Add 30KAF",220.4333,23.484065247855,"4"
"HellsCornerReach Mean Ann Fishing Days","4",2030,"CMIP5","Baseline",220.4333,23.1967674575484,"4"
"HellsCornerReach Mean Ann Fishing Days","4",2030,"CMIP5","Reduce ET 30%",220.4333,22.9094243020451,"4"
"HellsCornerReach Mean Ann Fishing Days","4",2030,"CMIP5","Reduce ET 50%",220.4333,22.5011375323057,"4"
"HellsCornerReach Mean Ann Fishing Days","4",2030,"CMIP5","Add 30KAF",220.4333,21.4879965957956,"4"
"HellsCornerReach Mean Ann Fishing Days","5",2030,"CMIP3","Baseline",220.4333,16.1953751996636,"4"
"HellsCornerReach Mean Ann Fishing Days","5",2030,"CMIP3","Reduce ET 30%",220.4333,15.5300492257749,"4"
"HellsCornerReach Mean Ann Fishing Days","5",2030,"CMIP3","Reduce ET 50%",220.4333,15.1973408736339,"4"
"HellsCornerReach Mean Ann Fishing Days","5",2030,"CMIP3","Add 30KAF",220.4333,14.2749303303993,"4"
"HellsCornerReach Mean Ann Fishing Days","5",2030,"CMIP5","Baseline",220.4333,13.1256938039761,"3"
"HellsCornerReach Mean Ann Fishing Days","5",2030,"CMIP5","Reduce ET 30%",220.4333,12.5661594686465,"3"
"HellsCornerReach Mean Ann Fishing Days","5",2030,"CMIP5","Reduce ET 50%",220.4333,12.3695920716153,"3"
"HellsCornerReach Mean Ann Fishing Days","5",2030,"CMIP5","Add 30KAF",220.4333,11.6437489254119,"3"
"IGScottReach Mean Ann Fishing Days","1",2030,"CMIP3","Baseline",274.7333,-2.20817789470734,"2"
"IGScottReach Mean Ann Fishing Days","1",2030,"CMIP3","Reduce ET 30%",274.7333,-2.18393620285564,"2"
"IGScottReach Mean Ann Fishing Days","1",2030,"CMIP3","Reduce ET 50%",274.7333,-2.18393620285564,"2"
"IGScottReach Mean Ann Fishing Days","1",2030,"CMIP3","Add 30KAF",274.7333,-2.77844003620965,"2"
"IGScottReach Mean Ann Fishing Days","1",2030,"CMIP5","Baseline",274.7333,-0.121317656068634,"2"
"IGScottReach Mean Ann Fishing Days","1",2030,"CMIP5","Reduce ET 30%",274.7333,-0.279034248851516,"2"
"IGScottReach Mean Ann Fishing Days","1",2030,"CMIP5","Reduce ET 50%",274.7333,-0.279034248851516,"2"
"IGScottReach Mean Ann Fishing Days","1",2030,"CMIP5","Add 30KAF",274.7333,-0.606624679279854,"2"
"IGScottReach Mean Ann Fishing Days","2",2030,"CMIP3","Baseline",274.7333,2.63288068828934,"3"
"IGScottReach Mean Ann Fishing Days","2",2030,"CMIP3","Reduce ET 30%",274.7333,2.65712238014104,"3"
"IGScottReach Mean Ann Fishing Days","2",2030,"CMIP3","Reduce ET 50%",274.7333,2.72992025356955,"3"
"IGScottReach Mean Ann Fishing Days","2",2030,"CMIP3","Add 30KAF",274.7333,2.08689663757543,"3"
"IGScottReach Mean Ann Fishing Days","2",2030,"CMIP5","Baseline",274.7333,1.0191702279993,"3"
"IGScottReach Mean Ann Fishing Days","2",2030,"CMIP5","Reduce ET 30%",274.7333,1.00704938207346,"3"
"IGScottReach Mean Ann Fishing Days","2",2030,"CMIP5","Reduce ET 50%",274.7333,1.00704938207346,"3"
"IGScottReach Mean Ann Fishing Days","2",2030,"CMIP5","Add 30KAF",274.7333,0.837175544428,"3"
"IGScottReach Mean Ann Fishing Days","3",2030,"CMIP3","Baseline",274.7333,-3.14242940335226,"2"
"IGScottReach Mean Ann Fishing Days","3",2030,"CMIP3","Reduce ET 30%",274.7333,-3.23950536756919,"2"
"IGScottReach Mean Ann Fishing Days","3",2030,"CMIP3","Reduce ET 50%",274.7333,-3.27590430428346,"2"
"IGScottReach Mean Ann Fishing Days","3",2030,"CMIP3","Add 30KAF",274.7333,-3.36082302363783,"2"
"IGScottReach Mean Ann Fishing Days","3",2030,"CMIP5","Baseline",274.7333,-1.65007299806758,"2"
"IGScottReach Mean Ann Fishing Days","3",2030,"CMIP5","Reduce ET 30%",274.7333,-1.58939597056491,"2"
"IGScottReach Mean Ann Fishing Days","3",2030,"CMIP5","Reduce ET 50%",274.7333,-1.84418852756473,"2"
"IGScottReach Mean Ann Fishing Days","3",2030,"CMIP5","Add 30KAF",274.7333,-2.01406236521019,"2"
"IGScottReach Mean Ann Fishing Days","4",2030,"CMIP3","Baseline",274.7333,3.79764666314568,"3"
"IGScottReach Mean Ann Fishing Days","4",2030,"CMIP3","Reduce ET 30%",274.7333,3.78548941828313,"3"
"IGScottReach Mean Ann Fishing Days","4",2030,"CMIP3","Reduce ET 50%",274.7333,3.83404559985995,"3"
"IGScottReach Mean Ann Fishing Days","4",2030,"CMIP3","Add 30KAF",274.7333,3.54285410614586,"3"
"IGScottReach Mean Ann Fishing Days","4",2030,"CMIP5","Baseline",274.7333,4.65906389942537,"3"
"IGScottReach Mean Ann Fishing Days","4",2030,"CMIP5","Reduce ET 30%",274.7333,4.54986708928259,"3"
"IGScottReach Mean Ann Fishing Days","4",2030,"CMIP5","Reduce ET 50%",274.7333,4.35575155978544,"3"
"IGScottReach Mean Ann Fishing Days","4",2030,"CMIP5","Add 30KAF",274.7333,4.34363071385959,"3"
"IGScottReach Mean Ann Fishing Days","5",2030,"CMIP3","Baseline",274.7333,2.03834045599861,"3"
"IGScottReach Mean Ann Fishing Days","5",2030,"CMIP3","Reduce ET 30%",274.7333,2.01409876414691,"3"
"IGScottReach Mean Ann Fishing Days","5",2030,"CMIP3","Reduce ET 50%",274.7333,1.95342173664424,"3"
"IGScottReach Mean Ann Fishing Days","5",2030,"CMIP3","Add 30KAF",274.7333,1.57731152357579,"3"
"IGScottReach Mean Ann Fishing Days","5",2030,"CMIP5","Baseline",274.7333,0.0606770275026696,"3"
"IGScottReach Mean Ann Fishing Days","5",2030,"CMIP5","Reduce ET 30%",274.7333,0.0606770275026696,"3"
"IGScottReach Mean Ann Fishing Days","5",2030,"CMIP5","Reduce ET 50%",274.7333,0.036398936714269,"3"
"IGScottReach Mean Ann Fishing Days","5",2030,"CMIP5","Add 30KAF",274.7333,-0.279034248851516,"2"
"KenoReach Mean Ann Fishing Days","1",2030,"CMIP3","Baseline",247.6667,-7.86003931897183,"2"
"KenoReach Mean Ann Fishing Days","1",2030,"CMIP3","Reduce ET 30%",247.6667,-7.96772436504382,"2"
"KenoReach Mean Ann Fishing Days","1",2030,"CMIP3","Reduce ET 50%",247.6667,-7.72546329401571,"2"
"KenoReach Mean Ann Fishing Days","1",2030,"CMIP3","Add 30KAF",247.6667,-9.89232706698155,"2"
"KenoReach Mean Ann Fishing Days","1",2030,"CMIP5","Baseline",247.6667,-5.69313516916081,"2"
"KenoReach Mean Ann Fishing Days","1",2030,"CMIP5","Reduce ET 30%",247.6667,-5.85464254984622,"2"
