     Measure	       Value	       Units
----------------------------------------
Frequency Meeting Dry Year Fish Targets Scott	      65.3737	    % of Days
Frequency Meeting Dry Year Fish Targets Shasta	      50.7164	    % of Days
Mean Annual Water Delivery to LKNWR	      16.1491	          KAF
Mean Annual Hydropower Generated (MW)	   24900.6662	           MW
Boyle Mean Spill Volume per Year	     175.9983	          KAF
Copco1 Mean Spill Volume per Year	     192.9485	          KAF
Iron Gate Mean Spill Volume per Year	     488.9585	          KAF
Boyle Mean Spill Days per Year	     144.4667	         days
Copco1 Mean Spill Days per Year	      42.6333	         days
Iron Gate Mean Spill Days per Year	     130.7000	         days
Freq of UKL Flood Control Release	      40.1844	 Percent of Days
Mean Ann UKL Flood Control Release Volume	     221.3233	          KAF
KenoReach Mean Ann Fishing Days	     263.3667	         days
BoyleReach Mean Ann Fishing Days	     166.0333	         days
HellsCornerReach Mean Ann Fishing Days	     257.5333	         days
IGScottReach Mean Ann Fishing Days	     277.5333	         days
ScottSalmonReach Mean Ann Fishing Days	     199.8667	         days
SalmonTrinityReach Mean Ann Fishing Days	     233.6667	         days
TrinityOceanReach Mean Ann Fishing Days	     262.9000	         days
KenoReach Mean Ann Boating Days	     168.8000	         days
BoyleReach Mean Ann Boating Days	      52.5333	         days
HellsCornerReach Mean Ann Boating Days	     209.3333	         days
IGScottReach Mean Ann Boating Days	     277.5333	         days
ScottSalmonReach Mean Ann Boating Days	     255.4667	         days
SalmonTrinityReach Mean Ann Boating Days	     233.6667	         days
TrinityOceanReach Mean Ann Boating Days	     262.9000	         days
Mean Project Supply (Apr-Sep)	     344.3490	          KAF
Mean Annual UKL Stg and Inflow	    1299.3735	          KAF
 Mean Annual Shasta Flow	     175.7829	          cfs
  Mean Annual Scott Flow	     632.5014	          cfs
        Mean Annual MWAT	      79.4720	         degF
Mean exceedence of MWAT - Poor	      15.7920	         degF
