"measure","scenario","period","climset","strategy","value_hist","pctchange","colournm"
"Boyle Mean Spill Days per Year","1",2030,"CMIP3","Baseline",105.9,84.7969782813975,"3"
"Boyle Mean Spill Days per Year","1",2030,"CMIP3","Reduce ET 30%",105.9,84.7969782813975,"3"
"Boyle Mean Spill Days per Year","1",2030,"CMIP3","Reduce ET 50%",105.9,84.8599622285174,"3"
"Boyle Mean Spill Days per Year","1",2030,"CMIP3","Add 30KAF",105.9,85.3321057601511,"3"
"Boyle Mean Spill Days per Year","1",2030,"CMIP5","Baseline",105.9,77.3371104815864,"3"
"Boyle Mean Spill Days per Year","1",2030,"CMIP5","Reduce ET 30%",105.9,77.5259678942398,"3"
"Boyle Mean Spill Days per Year","1",2030,"CMIP5","Reduce ET 50%",105.9,77.5574126534466,"3"
"Boyle Mean Spill Days per Year","1",2030,"CMIP5","Add 30KAF",105.9,78.6905571293673,"3"
"Boyle Mean Spill Days per Year","2",2030,"CMIP3","Baseline",105.9,46.6477809254013,"3"
"Boyle Mean Spill Days per Year","2",2030,"CMIP3","Reduce ET 30%",105.9,46.6477809254013,"3"
"Boyle Mean Spill Days per Year","2",2030,"CMIP3","Reduce ET 50%",105.9,46.8680830972616,"3"
"Boyle Mean Spill Days per Year","2",2030,"CMIP3","Add 30KAF",105.9,47.6864966949953,"3"
"Boyle Mean Spill Days per Year","2",2030,"CMIP5","Baseline",105.9,36.4180358829084,"3"
"Boyle Mean Spill Days per Year","2",2030,"CMIP5","Reduce ET 30%",105.9,36.5753541076487,"3"
"Boyle Mean Spill Days per Year","2",2030,"CMIP5","Reduce ET 50%",105.9,36.7957507082153,"3"
"Boyle Mean Spill Days per Year","2",2030,"CMIP5","Add 30KAF",105.9,37.6770538243626,"3"
"Boyle Mean Spill Days per Year","3",2030,"CMIP3","Baseline",105.9,105.319452313503,"3"
"Boyle Mean Spill Days per Year","3",2030,"CMIP3","Reduce ET 30%",105.9,105.350991501416,"3"
"Boyle Mean Spill Days per Year","3",2030,"CMIP3","Reduce ET 50%",105.9,105.47686496695,"3"
"Boyle Mean Spill Days per Year","3",2030,"CMIP3","Add 30KAF",105.9,106.074881964117,"3"
"Boyle Mean Spill Days per Year","3",2030,"CMIP5","Baseline",105.9,110.229745042493,"3"
"Boyle Mean Spill Days per Year","3",2030,"CMIP5","Reduce ET 30%",105.9,110.418602455146,"3"
"Boyle Mean Spill Days per Year","3",2030,"CMIP5","Reduce ET 50%",105.9,110.513031161473,"3"
