     Measure	       Value	       Units
----------------------------------------
Frequency Meeting Dry Year Fish Targets Scott	      64.5523	    % of Days
Frequency Meeting Dry Year Fish Targets Shasta	      51.9668	    % of Days
Mean Annual Water Delivery to LKNWR	      11.8981	          KAF
Mean Annual Hydropower Generated (MW)	   23340.3422	           MW
Boyle Mean Spill Volume per Year	     183.0942	          KAF
Copco1 Mean Spill Volume per Year	     203.2339	          KAF
Iron Gate Mean Spill Volume per Year	     456.6857	          KAF
Boyle Mean Spill Days per Year	     156.8000	         days
Copco1 Mean Spill Days per Year	      37.1000	         days
Iron Gate Mean Spill Days per Year	     115.0000	         days
Freq of UKL Flood Control Release	      38.2130	 Percent of Days
Mean Ann UKL Flood Control Release Volume	     215.3164	          KAF
KenoReach Mean Ann Fishing Days	     266.5333	         days
BoyleReach Mean Ann Fishing Days	     193.7667	         days
HellsCornerReach Mean Ann Fishing Days	     271.5667	         days
IGScottReach Mean Ann Fishing Days	     287.5333	         days
ScottSalmonReach Mean Ann Fishing Days	     210.2333	         days
SalmonTrinityReach Mean Ann Fishing Days	     242.2667	         days
TrinityOceanReach Mean Ann Fishing Days	     273.9667	         days
KenoReach Mean Ann Boating Days	     152.0333	         days
BoyleReach Mean Ann Boating Days	      46.6000	         days
HellsCornerReach Mean Ann Boating Days	     180.8667	         days
IGScottReach Mean Ann Boating Days	     287.5333	         days
ScottSalmonReach Mean Ann Boating Days	     260.2333	         days
SalmonTrinityReach Mean Ann Boating Days	     242.2667	         days
TrinityOceanReach Mean Ann Boating Days	     273.9667	         days
Mean Project Supply (Apr-Sep)	     339.2009	          KAF
Mean Annual UKL Stg and Inflow	    1247.6567	          KAF
 Mean Annual Shasta Flow	     173.1132	          cfs
  Mean Annual Scott Flow	     588.4362	          cfs
        Mean Annual MWAT	      80.5357	         degF
Mean exceedence of MWAT - Poor	      16.8557	         degF
