     Measure	       Value	       Units
----------------------------------------
Frequency Meeting Dry Year Fish Targets Scott	      73.3230	    % of Days
Frequency Meeting Dry Year Fish Targets Shasta	      62.9734	    % of Days
Mean Annual Water Delivery to LKNWR	      14.6560	          KAF
Mean Annual Hydropower Generated (MW)	   27828.3906	           MW
Boyle Mean Spill Volume per Year	     493.4879	          KAF
Copco1 Mean Spill Volume per Year	     529.2919	          KAF
Iron Gate Mean Spill Volume per Year	     913.0865	          KAF
Boyle Mean Spill Days per Year	     236.6667	         days
Copco1 Mean Spill Days per Year	      64.9000	         days
Iron Gate Mean Spill Days per Year	     156.7000	         days
Freq of UKL Flood Control Release	      45.0397	 Percent of Days
Mean Ann UKL Flood Control Release Volume	     419.3867	          KAF
KenoReach Mean Ann Fishing Days	     207.2000	         days
BoyleReach Mean Ann Fishing Days	     119.8000	         days
HellsCornerReach Mean Ann Fishing Days	     229.0333	         days
IGScottReach Mean Ann Fishing Days	     262.8667	         days
ScottSalmonReach Mean Ann Fishing Days	     175.9000	         days
SalmonTrinityReach Mean Ann Fishing Days	     207.2000	         days
TrinityOceanReach Mean Ann Fishing Days	     235.2000	         days
KenoReach Mean Ann Boating Days	     202.0000	         days
BoyleReach Mean Ann Boating Days	      59.8333	         days
HellsCornerReach Mean Ann Boating Days	     193.4667	         days
IGScottReach Mean Ann Boating Days	     262.8667	         days
ScottSalmonReach Mean Ann Boating Days	     230.2667	         days
SalmonTrinityReach Mean Ann Boating Days	     207.2000	         days
TrinityOceanReach Mean Ann Boating Days	     235.2000	         days
Mean Project Supply (Apr-Sep)	     373.8168	          KAF
Mean Annual UKL Stg and Inflow	    1544.2551	          KAF
 Mean Annual Shasta Flow	     223.0565	          cfs
  Mean Annual Scott Flow	     880.7489	          cfs
        Mean Annual MWAT	      80.2520	         degF
Mean exceedence of MWAT - Poor	      16.5720	         degF
