"measure","scenario","period","climset","strategy","value_hist","pctchange","colournm"
"HellsCornerReach Mean Ann Boating Days","3",2070,"CMIP3","Reduce ET 50%",256,-33.125,"1"
"HellsCornerReach Mean Ann Boating Days","3",2070,"CMIP3","Add 30KAF",256,-33.1380078125,"1"
"HellsCornerReach Mean Ann Boating Days","3",2070,"CMIP5","Baseline",256,-35.3385546875,"1"
"HellsCornerReach Mean Ann Boating Days","3",2070,"CMIP5","Reduce ET 30%",256,-35.0520703125,"1"
"HellsCornerReach Mean Ann Boating Days","3",2070,"CMIP5","Reduce ET 50%",256,-34.6614453125,"1"
"HellsCornerReach Mean Ann Boating Days","3",2070,"CMIP5","Add 30KAF",256,-34.765625,"1"
"HellsCornerReach Mean Ann Boating Days","4",2070,"CMIP3","Baseline",256,-34.3359375,"1"
"HellsCornerReach Mean Ann Boating Days","4",2070,"CMIP3","Reduce ET 30%",256,-33.9192578125,"1"
"HellsCornerReach Mean Ann Boating Days","4",2070,"CMIP3","Reduce ET 50%",256,-32.7473828125,"1"
"HellsCornerReach Mean Ann Boating Days","4",2070,"CMIP3","Add 30KAF",256,-33.515625,"1"
"HellsCornerReach Mean Ann Boating Days","4",2070,"CMIP5","Baseline",256,-36.1067578125,"1"
"HellsCornerReach Mean Ann Boating Days","4",2070,"CMIP5","Reduce ET 30%",256,-35.6640625,"1"
"HellsCornerReach Mean Ann Boating Days","4",2070,"CMIP5","Reduce ET 50%",256,-35.3255078125,"1"
"HellsCornerReach Mean Ann Boating Days","4",2070,"CMIP5","Add 30KAF",256,-34.9479296875,"1"
"HellsCornerReach Mean Ann Boating Days","5",2070,"CMIP3","Baseline",256,-30.8984375,"1"
"HellsCornerReach Mean Ann Boating Days","5",2070,"CMIP3","Reduce ET 30%",256,-30.234375,"1"
"HellsCornerReach Mean Ann Boating Days","5",2070,"CMIP3","Reduce ET 50%",256,-29.7135546875,"1"
"HellsCornerReach Mean Ann Boating Days","5",2070,"CMIP3","Add 30KAF",256,-29.8307421875,"1"
"HellsCornerReach Mean Ann Boating Days","5",2070,"CMIP5","Baseline",256,-32.3046875,"1"
"HellsCornerReach Mean Ann Boating Days","5",2070,"CMIP5","Reduce ET 30%",256,-31.2760546875,"1"
"HellsCornerReach Mean Ann Boating Days","5",2070,"CMIP5","Reduce ET 50%",256,-31.0026171875,"1"
"HellsCornerReach Mean Ann Boating Days","5",2070,"CMIP5","Add 30KAF",256,-30.7551953125,"1"
"IGScottReach Mean Ann Boating Days","1",2070,"CMIP3","Baseline",274.7333,-4.31931622413446,"2"
"IGScottReach Mean Ann Boating Days","1",2070,"CMIP3","Reduce ET 30%",274.7333,-4.41639218835138,"2"
"IGScottReach Mean Ann Boating Days","1",2070,"CMIP3","Reduce ET 50%",274.7333,-4.51346815256832,"2"
"IGScottReach Mean Ann Boating Days","1",2070,"CMIP3","Add 30KAF",274.7333,-4.75610346470559,"2"
"IGScottReach Mean Ann Boating Days","1",2070,"CMIP5","Baseline",274.7333,-2.01406236521019,"2"
"IGScottReach Mean Ann Boating Days","1",2070,"CMIP5","Reduce ET 30%",274.7333,-2.09898108456455,"2"
"IGScottReach Mean Ann Boating Days","1",2070,"CMIP5","Reduce ET 50%",274.7333,-2.11113832942713,"2"
"IGScottReach Mean Ann Boating Days","1",2070,"CMIP5","Add 30KAF",274.7333,-2.29313301299843,"2"
"IGScottReach Mean Ann Boating Days","2",2070,"CMIP3","Baseline",274.7333,3.82188835499737,"3"
"IGScottReach Mean Ann Boating Days","2",2070,"CMIP3","Reduce ET 30%",274.7333,4.00388303856868,"3"
"IGScottReach Mean Ann Boating Days","2",2070,"CMIP3","Reduce ET 50%",274.7333,3.97964134671698,"3"
"IGScottReach Mean Ann Boating Days","2",2070,"CMIP3","Add 30KAF",274.7333,3.8461664457858,"3"
"IGScottReach Mean Ann Boating Days","2",2070,"CMIP5","Baseline",274.7333,3.47005623271734,"3"
"IGScottReach Mean Ann Boating Days","2",2070,"CMIP5","Reduce ET 30%",274.7333,3.49429792456904,"3"
"IGScottReach Mean Ann Boating Days","2",2070,"CMIP5","Reduce ET 50%",274.7333,3.40937920521467,"3"
"IGScottReach Mean Ann Boating Days","2",2070,"CMIP5","Add 30KAF",274.7333,3.3729802685004,"3"
"IGScottReach Mean Ann Boating Days","3",2070,"CMIP3","Baseline",274.7333,-4.9138564564252,"2"
"IGScottReach Mean Ann Boating Days","3",2070,"CMIP3","Reduce ET 30%",274.7333,-4.59838687192268,"2"
"IGScottReach Mean Ann Boating Days","3",2070,"CMIP3","Reduce ET 50%",274.7333,-4.53770984442001,"2"
"IGScottReach Mean Ann Boating Days","3",2070,"CMIP3","Add 30KAF",274.7333,-4.61050771784853,"2"
"IGScottReach Mean Ann Boating Days","3",2070,"CMIP5","Baseline",274.7333,-10.0703482249876,"2"
"IGScottReach Mean Ann Boating Days","3",2070,"CMIP5","Reduce ET 30%",274.7333,-9.86411184956465,"2"
"IGScottReach Mean Ann Boating Days","3",2070,"CMIP5","Reduce ET 50%",274.7333,-9.98542950563327,"2"
"IGScottReach Mean Ann Boating Days","3",2070,"CMIP5","Add 30KAF",274.7333,-10.0825054698502,"2"
"IGScottReach Mean Ann Boating Days","4",2070,"CMIP3","Baseline",274.7333,3.74909048156886,"3"
"IGScottReach Mean Ann Boating Days","4",2070,"CMIP3","Reduce ET 30%",274.7333,4.0524392201455,"3"
"IGScottReach Mean Ann Boating Days","4",2070,"CMIP3","Reduce ET 50%",274.7333,4.39215049649971,"3"
"IGScottReach Mean Ann Boating Days","4",2070,"CMIP3","Add 30KAF",274.7333,3.76124772643143,"3"
"IGScottReach Mean Ann Boating Days","4",2070,"CMIP5","Baseline",274.7333,2.06261854678701,"3"
"IGScottReach Mean Ann Boating Days","4",2070,"CMIP5","Reduce ET 30%",274.7333,2.46300685064388,"3"
"IGScottReach Mean Ann Boating Days","4",2070,"CMIP5","Reduce ET 50%",274.7333,2.52368387814655,"3"
"IGScottReach Mean Ann Boating Days","4",2070,"CMIP5","Add 30KAF",274.7333,2.14753726614139,"3"
"IGScottReach Mean Ann Boating Days","5",2070,"CMIP3","Baseline",274.7333,-1.21328575749646,"2"
"IGScottReach Mean Ann Boating Days","5",2070,"CMIP3","Reduce ET 30%",274.7333,-1.14048788406792,"2"
"IGScottReach Mean Ann Boating Days","5",2070,"CMIP3","Reduce ET 50%",274.7333,-1.15260872999376,"2"
"IGScottReach Mean Ann Boating Days","5",2070,"CMIP3","Add 30KAF",274.7333,-1.20116491157061,"2"
"IGScottReach Mean Ann Boating Days","5",2070,"CMIP5","Baseline",274.7333,0.727978734285214,"3"
"IGScottReach Mean Ann Boating Days","5",2070,"CMIP5","Reduce ET 30%",274.7333,0.558141295576484,"3"
"IGScottReach Mean Ann Boating Days","5",2070,"CMIP5","Reduce ET 50%",274.7333,0.363989367142607,"3"
"IGScottReach Mean Ann Boating Days","5",2070,"CMIP5","Add 30KAF",274.7333,0.485343422147967,"3"
"KenoReach Mean Ann Boating Days","1",2070,"CMIP3","Baseline",171.8,17.5785797438882,"3"
"KenoReach Mean Ann Boating Days","1",2070,"CMIP3","Reduce ET 30%",171.8,17.2487194412107,"3"
"KenoReach Mean Ann Boating Days","1",2070,"CMIP3","Reduce ET 50%",171.8,17.4427823050058,"3"
"KenoReach Mean Ann Boating Days","1",2070,"CMIP3","Add 30KAF",171.8,17.8114086146682,"3"
"KenoReach Mean Ann Boating Days","1",2070,"CMIP5","Baseline",171.8,15.0950523864959,"3"
"KenoReach Mean Ann Boating Days","1",2070,"CMIP5","Reduce ET 30%",171.8,15.3084982537835,"3"
"KenoReach Mean Ann Boating Days","1",2070,"CMIP5","Reduce ET 50%",171.8,15.2696740395809,"3"
"KenoReach Mean Ann Boating Days","1",2070,"CMIP5","Add 30KAF",171.8,16.7830616996507,"3"
"KenoReach Mean Ann Boating Days","2",2070,"CMIP3","Baseline",171.8,-6.24755529685682,"2"
