"measure","scenario","period","climset","value","value_hist"
"KenoReach Mean Ann Fishing Days","HD",2070,"CMIP3",265.1,247.6667
"KenoReach Mean Ann Fishing Days","HD",2070,"CMIP5",253.7667,247.6667
"KenoReach Mean Ann Fishing Days","HW",2070,"CMIP3",213.6333,247.6667
"KenoReach Mean Ann Fishing Days","HW",2070,"CMIP5",207.7333,247.6667
"KenoReach Mean Ann Fishing Days","CT",2070,"CMIP3",233.6333,247.6667
"KenoReach Mean Ann Fishing Days","CT",2070,"CMIP5",241.4333,247.6667
"SalmonTrinityReach Mean Ann Fishing Days","WD",2030,"CMIP3",231.9667,213.9333
"SalmonTrinityReach Mean Ann Fishing Days","WD",2030,"CMIP5",233.6667,213.9333
"SalmonTrinityReach Mean Ann Fishing Days","WW",2030,"CMIP3",199.6667,213.9333
"SalmonTrinityReach Mean Ann Fishing Days","WW",2030,"CMIP5",206.3667,213.9333
"SalmonTrinityReach Mean Ann Fishing Days","HD",2030,"CMIP3",244.0667,213.9333
"SalmonTrinityReach Mean Ann Fishing Days","HD",2030,"CMIP5",242.2667,213.9333
"SalmonTrinityReach Mean Ann Fishing Days","HW",2030,"CMIP3",211.4333,213.9333
"SalmonTrinityReach Mean Ann Fishing Days","HW",2030,"CMIP5",214.5667,213.9333
"SalmonTrinityReach Mean Ann Fishing Days","CT",2030,"CMIP3",221.1,213.9333
"SalmonTrinityReach Mean Ann Fishing Days","CT",2030,"CMIP5",222.4333,213.9333
"SalmonTrinityReach Mean Ann Fishing Days","WD",2070,"CMIP3",243.4667,213.9333
"SalmonTrinityReach Mean Ann Fishing Days","WD",2070,"CMIP5",238.1,213.9333
"SalmonTrinityReach Mean Ann Fishing Days","WW",2070,"CMIP3",207.2,213.9333
"SalmonTrinityReach Mean Ann Fishing Days","WW",2070,"CMIP5",206.2,213.9333
"SalmonTrinityReach Mean Ann Fishing Days","HD",2070,"CMIP3",249.5333,213.9333
"SalmonTrinityReach Mean Ann Fishing Days","HD",2070,"CMIP5",246.1667,213.9333
"SalmonTrinityReach Mean Ann Fishing Days","HW",2070,"CMIP3",221.6667,213.9333
"SalmonTrinityReach Mean Ann Fishing Days","HW",2070,"CMIP5",220,213.9333
"SalmonTrinityReach Mean Ann Fishing Days","CT",2070,"CMIP3",223.9,213.9333
"SalmonTrinityReach Mean Ann Fishing Days","CT",2070,"CMIP5",220.3333,213.9333
"ScottSalmonReach Mean Ann Fishing Days","WD",2030,"CMIP3",197.1,183.9667
"ScottSalmonReach Mean Ann Fishing Days","WD",2030,"CMIP5",199.8667,183.9667
"ScottSalmonReach Mean Ann Fishing Days","WW",2030,"CMIP3",173.6,183.9667
"ScottSalmonReach Mean Ann Fishing Days","WW",2030,"CMIP5",179.1,183.9667
