     Measure	       Value	       Units
----------------------------------------
Frequency Meeting Dry Year Fish Targets Scott	      58.5014	    % of Days
Frequency Meeting Dry Year Fish Targets Shasta	      47.0841	    % of Days
Mean Annual Water Delivery to LKNWR	       8.2921	          KAF
Mean Annual Hydropower Generated (MW)	   22661.9430	           MW
Boyle Mean Spill Volume per Year	     216.5871	          KAF
Copco1 Mean Spill Volume per Year	     243.2811	          KAF
Iron Gate Mean Spill Volume per Year	     485.9708	          KAF
Boyle Mean Spill Days per Year	     156.5667	         days
Copco1 Mean Spill Days per Year	      37.5333	         days
Iron Gate Mean Spill Days per Year	     110.1000	         days
Freq of UKL Flood Control Release	      34.3890	 Percent of Days
Mean Ann UKL Flood Control Release Volume	     226.2618	          KAF
KenoReach Mean Ann Fishing Days	     265.1000	         days
BoyleReach Mean Ann Fishing Days	     198.1667	         days
HellsCornerReach Mean Ann Fishing Days	     275.5667	         days
IGScottReach Mean Ann Fishing Days	     285.0333	         days
ScottSalmonReach Mean Ann Fishing Days	     216.2667	         days
SalmonTrinityReach Mean Ann Fishing Days	     249.5333	         days
TrinityOceanReach Mean Ann Fishing Days	     281.5667	         days
KenoReach Mean Ann Boating Days	     142.1333	         days
BoyleReach Mean Ann Boating Days	      51.0000	         days
HellsCornerReach Mean Ann Boating Days	     168.1000	         days
IGScottReach Mean Ann Boating Days	     285.0333	         days
ScottSalmonReach Mean Ann Boating Days	     261.5667	         days
SalmonTrinityReach Mean Ann Boating Days	     249.5333	         days
TrinityOceanReach Mean Ann Boating Days	     281.5667	         days
Mean Project Supply (Apr-Sep)	     317.8179	          KAF
Mean Annual UKL Stg and Inflow	    1195.9243	          KAF
 Mean Annual Shasta Flow	     159.4919	          cfs
  Mean Annual Scott Flow	     547.4564	          cfs
        Mean Annual MWAT	      82.7394	         degF
Mean exceedence of MWAT - Poor	      19.0594	         degF
