     Measure	       Value	       Units
----------------------------------------
Frequency Meeting Dry Year Fish Targets Scott	      73.9801	    % of Days
Frequency Meeting Dry Year Fish Targets Shasta	      61.0112	    % of Days
Mean Annual Water Delivery to LKNWR	      17.8769	          KAF
Mean Annual Hydropower Generated (MW)	   27715.0688	           MW
Boyle Mean Spill Volume per Year	     314.4029	          KAF
Copco1 Mean Spill Volume per Year	     342.3819	          KAF
Iron Gate Mean Spill Volume per Year	     711.7701	          KAF
Boyle Mean Spill Days per Year	     195.7000	         days
Copco1 Mean Spill Days per Year	      57.3000	         days
Iron Gate Mean Spill Days per Year	     155.7000	         days
Freq of UKL Flood Control Release	      45.5508	 Percent of Days
Mean Ann UKL Flood Control Release Volume	     317.8676	          KAF
KenoReach Mean Ann Fishing Days	     228.2000	         days
BoyleReach Mean Ann Fishing Days	     124.5667	         days
HellsCornerReach Mean Ann Fishing Days	     236.0000	         days
IGScottReach Mean Ann Fishing Days	     268.6667	         days
ScottSalmonReach Mean Ann Fishing Days	     173.6000	         days
SalmonTrinityReach Mean Ann Fishing Days	     199.6667	         days
TrinityOceanReach Mean Ann Fishing Days	     232.8667	         days
KenoReach Mean Ann Boating Days	     205.2333	         days
BoyleReach Mean Ann Boating Days	      67.4000	         days
HellsCornerReach Mean Ann Boating Days	     224.4667	         days
IGScottReach Mean Ann Boating Days	     268.6667	         days
ScottSalmonReach Mean Ann Boating Days	     231.8333	         days
SalmonTrinityReach Mean Ann Boating Days	     199.6667	         days
TrinityOceanReach Mean Ann Boating Days	     232.8667	         days
Mean Project Supply (Apr-Sep)	     369.2528	          KAF
Mean Annual UKL Stg and Inflow	    1478.3166	          KAF
 Mean Annual Shasta Flow	     217.7961	          cfs
  Mean Annual Scott Flow	     842.3987	          cfs
        Mean Annual MWAT	      78.4477	         degF
Mean exceedence of MWAT - Poor	      14.7677	         degF
