"measure","scenario","period","climset","strategy","value","value_hist"
"BoyleReach Mean Ann Fishing Days","HD",2070,"CMIP5","Reduce ET 50%",193.2667,154.9
"BoyleReach Mean Ann Fishing Days","HW",2070,"CMIP3","Add 30KAF",134.6333,154.9
"BoyleReach Mean Ann Fishing Days","HW",2070,"CMIP3","Baseline",138.4333,154.9
"BoyleReach Mean Ann Fishing Days","HW",2070,"CMIP3","Reduce ET 30%",135.8333,154.9
"BoyleReach Mean Ann Fishing Days","HW",2070,"CMIP3","Reduce ET 50%",134.5,154.9
"BoyleReach Mean Ann Fishing Days","HW",2070,"CMIP5","Add 30KAF",136.8,154.9
"BoyleReach Mean Ann Fishing Days","HW",2070,"CMIP5","Baseline",138,154.9
"BoyleReach Mean Ann Fishing Days","HW",2070,"CMIP5","Reduce ET 30%",137.5667,154.9
"BoyleReach Mean Ann Fishing Days","HW",2070,"CMIP5","Reduce ET 50%",135.8,154.9
"BoyleReach Mean Ann Fishing Days","CT",2070,"CMIP3","Add 30KAF",150.0667,154.9
"BoyleReach Mean Ann Fishing Days","CT",2070,"CMIP3","Baseline",152.7,154.9
"BoyleReach Mean Ann Fishing Days","CT",2070,"CMIP3","Reduce ET 30%",150.6667,154.9
"BoyleReach Mean Ann Fishing Days","CT",2070,"CMIP3","Reduce ET 50%",149.6,154.9
"BoyleReach Mean Ann Fishing Days","CT",2070,"CMIP5","Add 30KAF",159.5,154.9
"BoyleReach Mean Ann Fishing Days","CT",2070,"CMIP5","Baseline",163.2333,154.9
"BoyleReach Mean Ann Fishing Days","CT",2070,"CMIP5","Reduce ET 30%",161.6333,154.9
"BoyleReach Mean Ann Fishing Days","CT",2070,"CMIP5","Reduce ET 50%",160.2333,154.9
"HellsCornerReach Mean Ann Fishing Days","WD",2030,"CMIP3","Add 30KAF",250.7667,220.4333
"HellsCornerReach Mean Ann Fishing Days","WD",2030,"CMIP3","Baseline",257.8,220.4333
"HellsCornerReach Mean Ann Fishing Days","WD",2030,"CMIP3","Reduce ET 30%",256.6,220.4333
"HellsCornerReach Mean Ann Fishing Days","WD",2030,"CMIP3","Reduce ET 50%",255.6667,220.4333
"HellsCornerReach Mean Ann Fishing Days","WD",2030,"CMIP5","Add 30KAF",252.8,220.4333
"HellsCornerReach Mean Ann Fishing Days","WD",2030,"CMIP5","Baseline",257.5333,220.4333
"HellsCornerReach Mean Ann Fishing Days","WD",2030,"CMIP5","Reduce ET 30%",255.8,220.4333
"HellsCornerReach Mean Ann Fishing Days","WD",2030,"CMIP5","Reduce ET 50%",255.1333,220.4333
"HellsCornerReach Mean Ann Fishing Days","WW",2030,"CMIP3","Add 30KAF",231.6,220.4333
"HellsCornerReach Mean Ann Fishing Days","WW",2030,"CMIP3","Baseline",236,220.4333
"HellsCornerReach Mean Ann Fishing Days","WW",2030,"CMIP3","Reduce ET 30%",235.7667,220.4333
"HellsCornerReach Mean Ann Fishing Days","WW",2030,"CMIP3","Reduce ET 50%",235.5333,220.4333
"HellsCornerReach Mean Ann Fishing Days","WW",2030,"CMIP5","Add 30KAF",239.1333,220.4333
"HellsCornerReach Mean Ann Fishing Days","WW",2030,"CMIP5","Baseline",243.3,220.4333
"HellsCornerReach Mean Ann Fishing Days","WW",2030,"CMIP5","Reduce ET 30%",242.4,220.4333
"HellsCornerReach Mean Ann Fishing Days","WW",2030,"CMIP5","Reduce ET 50%",242.2,220.4333
"HellsCornerReach Mean Ann Fishing Days","HD",2030,"CMIP3","Add 30KAF",272.2,220.4333
"HellsCornerReach Mean Ann Fishing Days","HD",2030,"CMIP3","Baseline",275.4,220.4333
"HellsCornerReach Mean Ann Fishing Days","HD",2030,"CMIP3","Reduce ET 30%",274.8,220.4333
"HellsCornerReach Mean Ann Fishing Days","HD",2030,"CMIP3","Reduce ET 50%",273.6,220.4333
"HellsCornerReach Mean Ann Fishing Days","HD",2030,"CMIP5","Add 30KAF",267.8,220.4333
"HellsCornerReach Mean Ann Fishing Days","HD",2030,"CMIP5","Baseline",271.5667,220.4333
"HellsCornerReach Mean Ann Fishing Days","HD",2030,"CMIP5","Reduce ET 30%",270.9333,220.4333
"HellsCornerReach Mean Ann Fishing Days","HD",2030,"CMIP5","Reduce ET 50%",270.0333,220.4333
"HellsCornerReach Mean Ann Fishing Days","HW",2030,"CMIP3","Add 30KAF",240.7333,220.4333
"HellsCornerReach Mean Ann Fishing Days","HW",2030,"CMIP3","Baseline",243.7,220.4333
"HellsCornerReach Mean Ann Fishing Days","HW",2030,"CMIP3","Reduce ET 30%",242.5333,220.4333
"HellsCornerReach Mean Ann Fishing Days","HW",2030,"CMIP3","Reduce ET 50%",241.8,220.4333
"HellsCornerReach Mean Ann Fishing Days","HW",2030,"CMIP5","Add 30KAF",241.3,220.4333
"HellsCornerReach Mean Ann Fishing Days","HW",2030,"CMIP5","Baseline",243.9,220.4333
"HellsCornerReach Mean Ann Fishing Days","HW",2030,"CMIP5","Reduce ET 30%",243.1333,220.4333
"HellsCornerReach Mean Ann Fishing Days","HW",2030,"CMIP5","Reduce ET 50%",242.5333,220.4333
"HellsCornerReach Mean Ann Fishing Days","CT",2030,"CMIP3","Add 30KAF",251.9,220.4333
"HellsCornerReach Mean Ann Fishing Days","CT",2030,"CMIP3","Baseline",256.1333,220.4333
"HellsCornerReach Mean Ann Fishing Days","CT",2030,"CMIP3","Reduce ET 30%",254.6667,220.4333
"HellsCornerReach Mean Ann Fishing Days","CT",2030,"CMIP3","Reduce ET 50%",253.9333,220.4333
"HellsCornerReach Mean Ann Fishing Days","CT",2030,"CMIP5","Add 30KAF",246.1,220.4333
"HellsCornerReach Mean Ann Fishing Days","CT",2030,"CMIP5","Baseline",249.3667,220.4333
"HellsCornerReach Mean Ann Fishing Days","CT",2030,"CMIP5","Reduce ET 30%",248.1333,220.4333
"HellsCornerReach Mean Ann Fishing Days","CT",2030,"CMIP5","Reduce ET 50%",247.7,220.4333
"HellsCornerReach Mean Ann Fishing Days","WD",2070,"CMIP3","Add 30KAF",263.3333,220.4333
"HellsCornerReach Mean Ann Fishing Days","WD",2070,"CMIP3","Baseline",267.4,220.4333
"HellsCornerReach Mean Ann Fishing Days","WD",2070,"CMIP3","Reduce ET 30%",266,220.4333
"HellsCornerReach Mean Ann Fishing Days","WD",2070,"CMIP3","Reduce ET 50%",264.9,220.4333
"HellsCornerReach Mean Ann Fishing Days","WD",2070,"CMIP5","Add 30KAF",261.5,220.4333
"HellsCornerReach Mean Ann Fishing Days","WD",2070,"CMIP5","Baseline",266.0333,220.4333
"HellsCornerReach Mean Ann Fishing Days","WD",2070,"CMIP5","Reduce ET 30%",265.2,220.4333
"HellsCornerReach Mean Ann Fishing Days","WD",2070,"CMIP5","Reduce ET 50%",264.3,220.4333
"HellsCornerReach Mean Ann Fishing Days","WW",2070,"CMIP3","Add 30KAF",225.4667,220.4333
"HellsCornerReach Mean Ann Fishing Days","WW",2070,"CMIP3","Baseline",229.0333,220.4333
"HellsCornerReach Mean Ann Fishing Days","WW",2070,"CMIP3","Reduce ET 30%",228.3333,220.4333
"HellsCornerReach Mean Ann Fishing Days","WW",2070,"CMIP3","Reduce ET 50%",227.4667,220.4333
"HellsCornerReach Mean Ann Fishing Days","WW",2070,"CMIP5","Add 30KAF",228.5333,220.4333
"HellsCornerReach Mean Ann Fishing Days","WW",2070,"CMIP5","Baseline",233.5333,220.4333
"HellsCornerReach Mean Ann Fishing Days","WW",2070,"CMIP5","Reduce ET 30%",232.6667,220.4333
"HellsCornerReach Mean Ann Fishing Days","WW",2070,"CMIP5","Reduce ET 50%",232.2333,220.4333
"HellsCornerReach Mean Ann Fishing Days","HD",2070,"CMIP3","Add 30KAF",272.1,220.4333
"HellsCornerReach Mean Ann Fishing Days","HD",2070,"CMIP3","Baseline",275.5667,220.4333
"HellsCornerReach Mean Ann Fishing Days","HD",2070,"CMIP3","Reduce ET 30%",273.1667,220.4333
"HellsCornerReach Mean Ann Fishing Days","HD",2070,"CMIP3","Reduce ET 50%",272.5667,220.4333
"HellsCornerReach Mean Ann Fishing Days","HD",2070,"CMIP5","Add 30KAF",260.5667,220.4333
"HellsCornerReach Mean Ann Fishing Days","HD",2070,"CMIP5","Baseline",263.5,220.4333
"HellsCornerReach Mean Ann Fishing Days","HD",2070,"CMIP5","Reduce ET 30%",262.2,220.4333
"HellsCornerReach Mean Ann Fishing Days","HD",2070,"CMIP5","Reduce ET 50%",261.6333,220.4333
"HellsCornerReach Mean Ann Fishing Days","HW",2070,"CMIP3","Add 30KAF",230.5667,220.4333
"HellsCornerReach Mean Ann Fishing Days","HW",2070,"CMIP3","Baseline",233.8,220.4333
"HellsCornerReach Mean Ann Fishing Days","HW",2070,"CMIP3","Reduce ET 30%",231.7667,220.4333
"HellsCornerReach Mean Ann Fishing Days","HW",2070,"CMIP3","Reduce ET 50%",230.2667,220.4333
"HellsCornerReach Mean Ann Fishing Days","HW",2070,"CMIP5","Add 30KAF",227.2333,220.4333
"HellsCornerReach Mean Ann Fishing Days","HW",2070,"CMIP5","Baseline",229.3,220.4333
"HellsCornerReach Mean Ann Fishing Days","HW",2070,"CMIP5","Reduce ET 30%",227.5333,220.4333
"HellsCornerReach Mean Ann Fishing Days","HW",2070,"CMIP5","Reduce ET 50%",226.8333,220.4333
"HellsCornerReach Mean Ann Fishing Days","CT",2070,"CMIP3","Add 30KAF",242.3,220.4333
"HellsCornerReach Mean Ann Fishing Days","CT",2070,"CMIP3","Baseline",244.9,220.4333
"HellsCornerReach Mean Ann Fishing Days","CT",2070,"CMIP3","Reduce ET 30%",243.3,220.4333
"HellsCornerReach Mean Ann Fishing Days","CT",2070,"CMIP3","Reduce ET 50%",242.2,220.4333
"HellsCornerReach Mean Ann Fishing Days","CT",2070,"CMIP5","Add 30KAF",251.0667,220.4333
"HellsCornerReach Mean Ann Fishing Days","CT",2070,"CMIP5","Baseline",253.4667,220.4333
"HellsCornerReach Mean Ann Fishing Days","CT",2070,"CMIP5","Reduce ET 30%",251.7667,220.4333
"HellsCornerReach Mean Ann Fishing Days","CT",2070,"CMIP5","Reduce ET 50%",250.6,220.4333
"IGScottReach Mean Ann Fishing Days","WD",2030,"CMIP3","Add 30KAF",280.4667,274.7333
"IGScottReach Mean Ann Fishing Days","WD",2030,"CMIP3","Baseline",281.9667,274.7333
"IGScottReach Mean Ann Fishing Days","WD",2030,"CMIP3","Reduce ET 30%",282.0333,274.7333
"IGScottReach Mean Ann Fishing Days","WD",2030,"CMIP3","Reduce ET 50%",282.2333,274.7333
"IGScottReach Mean Ann Fishing Days","WD",2030,"CMIP5","Add 30KAF",277.0333,274.7333
"IGScottReach Mean Ann Fishing Days","WD",2030,"CMIP5","Baseline",277.5333,274.7333
"IGScottReach Mean Ann Fishing Days","WD",2030,"CMIP5","Reduce ET 30%",277.5,274.7333
"IGScottReach Mean Ann Fishing Days","WD",2030,"CMIP5","Reduce ET 50%",277.5,274.7333
"IGScottReach Mean Ann Fishing Days","WW",2030,"CMIP3","Add 30KAF",267.1,274.7333
"IGScottReach Mean Ann Fishing Days","WW",2030,"CMIP3","Baseline",268.6667,274.7333
"IGScottReach Mean Ann Fishing Days","WW",2030,"CMIP3","Reduce ET 30%",268.7333,274.7333
"IGScottReach Mean Ann Fishing Days","WW",2030,"CMIP3","Reduce ET 50%",268.7333,274.7333
"IGScottReach Mean Ann Fishing Days","WW",2030,"CMIP5","Add 30KAF",273.0667,274.7333
"IGScottReach Mean Ann Fishing Days","WW",2030,"CMIP5","Baseline",274.4,274.7333
"IGScottReach Mean Ann Fishing Days","WW",2030,"CMIP5","Reduce ET 30%",273.9667,274.7333
"IGScottReach Mean Ann Fishing Days","WW",2030,"CMIP5","Reduce ET 50%",273.9667,274.7333
"IGScottReach Mean Ann Fishing Days","HD",2030,"CMIP3","Add 30KAF",284.4667,274.7333
"IGScottReach Mean Ann Fishing Days","HD",2030,"CMIP3","Baseline",285.1667,274.7333
"IGScottReach Mean Ann Fishing Days","HD",2030,"CMIP3","Reduce ET 30%",285.1333,274.7333
