"measure","scenario","period","climset","value","value_hist"
"Freq of UKL Flood Control Release","CT",2030,"CMIP3",43.8167,44.1179
"Freq of UKL Flood Control Release","CT",2030,"CMIP3",42.3017,44.1179
"Freq of UKL Flood Control Release","CT",2030,"CMIP3",41.9914,44.1179
"Freq of UKL Flood Control Release","CT",2030,"CMIP3",44.3461,44.1179
"Freq of UKL Flood Control Release","CT",2030,"CMIP5",41.9093,44.1179
"Freq of UKL Flood Control Release","CT",2030,"CMIP5",41.0423,44.1179
"Freq of UKL Flood Control Release","CT",2030,"CMIP5",40.6772,44.1179
"Freq of UKL Flood Control Release","CT",2030,"CMIP5",42.7489,44.1179
"Freq of UKL Flood Control Release","WD",2070,"CMIP3",38.1674,44.1179
"Freq of UKL Flood Control Release","WD",2070,"CMIP3",37.4555,44.1179
"Freq of UKL Flood Control Release","WD",2070,"CMIP3",37.1543,44.1179
"Freq of UKL Flood Control Release","WD",2070,"CMIP3",38.6511,44.1179
"Freq of UKL Flood Control Release","WD",2070,"CMIP5",40.7046,44.1179
"Freq of UKL Flood Control Release","WD",2070,"CMIP5",39.6003,44.1179
"Freq of UKL Flood Control Release","WD",2070,"CMIP5",39.2626,44.1179
"Freq of UKL Flood Control Release","WD",2070,"CMIP5",41.5168,44.1179
"Freq of UKL Flood Control Release","WW",2070,"CMIP3",45.0397,44.1179
"Freq of UKL Flood Control Release","WW",2070,"CMIP3",44.5104,44.1179
"Freq of UKL Flood Control Release","WW",2070,"CMIP3",44.483,44.1179
"Freq of UKL Flood Control Release","WW",2070,"CMIP3",45.2314,44.1179
"Freq of UKL Flood Control Release","WW",2070,"CMIP5",45.9432,44.1179
"Freq of UKL Flood Control Release","WW",2070,"CMIP5",45.0488,44.1179
"Freq of UKL Flood Control Release","WW",2070,"CMIP5",44.6838,44.1179
"Freq of UKL Flood Control Release","WW",2070,"CMIP5",46.3904,44.1179
"Freq of UKL Flood Control Release","HD",2070,"CMIP3",34.389,44.1179
"Freq of UKL Flood Control Release","HD",2070,"CMIP3",34.5076,44.1179
"Freq of UKL Flood Control Release","HD",2070,"CMIP3",34.3342,44.1179
"Freq of UKL Flood Control Release","HD",2070,"CMIP3",35.5937,44.1179
"Freq of UKL Flood Control Release","HD",2070,"CMIP5",36.479,44.1179
"Freq of UKL Flood Control Release","HD",2070,"CMIP5",35.5389,44.1179
"Freq of UKL Flood Control Release","HD",2070,"CMIP5",35.3473,44.1179
"Freq of UKL Flood Control Release","HD",2070,"CMIP5",36.9627,44.1179
"Freq of UKL Flood Control Release","HW",2070,"CMIP3",43.5612,44.1179
"Freq of UKL Flood Control Release","HW",2070,"CMIP3",42.9497,44.1179
"Freq of UKL Flood Control Release","HW",2070,"CMIP3",43.2691,44.1179
"Freq of UKL Flood Control Release","HW",2070,"CMIP3",44.3004,44.1179
"Freq of UKL Flood Control Release","HW",2070,"CMIP5",43.9263,44.1179
"Freq of UKL Flood Control Release","HW",2070,"CMIP5",44.337,44.1179
"Freq of UKL Flood Control Release","HW",2070,"CMIP5",44.0084,44.1179
"Freq of UKL Flood Control Release","HW",2070,"CMIP5",44.629,44.1179
"Freq of UKL Flood Control Release","CT",2070,"CMIP3",42.174,44.1179
"Freq of UKL Flood Control Release","CT",2070,"CMIP3",42.1009,44.1179
"Freq of UKL Flood Control Release","CT",2070,"CMIP3",42.0644,44.1179
"Freq of UKL Flood Control Release","CT",2070,"CMIP3",43.3787,44.1179
"Freq of UKL Flood Control Release","CT",2070,"CMIP5",41.4712,44.1179
"Freq of UKL Flood Control Release","CT",2070,"CMIP5",41.5716,44.1179
"Freq of UKL Flood Control Release","CT",2070,"CMIP5",41.2248,44.1179
"Freq of UKL Flood Control Release","CT",2070,"CMIP5",42.4751,44.1179
"Mean Ann UKL Flood Control Release Volume","WD",2030,"CMIP3",218.4893,224.4786
"Mean Ann UKL Flood Control Release Volume","WD",2030,"CMIP3",218.8492,224.4786
"Mean Ann UKL Flood Control Release Volume","WD",2030,"CMIP3",218.6442,224.4786
"Mean Ann UKL Flood Control Release Volume","WD",2030,"CMIP3",226.3896,224.4786
"Mean Ann UKL Flood Control Release Volume","WD",2030,"CMIP5",221.3233,224.4786
"Mean Ann UKL Flood Control Release Volume","WD",2030,"CMIP5",221.6793,224.4786
"Mean Ann UKL Flood Control Release Volume","WD",2030,"CMIP5",221.9395,224.4786
"Mean Ann UKL Flood Control Release Volume","WD",2030,"CMIP5",228.7667,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2030,"CMIP3",317.8676,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2030,"CMIP3",318.0576,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2030,"CMIP3",318.1406,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2030,"CMIP3",327.2522,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2030,"CMIP5",334.2088,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2030,"CMIP5",335.0236,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2030,"CMIP5",335.0615,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2030,"CMIP5",344.22,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2030,"CMIP3",231.6017,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2030,"CMIP3",232.7048,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2030,"CMIP3",233.0693,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2030,"CMIP3",239.9806,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2030,"CMIP5",215.3164,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2030,"CMIP5",215.9935,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2030,"CMIP5",217.2388,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2030,"CMIP5",224.9691,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2030,"CMIP3",378.9839,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2030,"CMIP3",380.0839,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2030,"CMIP3",380.1153,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2030,"CMIP3",390.5577,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2030,"CMIP5",366.1015,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2030,"CMIP5",367.6934,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2030,"CMIP5",368.9034,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2030,"CMIP5",377.0712,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2030,"CMIP3",290.6077,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2030,"CMIP3",291.2457,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2030,"CMIP3",291.6687,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2030,"CMIP3",299.7865,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2030,"CMIP5",298.7926,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2030,"CMIP5",300.2751,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2030,"CMIP5",300.7044,224.4786
"Mean Ann UKL Flood Control Release Volume","CT",2030,"CMIP5",308.2487,224.4786
"Mean Ann UKL Flood Control Release Volume","WD",2070,"CMIP3",242.9596,224.4786
"Mean Ann UKL Flood Control Release Volume","WD",2070,"CMIP3",243.3695,224.4786
