"measure","value","units","category","scenario","climset","period","strategy","value_hist","magchange"
"ScottSalmonReach Mean Ann Fishing Days",188.5,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce Tribs
4degC",183.9667,4.5333
"SalmonTrinityReach Mean Ann Fishing Days",221.1,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce Tribs
4degC",213.9333,7.16669999999999
"TrinityOceanReach Mean Ann Fishing Days",254.6,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce Tribs
4degC",252.9333,1.66669999999999
"KenoReach Mean Ann Boating Days",177.2333,"days","Recreation Boating","CT","CMIP3",2030,"Reduce Tribs
4degC",171.8,5.4333
"BoyleReach Mean Ann Boating Days",52.1667,"days","Recreation Boating","CT","CMIP3",2030,"Reduce Tribs
4degC",59,-6.8333
"HellsCornerReach Mean Ann Boating Days",200.6,"days","Recreation Boating","CT","CMIP3",2030,"Reduce Tribs
4degC",256,-55.4
"IGScottReach Mean Ann Boating Days",280.3333,"days","Recreation Boating","CT","CMIP3",2030,"Reduce Tribs
4degC",274.7333,5.60000000000002
"ScottSalmonReach Mean Ann Boating Days",248.9667,"days","Recreation Boating","CT","CMIP3",2030,"Reduce Tribs
4degC",249.2333,-0.266600000000011
"SalmonTrinityReach Mean Ann Boating Days",221.1,"days","Recreation Boating","CT","CMIP3",2030,"Reduce Tribs
4degC",213.9333,7.16669999999999
"TrinityOceanReach Mean Ann Boating Days",254.6,"days","Recreation Boating","CT","CMIP3",2030,"Reduce Tribs
4degC",252.9333,1.66669999999999
"Mean Percent Full Supply (Apr-Sep)",91.7924,"%","Water Delivery","CT","CMIP3",2030,"Reduce Tribs
4degC",NA,NA
"Mean Annual UKL Stg and Inflow",1372.1452,"KAF","Water Delivery","CT","CMIP3",2030,"Reduce Tribs
4degC",1377.9978,-5.85260000000017
"Mean Annual Shasta Flow",188.9612,"cfs","Water Delivery","CT","CMIP3",2030,"Reduce Tribs
4degC",187.6871,1.2741
"Mean Annual Scott Flow",712.1465,"cfs","Water Delivery","CT","CMIP3",2030,"Reduce Tribs
4degC",668.7854,43.3611
"Mean Annual MWAT",76.4463,"degF","Water Quality","CT","CMIP3",2030,"Reduce Tribs
4degC",75.7443,0.701999999999998
"Mean exceedence of MWAT - Poor",12.7663,"degF","Water Quality","CT","CMIP3",2030,"Reduce Tribs
4degC",12.0643,0.702
"Frequency Meeting Dry Year Fish Targets Scott",69.3073,"% of Days","Ecological Resources","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",70.5029,-1.1956
"Frequency Meeting Dry Year Fish Targets Shasta",55.2158,"% of Days","Ecological Resources","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",56.8769,-1.6611
"Mean Percent of Annual Refuge Demand",17.9863,"% of Years","Ecological Resources","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Mean Annual Hydropower Generated (MW)",25595.2076,"MW","Hydropower","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",26741.1142,-1145.9066
"Boyle Mean Spill Volume per year",255.8815,"KAF","Hydropower","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Copco1 Mean Spill Volume per year",288.0424,"KAF","Hydropower","CT","CMIP3",2030,"Reduce Dam
Outflow
4degC",NA,NA
