"measure","value","units","category","scenario","climset","period","strategy","value_hist","magchange"
"Freq of UKL Flood Control Release",37.8845,"Percent of Days","Flood Control","HD","CMIP3",2030,"Add Flow
20%",44.1179,-6.2334
"Mean Ann UKL Flood Control Release Volume",231.6017,"KAF","Flood Control","HD","CMIP3",2030,"Add Flow
20%",224.4786,7.12309999999999
"KenoReach Mean Ann Fishing Days",272.9,"days","Recreation Fishing","HD","CMIP3",2030,"Add Flow
20%",247.6667,25.2333
"BoyleReach Mean Ann Fishing Days",191.6333,"days","Recreation Fishing","HD","CMIP3",2030,"Add Flow
20%",154.9,36.7333
"HellsCornerReach Mean Ann Fishing Days",275.4,"days","Recreation Fishing","HD","CMIP3",2030,"Add Flow
20%",220.4333,54.9667
"IGScottReach Mean Ann Fishing Days",285.1667,"days","Recreation Fishing","HD","CMIP3",2030,"Add Flow
20%",274.7333,10.4334
"ScottSalmonReach Mean Ann Fishing Days",211.5333,"days","Recreation Fishing","HD","CMIP3",2030,"Add Flow
20%",183.9667,27.5666
"SalmonTrinityReach Mean Ann Fishing Days",244.0667,"days","Recreation Fishing","HD","CMIP3",2030,"Add Flow
20%",213.9333,30.1334
"TrinityOceanReach Mean Ann Fishing Days",272.5333,"days","Recreation Fishing","HD","CMIP3",2030,"Add Flow
20%",252.9333,19.6
"KenoReach Mean Ann Boating Days",150.7667,"days","Recreation Boating","HD","CMIP3",2030,"Add Flow
20%",171.8,-21.0333
"BoyleReach Mean Ann Boating Days",41.9667,"days","Recreation Boating","HD","CMIP3",2030,"Add Flow
20%",59,-17.0333
"HellsCornerReach Mean Ann Boating Days",179.6,"days","Recreation Boating","HD","CMIP3",2030,"Add Flow
20%",256,-76.4
"IGScottReach Mean Ann Boating Days",285.1667,"days","Recreation Boating","HD","CMIP3",2030,"Add Flow
20%",274.7333,10.4334
"ScottSalmonReach Mean Ann Boating Days",260.5333,"days","Recreation Boating","HD","CMIP3",2030,"Add Flow
20%",249.2333,11.3
"SalmonTrinityReach Mean Ann Boating Days",244.0667,"days","Recreation Boating","HD","CMIP3",2030,"Add Flow
20%",213.9333,30.1334
"TrinityOceanReach Mean Ann Boating Days",272.5333,"days","Recreation Boating","HD","CMIP3",2030,"Add Flow
20%",252.9333,19.6
"Mean Percent Full Supply (Apr-Sep)",84.639,"%","Water Delivery","HD","CMIP3",2030,"Add Flow
20%",NA,NA
"Mean Annual UKL Stg and Inflow",1256.1549,"KAF","Water Delivery","HD","CMIP3",2030,"Add Flow
20%",1377.9978,-121.8429
"Mean Annual Shasta Flow",173.102,"cfs","Water Delivery","HD","CMIP3",2030,"Add Flow
20%",187.6871,-14.5851
"Mean Annual Scott Flow",613.0855,"cfs","Water Delivery","HD","CMIP3",2030,"Add Flow
20%",668.7854,-55.6999
"Mean Annual MWAT",79.7771,"degF","Water Quality","HD","CMIP3",2030,"Add Flow
20%",75.7443,4.03280000000001
"Mean exceedence of MWAT - Poor",16.0971,"degF","Water Quality","HD","CMIP3",2030,"Add Flow
20%",12.0643,4.0328
"Frequency Meeting Dry Year Fish Targets Scott",62.9826,"% of Days","Ecological Resources","HD","CMIP3",2030,"Reduce Tribs
4degC",70.5029,-7.5203
"Frequency Meeting Dry Year Fish Targets Shasta",51.4101,"% of Days","Ecological Resources","HD","CMIP3",2030,"Reduce Tribs
4degC",56.8769,-5.4668
"Mean Percent of Annual Refuge Demand",10.9783,"% of Years","Ecological Resources","HD","CMIP3",2030,"Reduce Tribs
4degC",NA,NA
"Mean Annual Hydropower Generated (MW)",23371.6167,"MW","Hydropower","HD","CMIP3",2030,"Reduce Tribs
4degC",26741.1142,-3369.4975
"Boyle Mean Spill Volume per year",194.6359,"KAF","Hydropower","HD","CMIP3",2030,"Reduce Tribs
4degC",NA,NA
"Copco1 Mean Spill Volume per year",224.3456,"KAF","Hydropower","HD","CMIP3",2030,"Reduce Tribs
4degC",NA,NA
"Iron Gate Mean Spill Volume per year",493.2449,"KAF","Hydropower","HD","CMIP3",2030,"Reduce Tribs
4degC",NA,NA
"Boyle Mean Spill Days per year",151.3667,"days","Hydropower","HD","CMIP3",2030,"Reduce Tribs
4degC",NA,NA
"Copco1 Mean Spill Days per year",38.8333,"days","Hydropower","HD","CMIP3",2030,"Reduce Tribs
4degC",NA,NA
"IronGate Mean Spill Days per year",111.1333,"days","Hydropower","HD","CMIP3",2030,"Reduce Tribs
4degC",NA,NA
"Freq of UKL Flood Control Release",37.8845,"Percent of Days","Flood Control","HD","CMIP3",2030,"Reduce Tribs
4degC",44.1179,-6.2334
"Mean Ann UKL Flood Control Release Volume",231.6017,"KAF","Flood Control","HD","CMIP3",2030,"Reduce Tribs
4degC",224.4786,7.12309999999999
"KenoReach Mean Ann Fishing Days",272.9,"days","Recreation Fishing","HD","CMIP3",2030,"Reduce Tribs
4degC",247.6667,25.2333
"BoyleReach Mean Ann Fishing Days",191.6333,"days","Recreation Fishing","HD","CMIP3",2030,"Reduce Tribs
4degC",154.9,36.7333
"HellsCornerReach Mean Ann Fishing Days",275.4,"days","Recreation Fishing","HD","CMIP3",2030,"Reduce Tribs
4degC",220.4333,54.9667
"IGScottReach Mean Ann Fishing Days",285.1667,"days","Recreation Fishing","HD","CMIP3",2030,"Reduce Tribs
4degC",274.7333,10.4334
"ScottSalmonReach Mean Ann Fishing Days",211.5333,"days","Recreation Fishing","HD","CMIP3",2030,"Reduce Tribs
4degC",183.9667,27.5666
"SalmonTrinityReach Mean Ann Fishing Days",244.0667,"days","Recreation Fishing","HD","CMIP3",2030,"Reduce Tribs
4degC",213.9333,30.1334
"TrinityOceanReach Mean Ann Fishing Days",272.5333,"days","Recreation Fishing","HD","CMIP3",2030,"Reduce Tribs
4degC",252.9333,19.6
"KenoReach Mean Ann Boating Days",150.7667,"days","Recreation Boating","HD","CMIP3",2030,"Reduce Tribs
4degC",171.8,-21.0333
"BoyleReach Mean Ann Boating Days",41.9667,"days","Recreation Boating","HD","CMIP3",2030,"Reduce Tribs
4degC",59,-17.0333
"HellsCornerReach Mean Ann Boating Days",179.6,"days","Recreation Boating","HD","CMIP3",2030,"Reduce Tribs
4degC",256,-76.4
"IGScottReach Mean Ann Boating Days",285.1667,"days","Recreation Boating","HD","CMIP3",2030,"Reduce Tribs
4degC",274.7333,10.4334
"ScottSalmonReach Mean Ann Boating Days",260.5333,"days","Recreation Boating","HD","CMIP3",2030,"Reduce Tribs
4degC",249.2333,11.3
"SalmonTrinityReach Mean Ann Boating Days",244.0667,"days","Recreation Boating","HD","CMIP3",2030,"Reduce Tribs
4degC",213.9333,30.1334
"TrinityOceanReach Mean Ann Boating Days",272.5333,"days","Recreation Boating","HD","CMIP3",2030,"Reduce Tribs
4degC",252.9333,19.6
"Mean Percent Full Supply (Apr-Sep)",84.639,"%","Water Delivery","HD","CMIP3",2030,"Reduce Tribs
4degC",NA,NA
"Mean Annual UKL Stg and Inflow",1256.1549,"KAF","Water Delivery","HD","CMIP3",2030,"Reduce Tribs
4degC",1377.9978,-121.8429
"Mean Annual Shasta Flow",173.102,"cfs","Water Delivery","HD","CMIP3",2030,"Reduce Tribs
4degC",187.6871,-14.5851
"Mean Annual Scott Flow",613.0855,"cfs","Water Delivery","HD","CMIP3",2030,"Reduce Tribs
4degC",668.7854,-55.6999
"Mean Annual MWAT",77.2151,"degF","Water Quality","HD","CMIP3",2030,"Reduce Tribs
4degC",75.7443,1.47080000000001
"Mean exceedence of MWAT - Poor",13.5351,"degF","Water Quality","HD","CMIP3",2030,"Reduce Tribs
4degC",12.0643,1.4708
"Frequency Meeting Dry Year Fish Targets Scott",62.9826,"% of Days","Ecological Resources","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",70.5029,-7.5203
"Frequency Meeting Dry Year Fish Targets Shasta",51.4101,"% of Days","Ecological Resources","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",56.8769,-5.4668
"Mean Percent of Annual Refuge Demand",10.9783,"% of Years","Ecological Resources","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Mean Annual Hydropower Generated (MW)",23371.6167,"MW","Hydropower","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",26741.1142,-3369.4975
"Boyle Mean Spill Volume per year",194.6359,"KAF","Hydropower","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Copco1 Mean Spill Volume per year",224.3456,"KAF","Hydropower","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Iron Gate Mean Spill Volume per year",493.2449,"KAF","Hydropower","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Boyle Mean Spill Days per year",151.3667,"days","Hydropower","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Copco1 Mean Spill Days per year",38.8333,"days","Hydropower","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",NA,NA
"IronGate Mean Spill Days per year",111.1333,"days","Hydropower","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Freq of UKL Flood Control Release",37.8845,"Percent of Days","Flood Control","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",44.1179,-6.2334
"Mean Ann UKL Flood Control Release Volume",231.6017,"KAF","Flood Control","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",224.4786,7.12309999999999
"KenoReach Mean Ann Fishing Days",272.9,"days","Recreation Fishing","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",247.6667,25.2333
"BoyleReach Mean Ann Fishing Days",191.6333,"days","Recreation Fishing","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",154.9,36.7333
"HellsCornerReach Mean Ann Fishing Days",275.4,"days","Recreation Fishing","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",220.4333,54.9667
"IGScottReach Mean Ann Fishing Days",285.1667,"days","Recreation Fishing","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",274.7333,10.4334
"ScottSalmonReach Mean Ann Fishing Days",211.5333,"days","Recreation Fishing","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",183.9667,27.5666
"SalmonTrinityReach Mean Ann Fishing Days",244.0667,"days","Recreation Fishing","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",213.9333,30.1334
"TrinityOceanReach Mean Ann Fishing Days",272.5333,"days","Recreation Fishing","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",252.9333,19.6
"KenoReach Mean Ann Boating Days",150.7667,"days","Recreation Boating","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",171.8,-21.0333
"BoyleReach Mean Ann Boating Days",41.9667,"days","Recreation Boating","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",59,-17.0333
"HellsCornerReach Mean Ann Boating Days",179.6,"days","Recreation Boating","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",256,-76.4
"IGScottReach Mean Ann Boating Days",285.1667,"days","Recreation Boating","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",274.7333,10.4334
"ScottSalmonReach Mean Ann Boating Days",260.5333,"days","Recreation Boating","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",249.2333,11.3
"SalmonTrinityReach Mean Ann Boating Days",244.0667,"days","Recreation Boating","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",213.9333,30.1334
"TrinityOceanReach Mean Ann Boating Days",272.5333,"days","Recreation Boating","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",252.9333,19.6
"Mean Percent Full Supply (Apr-Sep)",84.639,"%","Water Delivery","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",NA,NA
"Mean Annual UKL Stg and Inflow",1256.1549,"KAF","Water Delivery","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",1377.9978,-121.8429
"Mean Annual Shasta Flow",173.102,"cfs","Water Delivery","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",187.6871,-14.5851
"Mean Annual Scott Flow",613.0855,"cfs","Water Delivery","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",668.7854,-55.6999
"Mean Annual MWAT",77.6454,"degF","Water Quality","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",75.7443,1.9011
"Mean exceedence of MWAT - Poor",13.9654,"degF","Water Quality","HD","CMIP3",2030,"Reduce Dam
Outflow
4degC",12.0643,1.9011
"Frequency Meeting Dry Year Fish Targets Scott",58.5014,"% of Days","Ecological Resources","HD","CMIP3",2070,"Baseline",70.5029,-12.0015
"Frequency Meeting Dry Year Fish Targets Shasta",47.0841,"% of Days","Ecological Resources","HD","CMIP3",2070,"Baseline",56.8769,-9.7928
"Mean Annual Water Delivery to LKNWR",8.2921,"KAF","Ecological Resources","HD","CMIP3",2070,"Baseline",24.6143,-16.3222
"Mean Annual Hydropower Generated (MW)",22661.943,"MW","Hydropower","HD","CMIP3",2070,"Baseline",26741.1142,-4079.1712
"Boyle Mean Spill Volume per Year",216.5871,"KAF","Hydropower","HD","CMIP3",2070,"Baseline",163.0602,53.5269
"Copco1 Mean Spill Volume per Year",243.2811,"KAF","Hydropower","HD","CMIP3",2070,"Baseline",186.3791,56.902
"Iron Gate Mean Spill Volume per Year",485.9708,"KAF","Hydropower","HD","CMIP3",2070,"Baseline",533.8601,-47.8893
"Boyle Mean Spill Days per Year",156.5667,"days","Hydropower","HD","CMIP3",2070,"Baseline",105.9,50.6667
"Copco1 Mean Spill Days per Year",37.5333,"days","Hydropower","HD","CMIP3",2070,"Baseline",42.8,-5.2667
"Iron Gate Mean Spill Days per Year",110.1,"days","Hydropower","HD","CMIP3",2070,"Baseline",170.3333,-60.2333
"Freq of UKL Flood Control Release",34.389,"Percent of Days","Flood Control","HD","CMIP3",2070,"Baseline",44.1179,-9.7289
"Mean Ann UKL Flood Control Release Volume",226.2618,"KAF","Flood Control","HD","CMIP3",2070,"Baseline",224.4786,1.78319999999999
"KenoReach Mean Ann Fishing Days",265.1,"days","Recreation Fishing","HD","CMIP3",2070,"Baseline",247.6667,17.4333
"BoyleReach Mean Ann Fishing Days",198.1667,"days","Recreation Fishing","HD","CMIP3",2070,"Baseline",154.9,43.2667
"HellsCornerReach Mean Ann Fishing Days",275.5667,"days","Recreation Fishing","HD","CMIP3",2070,"Baseline",220.4333,55.1334
"IGScottReach Mean Ann Fishing Days",285.0333,"days","Recreation Fishing","HD","CMIP3",2070,"Baseline",274.7333,10.3
"ScottSalmonReach Mean Ann Fishing Days",216.2667,"days","Recreation Fishing","HD","CMIP3",2070,"Baseline",183.9667,32.3
"SalmonTrinityReach Mean Ann Fishing Days",249.5333,"days","Recreation Fishing","HD","CMIP3",2070,"Baseline",213.9333,35.6
"TrinityOceanReach Mean Ann Fishing Days",281.5667,"days","Recreation Fishing","HD","CMIP3",2070,"Baseline",252.9333,28.6334
"KenoReach Mean Ann Boating Days",142.1333,"days","Recreation Boating","HD","CMIP3",2070,"Baseline",171.8,-29.6667
"BoyleReach Mean Ann Boating Days",51,"days","Recreation Boating","HD","CMIP3",2070,"Baseline",59,-8
"HellsCornerReach Mean Ann Boating Days",168.1,"days","Recreation Boating","HD","CMIP3",2070,"Baseline",256,-87.9
"IGScottReach Mean Ann Boating Days",285.0333,"days","Recreation Boating","HD","CMIP3",2070,"Baseline",274.7333,10.3
"ScottSalmonReach Mean Ann Boating Days",261.5667,"days","Recreation Boating","HD","CMIP3",2070,"Baseline",249.2333,12.3334
"SalmonTrinityReach Mean Ann Boating Days",249.5333,"days","Recreation Boating","HD","CMIP3",2070,"Baseline",213.9333,35.6
"TrinityOceanReach Mean Ann Boating Days",281.5667,"days","Recreation Boating","HD","CMIP3",2070,"Baseline",252.9333,28.6334
"Mean Project Supply (Apr-Sep)",317.8179,"KAF","Water Delivery","HD","CMIP3",2070,"Baseline",361.3104,-43.4925
"Mean Annual UKL Stg and Inflow",1195.9243,"KAF","Water Delivery","HD","CMIP3",2070,"Baseline",1377.9978,-182.0735
"Mean Annual Shasta Flow",159.4919,"cfs","Water Delivery","HD","CMIP3",2070,"Baseline",187.6871,-28.1952
"Mean Annual Scott Flow",547.4564,"cfs","Water Delivery","HD","CMIP3",2070,"Baseline",668.7854,-121.329
"Mean Annual MWAT",82.7394,"degF","Water Quality","HD","CMIP3",2070,"Baseline",75.7443,6.99510000000001
"Mean exceedence of MWAT - Poor",19.0594,"degF","Water Quality","HD","CMIP3",2070,"Baseline",12.0643,6.9951
"Frequency Meeting Dry Year Fish Targets Scott",58.5014,"% of Days","Ecological Resources","HD","CMIP3",2070,"Add Flow
10%",70.5029,-12.0015
"Frequency Meeting Dry Year Fish Targets Shasta",47.0841,"% of Days","Ecological Resources","HD","CMIP3",2070,"Add Flow
10%",56.8769,-9.7928
"Mean Percent of Annual Refuge Demand",8.692,"% of Years","Ecological Resources","HD","CMIP3",2070,"Add Flow
10%",NA,NA
"Mean Annual Hydropower Generated (MW)",22661.943,"MW","Hydropower","HD","CMIP3",2070,"Add Flow
10%",26741.1142,-4079.1712
"Boyle Mean Spill Volume per year",216.5871,"KAF","Hydropower","HD","CMIP3",2070,"Add Flow
10%",NA,NA
"Copco1 Mean Spill Volume per year",243.2811,"KAF","Hydropower","HD","CMIP3",2070,"Add Flow
10%",NA,NA
"Iron Gate Mean Spill Volume per year",485.9708,"KAF","Hydropower","HD","CMIP3",2070,"Add Flow
10%",NA,NA
"Boyle Mean Spill Days per year",156.5667,"days","Hydropower","HD","CMIP3",2070,"Add Flow
10%",NA,NA
"Copco1 Mean Spill Days per year",37.5333,"days","Hydropower","HD","CMIP3",2070,"Add Flow
10%",NA,NA
"IronGate Mean Spill Days per year",110.1,"days","Hydropower","HD","CMIP3",2070,"Add Flow
10%",NA,NA
"Freq of UKL Flood Control Release",34.389,"Percent of Days","Flood Control","HD","CMIP3",2070,"Add Flow
10%",44.1179,-9.7289
"Mean Ann UKL Flood Control Release Volume",226.2618,"KAF","Flood Control","HD","CMIP3",2070,"Add Flow
10%",224.4786,1.78319999999999
"KenoReach Mean Ann Fishing Days",265.1,"days","Recreation Fishing","HD","CMIP3",2070,"Add Flow
10%",247.6667,17.4333
"BoyleReach Mean Ann Fishing Days",198.1667,"days","Recreation Fishing","HD","CMIP3",2070,"Add Flow
10%",154.9,43.2667
"HellsCornerReach Mean Ann Fishing Days",275.5667,"days","Recreation Fishing","HD","CMIP3",2070,"Add Flow
10%",220.4333,55.1334
"IGScottReach Mean Ann Fishing Days",285.0333,"days","Recreation Fishing","HD","CMIP3",2070,"Add Flow
10%",274.7333,10.3
"ScottSalmonReach Mean Ann Fishing Days",216.2667,"days","Recreation Fishing","HD","CMIP3",2070,"Add Flow
10%",183.9667,32.3
"SalmonTrinityReach Mean Ann Fishing Days",249.5333,"days","Recreation Fishing","HD","CMIP3",2070,"Add Flow
10%",213.9333,35.6
"TrinityOceanReach Mean Ann Fishing Days",281.5667,"days","Recreation Fishing","HD","CMIP3",2070,"Add Flow
10%",252.9333,28.6334
"KenoReach Mean Ann Boating Days",142.1333,"days","Recreation Boating","HD","CMIP3",2070,"Add Flow
10%",171.8,-29.6667
"BoyleReach Mean Ann Boating Days",51,"days","Recreation Boating","HD","CMIP3",2070,"Add Flow
10%",59,-8
"HellsCornerReach Mean Ann Boating Days",168.1,"days","Recreation Boating","HD","CMIP3",2070,"Add Flow
10%",256,-87.9
"IGScottReach Mean Ann Boating Days",285.0333,"days","Recreation Boating","HD","CMIP3",2070,"Add Flow
10%",274.7333,10.3
"ScottSalmonReach Mean Ann Boating Days",261.5667,"days","Recreation Boating","HD","CMIP3",2070,"Add Flow
10%",249.2333,12.3334
"SalmonTrinityReach Mean Ann Boating Days",249.5333,"days","Recreation Boating","HD","CMIP3",2070,"Add Flow
10%",213.9333,35.6
"TrinityOceanReach Mean Ann Boating Days",281.5667,"days","Recreation Boating","HD","CMIP3",2070,"Add Flow
10%",252.9333,28.6334
"Mean Percent Full Supply (Apr-Sep)",81.4918,"%","Water Delivery","HD","CMIP3",2070,"Add Flow
10%",NA,NA
"Mean Annual UKL Stg and Inflow",1195.9243,"KAF","Water Delivery","HD","CMIP3",2070,"Add Flow
10%",1377.9978,-182.0735
"Mean Annual Shasta Flow",159.4919,"cfs","Water Delivery","HD","CMIP3",2070,"Add Flow
10%",187.6871,-28.1952
"Mean Annual Scott Flow",547.4564,"cfs","Water Delivery","HD","CMIP3",2070,"Add Flow
10%",668.7854,-121.329
"Mean Annual MWAT",82.2611,"degF","Water Quality","HD","CMIP3",2070,"Add Flow
10%",75.7443,6.5168
"Mean exceedence of MWAT - Poor",18.5811,"degF","Water Quality","HD","CMIP3",2070,"Add Flow
10%",12.0643,6.5168
"Frequency Meeting Dry Year Fish Targets Scott",58.5014,"% of Days","Ecological Resources","HD","CMIP3",2070,"Add Flow
20%",70.5029,-12.0015
"Frequency Meeting Dry Year Fish Targets Shasta",47.0841,"% of Days","Ecological Resources","HD","CMIP3",2070,"Add Flow
20%",56.8769,-9.7928
"Mean Percent of Annual Refuge Demand",8.692,"% of Years","Ecological Resources","HD","CMIP3",2070,"Add Flow
20%",NA,NA
"Mean Annual Hydropower Generated (MW)",22661.943,"MW","Hydropower","HD","CMIP3",2070,"Add Flow
20%",26741.1142,-4079.1712
"Boyle Mean Spill Volume per year",216.5871,"KAF","Hydropower","HD","CMIP3",2070,"Add Flow
20%",NA,NA
"Copco1 Mean Spill Volume per year",243.2811,"KAF","Hydropower","HD","CMIP3",2070,"Add Flow
20%",NA,NA
"Iron Gate Mean Spill Volume per year",485.9708,"KAF","Hydropower","HD","CMIP3",2070,"Add Flow
20%",NA,NA
"Boyle Mean Spill Days per year",156.5667,"days","Hydropower","HD","CMIP3",2070,"Add Flow
20%",NA,NA
"Copco1 Mean Spill Days per year",37.5333,"days","Hydropower","HD","CMIP3",2070,"Add Flow
20%",NA,NA
"IronGate Mean Spill Days per year",110.1,"days","Hydropower","HD","CMIP3",2070,"Add Flow
20%",NA,NA
"Freq of UKL Flood Control Release",34.389,"Percent of Days","Flood Control","HD","CMIP3",2070,"Add Flow
20%",44.1179,-9.7289
"Mean Ann UKL Flood Control Release Volume",226.2618,"KAF","Flood Control","HD","CMIP3",2070,"Add Flow
20%",224.4786,1.78319999999999
"KenoReach Mean Ann Fishing Days",265.1,"days","Recreation Fishing","HD","CMIP3",2070,"Add Flow
20%",247.6667,17.4333
"BoyleReach Mean Ann Fishing Days",198.1667,"days","Recreation Fishing","HD","CMIP3",2070,"Add Flow
20%",154.9,43.2667
"HellsCornerReach Mean Ann Fishing Days",275.5667,"days","Recreation Fishing","HD","CMIP3",2070,"Add Flow
20%",220.4333,55.1334
"IGScottReach Mean Ann Fishing Days",285.0333,"days","Recreation Fishing","HD","CMIP3",2070,"Add Flow
20%",274.7333,10.3
"ScottSalmonReach Mean Ann Fishing Days",216.2667,"days","Recreation Fishing","HD","CMIP3",2070,"Add Flow
20%",183.9667,32.3
"SalmonTrinityReach Mean Ann Fishing Days",249.5333,"days","Recreation Fishing","HD","CMIP3",2070,"Add Flow
20%",213.9333,35.6
"TrinityOceanReach Mean Ann Fishing Days",281.5667,"days","Recreation Fishing","HD","CMIP3",2070,"Add Flow
20%",252.9333,28.6334
"KenoReach Mean Ann Boating Days",142.1333,"days","Recreation Boating","HD","CMIP3",2070,"Add Flow
20%",171.8,-29.6667
"BoyleReach Mean Ann Boating Days",51,"days","Recreation Boating","HD","CMIP3",2070,"Add Flow
20%",59,-8
"HellsCornerReach Mean Ann Boating Days",168.1,"days","Recreation Boating","HD","CMIP3",2070,"Add Flow
20%",256,-87.9
"IGScottReach Mean Ann Boating Days",285.0333,"days","Recreation Boating","HD","CMIP3",2070,"Add Flow
20%",274.7333,10.3
"ScottSalmonReach Mean Ann Boating Days",261.5667,"days","Recreation Boating","HD","CMIP3",2070,"Add Flow
20%",249.2333,12.3334
"SalmonTrinityReach Mean Ann Boating Days",249.5333,"days","Recreation Boating","HD","CMIP3",2070,"Add Flow
20%",213.9333,35.6
"TrinityOceanReach Mean Ann Boating Days",281.5667,"days","Recreation Boating","HD","CMIP3",2070,"Add Flow
20%",252.9333,28.6334
"Mean Percent Full Supply (Apr-Sep)",81.4918,"%","Water Delivery","HD","CMIP3",2070,"Add Flow
20%",NA,NA
"Mean Annual UKL Stg and Inflow",1195.9243,"KAF","Water Delivery","HD","CMIP3",2070,"Add Flow
20%",1377.9978,-182.0735
"Mean Annual Shasta Flow",159.4919,"cfs","Water Delivery","HD","CMIP3",2070,"Add Flow
20%",187.6871,-28.1952
"Mean Annual Scott Flow",547.4564,"cfs","Water Delivery","HD","CMIP3",2070,"Add Flow
20%",668.7854,-121.329
"Mean Annual MWAT",81.8763,"degF","Water Quality","HD","CMIP3",2070,"Add Flow
20%",75.7443,6.13200000000001
"Mean exceedence of MWAT - Poor",18.1963,"degF","Water Quality","HD","CMIP3",2070,"Add Flow
20%",12.0643,6.132
"Frequency Meeting Dry Year Fish Targets Scott",58.5014,"% of Days","Ecological Resources","HD","CMIP3",2070,"Reduce Tribs
4degC",70.5029,-12.0015
"Frequency Meeting Dry Year Fish Targets Shasta",47.0841,"% of Days","Ecological Resources","HD","CMIP3",2070,"Reduce Tribs
4degC",56.8769,-9.7928
"Mean Percent of Annual Refuge Demand",8.692,"% of Years","Ecological Resources","HD","CMIP3",2070,"Reduce Tribs
4degC",NA,NA
"Mean Annual Hydropower Generated (MW)",22661.943,"MW","Hydropower","HD","CMIP3",2070,"Reduce Tribs
4degC",26741.1142,-4079.1712
"Boyle Mean Spill Volume per year",216.5871,"KAF","Hydropower","HD","CMIP3",2070,"Reduce Tribs
4degC",NA,NA
"Copco1 Mean Spill Volume per year",243.2811,"KAF","Hydropower","HD","CMIP3",2070,"Reduce Tribs
4degC",NA,NA
"Iron Gate Mean Spill Volume per year",485.9708,"KAF","Hydropower","HD","CMIP3",2070,"Reduce Tribs
4degC",NA,NA
"Boyle Mean Spill Days per year",156.5667,"days","Hydropower","HD","CMIP3",2070,"Reduce Tribs
4degC",NA,NA
"Copco1 Mean Spill Days per year",37.5333,"days","Hydropower","HD","CMIP3",2070,"Reduce Tribs
4degC",NA,NA
"IronGate Mean Spill Days per year",110.1,"days","Hydropower","HD","CMIP3",2070,"Reduce Tribs
4degC",NA,NA
"Freq of UKL Flood Control Release",34.389,"Percent of Days","Flood Control","HD","CMIP3",2070,"Reduce Tribs
4degC",44.1179,-9.7289
"Mean Ann UKL Flood Control Release Volume",226.2618,"KAF","Flood Control","HD","CMIP3",2070,"Reduce Tribs
4degC",224.4786,1.78319999999999
"KenoReach Mean Ann Fishing Days",265.1,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce Tribs
4degC",247.6667,17.4333
"BoyleReach Mean Ann Fishing Days",198.1667,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce Tribs
4degC",154.9,43.2667
"HellsCornerReach Mean Ann Fishing Days",275.5667,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce Tribs
4degC",220.4333,55.1334
"IGScottReach Mean Ann Fishing Days",285.0333,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce Tribs
4degC",274.7333,10.3
"ScottSalmonReach Mean Ann Fishing Days",216.2667,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce Tribs
4degC",183.9667,32.3
"SalmonTrinityReach Mean Ann Fishing Days",249.5333,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce Tribs
4degC",213.9333,35.6
"TrinityOceanReach Mean Ann Fishing Days",281.5667,"days","Recreation Fishing","HD","CMIP3",2070,"Reduce Tribs
4degC",252.9333,28.6334
"KenoReach Mean Ann Boating Days",142.1333,"days","Recreation Boating","HD","CMIP3",2070,"Reduce Tribs
4degC",171.8,-29.6667
"BoyleReach Mean Ann Boating Days",51,"days","Recreation Boating","HD","CMIP3",2070,"Reduce Tribs
4degC",59,-8
