"measure","scenario","period","climset","strategy","value_hist","pctchange","colournm"
"BoyleReach Mean Ann Boating Days","1",2030,"CMIP3","Baseline",59,14.2372881355932,"3"
"BoyleReach Mean Ann Boating Days","1",2030,"CMIP3","Reduce ET 30%",59,14.7457627118644,"3"
"BoyleReach Mean Ann Boating Days","1",2030,"CMIP3","Reduce ET 50%",59,17.8530508474576,"3"
"BoyleReach Mean Ann Boating Days","1",2030,"CMIP3","Add 30KAF",59,14.3503389830509,"3"
"BoyleReach Mean Ann Boating Days","1",2030,"CMIP5","Baseline",59,-2.71186440677966,"2"
"BoyleReach Mean Ann Boating Days","1",2030,"CMIP5","Reduce ET 30%",59,-1.86440677966102,"2"
"BoyleReach Mean Ann Boating Days","1",2030,"CMIP5","Reduce ET 50%",59,-1.58186440677967,"2"
"BoyleReach Mean Ann Boating Days","1",2030,"CMIP5","Add 30KAF",59,-2.65542372881355,"2"
"BoyleReach Mean Ann Boating Days","2",2030,"CMIP3","Baseline",59,-10.8474576271186,"2"
"BoyleReach Mean Ann Boating Days","2",2030,"CMIP3","Reduce ET 30%",59,-10.9038983050848,"2"
"BoyleReach Mean Ann Boating Days","2",2030,"CMIP3","Reduce ET 50%",59,-11.3559322033898,"2"
"BoyleReach Mean Ann Boating Days","2",2030,"CMIP3","Add 30KAF",59,-5.31067796610169,"2"
"BoyleReach Mean Ann Boating Days","2",2030,"CMIP5","Baseline",59,-10.9605084745763,"2"
"BoyleReach Mean Ann Boating Days","2",2030,"CMIP5","Reduce ET 30%",59,-8.24864406779661,"2"
"BoyleReach Mean Ann Boating Days","2",2030,"CMIP5","Reduce ET 50%",59,-7.96610169491526,"2"
"BoyleReach Mean Ann Boating Days","2",2030,"CMIP5","Add 30KAF",59,-4.68932203389831,"2"
"BoyleReach Mean Ann Boating Days","3",2030,"CMIP3","Baseline",59,-7.17508474576271,"2"
"BoyleReach Mean Ann Boating Days","3",2030,"CMIP3","Reduce ET 30%",59,-7.79661016949153,"2"
"BoyleReach Mean Ann Boating Days","3",2030,"CMIP3","Reduce ET 50%",59,-7.06220338983051,"2"
"BoyleReach Mean Ann Boating Days","3",2030,"CMIP3","Add 30KAF",59,-7.40118644067797,"2"
"BoyleReach Mean Ann Boating Days","3",2030,"CMIP5","Baseline",59,-10.3389830508475,"2"
"BoyleReach Mean Ann Boating Days","3",2030,"CMIP5","Reduce ET 30%",59,-8.98305084745762,"2"
"BoyleReach Mean Ann Boating Days","3",2030,"CMIP5","Reduce ET 50%",59,-9.03949152542373,"2"
"BoyleReach Mean Ann Boating Days","3",2030,"CMIP5","Add 30KAF",59,-8.64406779661017,"2"
"BoyleReach Mean Ann Boating Days","4",2030,"CMIP3","Baseline",59,-28.87,"1"
"BoyleReach Mean Ann Boating Days","4",2030,"CMIP3","Reduce ET 30%",59,-29.0961016949152,"1"
