     Measure	       Value	       Units
----------------------------------------
Frequency Meeting Dry Year Fish Targets Scott	      67.1899	    % of Days
Frequency Meeting Dry Year Fish Targets Shasta	      56.5575	    % of Days
Mean Annual Water Delivery to LKNWR	      12.2080	          KAF
Mean Annual Hydropower Generated (MW)	   26283.7877	           MW
Boyle Mean Spill Volume per Year	     582.7187	          KAF
Copco1 Mean Spill Volume per Year	     583.8971	          KAF
Iron Gate Mean Spill Volume per Year	     951.7957	          KAF
Boyle Mean Spill Days per Year	     253.1000	         days
Copco1 Mean Spill Days per Year	      62.4333	         days
Iron Gate Mean Spill Days per Year	     151.8667	         days
Freq of UKL Flood Control Release	      43.9263	 Percent of Days
Mean Ann UKL Flood Control Release Volume	     448.0705	          KAF
KenoReach Mean Ann Fishing Days	     207.7333	         days
BoyleReach Mean Ann Fishing Days	     138.0000	         days
HellsCornerReach Mean Ann Fishing Days	     229.3000	         days
IGScottReach Mean Ann Fishing Days	     247.0667	         days
ScottSalmonReach Mean Ann Fishing Days	     189.6333	         days
SalmonTrinityReach Mean Ann Fishing Days	     220.0000	         days
TrinityOceanReach Mean Ann Fishing Days	     246.7667	         days
KenoReach Mean Ann Boating Days	     182.7333	         days
BoyleReach Mean Ann Boating Days	      50.7333	         days
HellsCornerReach Mean Ann Boating Days	     165.5333	         days
IGScottReach Mean Ann Boating Days	     247.0667	         days
ScottSalmonReach Mean Ann Boating Days	     232.2667	         days
SalmonTrinityReach Mean Ann Boating Days	     220.0000	         days
TrinityOceanReach Mean Ann Boating Days	     246.7667	         days
Mean Project Supply (Apr-Sep)	     368.4220	          KAF
Mean Annual UKL Stg and Inflow	    1495.9553	          KAF
 Mean Annual Shasta Flow	     214.1093	          cfs
  Mean Annual Scott Flow	     839.7791	          cfs
        Mean Annual MWAT	      83.6583	         degF
Mean exceedence of MWAT - Poor	      19.9783	         degF
