     Measure	       Value	       Units
----------------------------------------
Frequency Meeting Dry Year Fish Targets Scott	      69.3073	    % of Days
Frequency Meeting Dry Year Fish Targets Shasta	      55.2158	    % of Days
Mean Annual Water Delivery to LKNWR	      17.1589	          KAF
Mean Annual Hydropower Generated (MW)	   25595.2076	           MW
Boyle Mean Spill Volume per Year	     255.8815	          KAF
Copco1 Mean Spill Volume per Year	     288.0424	          KAF
Iron Gate Mean Spill Volume per Year	     613.4940	          KAF
Boyle Mean Spill Days per Year	     176.3667	         days
Copco1 Mean Spill Days per Year	      49.6667	         days
Iron Gate Mean Spill Days per Year	     131.8333	         days
Freq of UKL Flood Control Release	      43.8167	 Percent of Days
Mean Ann UKL Flood Control Release Volume	     290.6077	          KAF
KenoReach Mean Ann Fishing Days	     251.8333	         days
BoyleReach Mean Ann Fishing Days	     156.4333	         days
HellsCornerReach Mean Ann Fishing Days	     256.1333	         days
IGScottReach Mean Ann Fishing Days	     280.3333	         days
ScottSalmonReach Mean Ann Fishing Days	     188.5000	         days
SalmonTrinityReach Mean Ann Fishing Days	     221.1000	         days
TrinityOceanReach Mean Ann Fishing Days	     254.6000	         days
KenoReach Mean Ann Boating Days	     177.2333	         days
BoyleReach Mean Ann Boating Days	      52.1667	         days
HellsCornerReach Mean Ann Boating Days	     200.6000	         days
IGScottReach Mean Ann Boating Days	     280.3333	         days
ScottSalmonReach Mean Ann Boating Days	     248.9667	         days
SalmonTrinityReach Mean Ann Boating Days	     221.1000	         days
TrinityOceanReach Mean Ann Boating Days	     254.6000	         days
Mean Project Supply (Apr-Sep)	     357.9902	          KAF
Mean Annual UKL Stg and Inflow	    1372.1452	          KAF
 Mean Annual Shasta Flow	     188.9612	          cfs
  Mean Annual Scott Flow	     712.1465	          cfs
        Mean Annual MWAT	      79.8731	         degF
Mean exceedence of MWAT - Poor	      16.1931	         degF
