     Measure	       Value	       Units
----------------------------------------
Frequency Meeting Dry Year Fish Targets Scott	      65.8574	    % of Days
Frequency Meeting Dry Year Fish Targets Shasta	      53.2719	    % of Days
Mean Annual Water Delivery to LKNWR	      16.3383	          KAF
Mean Annual Hydropower Generated (MW)	   25394.6459	           MW
Boyle Mean Spill Volume per Year	     196.0889	          KAF
Copco1 Mean Spill Volume per Year	     211.8479	          KAF
Iron Gate Mean Spill Volume per Year	     512.6540	          KAF
Boyle Mean Spill Days per Year	     155.3000	         days
Copco1 Mean Spill Days per Year	      44.2000	         days
Iron Gate Mean Spill Days per Year	     132.2333	         days
Freq of UKL Flood Control Release	      41.4530	 Percent of Days
Mean Ann UKL Flood Control Release Volume	     218.4893	          KAF
KenoReach Mean Ann Fishing Days	     257.2333	         days
BoyleReach Mean Ann Fishing Days	     157.7000	         days
HellsCornerReach Mean Ann Fishing Days	     257.8000	         days
IGScottReach Mean Ann Fishing Days	     281.9667	         days
ScottSalmonReach Mean Ann Fishing Days	     197.1000	         days
SalmonTrinityReach Mean Ann Fishing Days	     231.9667	         days
TrinityOceanReach Mean Ann Fishing Days	     261.8000	         days
KenoReach Mean Ann Boating Days	     177.7333	         days
BoyleReach Mean Ann Boating Days	      52.6000	         days
HellsCornerReach Mean Ann Boating Days	     210.9667	         days
IGScottReach Mean Ann Boating Days	     281.9667	         days
ScottSalmonReach Mean Ann Boating Days	     257.3000	         days
SalmonTrinityReach Mean Ann Boating Days	     231.9667	         days
TrinityOceanReach Mean Ann Boating Days	     261.8000	         days
Mean Project Supply (Apr-Sep)	     357.2308	          KAF
Mean Annual UKL Stg and Inflow	    1366.7066	          KAF
 Mean Annual Shasta Flow	     179.9013	          cfs
  Mean Annual Scott Flow	     629.2486	          cfs
        Mean Annual MWAT	      78.9217	         degF
Mean exceedence of MWAT - Poor	      15.2417	         degF
