"measure","scenario","period","climset","strategy","value_hist","pctchange","colournm"
"Mean Annual Scott Flow","1",2070,"CMIP3","Baseline",668.7854,31.6937989375964,"4"
"Mean Annual Scott Flow","1",2070,"CMIP3","Reduce ET 30%",668.7854,31.8653786401438,"4"
"Mean Annual Scott Flow","1",2070,"CMIP3","Reduce ET 50%",668.7854,32.0064104270219,"4"
"Mean Annual Scott Flow","1",2070,"CMIP3","Add 30KAF",668.7854,31.6937989375964,"4"
"Mean Annual Scott Flow","1",2070,"CMIP5","Baseline",668.7854,28.5594900845623,"4"
"Mean Annual Scott Flow","1",2070,"CMIP5","Reduce ET 30%",668.7854,28.5777919195006,"4"
"Mean Annual Scott Flow","1",2070,"CMIP5","Reduce ET 50%",668.7854,28.6092220314618,"4"
"Mean Annual Scott Flow","1",2070,"CMIP5","Add 30KAF",668.7854,28.5594900845623,"4"
"Mean Annual Scott Flow","2",2070,"CMIP3","Baseline",668.7854,-11.2530865655859,"2"
"Mean Annual Scott Flow","2",2070,"CMIP3","Reduce ET 30%",668.7854,-10.9709631819116,"2"
"Mean Annual Scott Flow","2",2070,"CMIP3","Reduce ET 50%",668.7854,-10.73752507157,"2"
"Mean Annual Scott Flow","2",2070,"CMIP3","Add 30KAF",668.7854,-11.2530865655859,"2"
"Mean Annual Scott Flow","2",2070,"CMIP5","Baseline",668.7854,-7.49406311800467,"2"
"Mean Annual Scott Flow","2",2070,"CMIP5","Reduce ET 30%",668.7854,-7.31831167366991,"2"
"Mean Annual Scott Flow","2",2070,"CMIP5","Reduce ET 50%",668.7854,-7.1713287999409,"2"
"Mean Annual Scott Flow","2",2070,"CMIP5","Add 30KAF",668.7854,-7.49406311800467,"2"
"Mean Annual Scott Flow","3",2070,"CMIP3","Baseline",668.7854,23.0895889772713,"4"
"Mean Annual Scott Flow","3",2070,"CMIP3","Reduce ET 30%",668.7854,23.3750467638797,"4"
"Mean Annual Scott Flow","3",2070,"CMIP3","Reduce ET 50%",668.7854,23.6027580745632,"4"
"Mean Annual Scott Flow","3",2070,"CMIP3","Add 30KAF",668.7854,23.0895889772713,"4"
