     Measure	       Value	       Units
----------------------------------------
Frequency Meeting Dry Year Fish Targets Scott	      76.1431	    % of Days
Frequency Meeting Dry Year Fish Targets Shasta	      66.0582	    % of Days
Mean Annual Water Delivery to LKNWR	      15.6696	          KAF
Mean Annual Hydropower Generated (MW)	   27374.5849	           MW
Boyle Mean Spill Volume per Year	     398.7803	          KAF
Copco1 Mean Spill Volume per Year	     416.2883	          KAF
Iron Gate Mean Spill Volume per Year	     783.8572	          KAF
Boyle Mean Spill Days per Year	     230.1333	         days
Copco1 Mean Spill Days per Year	      59.0000	         days
Iron Gate Mean Spill Days per Year	     149.7667	         days
Freq of UKL Flood Control Release	      45.9432	 Percent of Days
Mean Ann UKL Flood Control Release Volume	     366.6051	          KAF
KenoReach Mean Ann Fishing Days	     212.8667	         days
BoyleReach Mean Ann Fishing Days	     125.9667	         days
HellsCornerReach Mean Ann Fishing Days	     233.5333	         days
IGScottReach Mean Ann Fishing Days	     269.2000	         days
ScottSalmonReach Mean Ann Fishing Days	     175.3667	         days
SalmonTrinityReach Mean Ann Fishing Days	     206.2000	         days
TrinityOceanReach Mean Ann Fishing Days	     234.3000	         days
KenoReach Mean Ann Boating Days	     197.7333	         days
BoyleReach Mean Ann Boating Days	      61.8667	         days
HellsCornerReach Mean Ann Boating Days	     204.3333	         days
IGScottReach Mean Ann Boating Days	     269.2000	         days
ScottSalmonReach Mean Ann Boating Days	     231.1000	         days
SalmonTrinityReach Mean Ann Boating Days	     206.2000	         days
TrinityOceanReach Mean Ann Boating Days	     234.3000	         days
Mean Project Supply (Apr-Sep)	     372.4986	          KAF
Mean Annual UKL Stg and Inflow	    1514.5107	          KAF
 Mean Annual Shasta Flow	     224.3609	          cfs
  Mean Annual Scott Flow	     859.7871	          cfs
        Mean Annual MWAT	      79.3940	         degF
Mean exceedence of MWAT - Poor	      15.7140	         degF
