     Measure	       Value	       Units
----------------------------------------
Frequency Meeting Dry Year Fish Targets Scott	      62.9826	    % of Days
Frequency Meeting Dry Year Fish Targets Shasta	      51.4101	    % of Days
Mean Annual Water Delivery to LKNWR	      10.4733	          KAF
Mean Annual Hydropower Generated (MW)	   23371.6167	           MW
Boyle Mean Spill Volume per Year	     194.6359	          KAF
Copco1 Mean Spill Volume per Year	     224.3456	          KAF
Iron Gate Mean Spill Volume per Year	     493.2449	          KAF
Boyle Mean Spill Days per Year	     151.3667	         days
Copco1 Mean Spill Days per Year	      38.8333	         days
Iron Gate Mean Spill Days per Year	     111.1333	         days
Freq of UKL Flood Control Release	      37.8845	 Percent of Days
Mean Ann UKL Flood Control Release Volume	     231.6017	          KAF
KenoReach Mean Ann Fishing Days	     272.9000	         days
BoyleReach Mean Ann Fishing Days	     191.6333	         days
HellsCornerReach Mean Ann Fishing Days	     275.4000	         days
IGScottReach Mean Ann Fishing Days	     285.1667	         days
ScottSalmonReach Mean Ann Fishing Days	     211.5333	         days
SalmonTrinityReach Mean Ann Fishing Days	     244.0667	         days
TrinityOceanReach Mean Ann Fishing Days	     272.5333	         days
KenoReach Mean Ann Boating Days	     150.7667	         days
BoyleReach Mean Ann Boating Days	      41.9667	         days
HellsCornerReach Mean Ann Boating Days	     179.6000	         days
IGScottReach Mean Ann Boating Days	     285.1667	         days
ScottSalmonReach Mean Ann Boating Days	     260.5333	         days
SalmonTrinityReach Mean Ann Boating Days	     244.0667	         days
TrinityOceanReach Mean Ann Boating Days	     272.5333	         days
Mean Project Supply (Apr-Sep)	     330.0919	          KAF
Mean Annual UKL Stg and Inflow	    1256.1549	          KAF
 Mean Annual Shasta Flow	     173.1020	          cfs
  Mean Annual Scott Flow	     613.0855	          cfs
        Mean Annual MWAT	      80.5794	         degF
Mean exceedence of MWAT - Poor	      16.8994	         degF
