"measure","scenario","period","climset","strategy","value_hist","pctchange","colournm"
"Boyle Mean Spill Volume per Year","3",2070,"CMIP3","Add 30KAF",163.0602,240.837923662549,"4"
"Boyle Mean Spill Volume per Year","3",2070,"CMIP5","Baseline",163.0602,257.364151399299,"4"
"Boyle Mean Spill Volume per Year","3",2070,"CMIP5","Reduce ET 30%",163.0602,260.296687971682,"4"
"Boyle Mean Spill Volume per Year","3",2070,"CMIP5","Reduce ET 50%",163.0602,261.971529533264,"4"
"Boyle Mean Spill Volume per Year","3",2070,"CMIP5","Add 30KAF",163.0602,264.085656708381,"4"
"Boyle Mean Spill Volume per Year","4",2070,"CMIP3","Baseline",163.0602,32.826465317717,"3"
"Boyle Mean Spill Volume per Year","4",2070,"CMIP3","Reduce ET 30%",163.0602,34.1443834853631,"3"
"Boyle Mean Spill Volume per Year","4",2070,"CMIP3","Reduce ET 50%",163.0602,34.9974426622806,"3"
"Boyle Mean Spill Volume per Year","4",2070,"CMIP3","Add 30KAF",163.0602,37.9610720457843,"3"
"Boyle Mean Spill Volume per Year","4",2070,"CMIP5","Baseline",163.0602,54.3861101605419,"3"
"Boyle Mean Spill Volume per Year","4",2070,"CMIP5","Reduce ET 30%",163.0602,56.8271718052596,"3"
"Boyle Mean Spill Volume per Year","4",2070,"CMIP5","Reduce ET 50%",163.0602,58.0846828349284,"3"
"Boyle Mean Spill Volume per Year","4",2070,"CMIP5","Add 30KAF",163.0602,59.7724030756739,"3"
"Boyle Mean Spill Volume per Year","5",2070,"CMIP3","Baseline",163.0602,131.861177650953,"3"
"Boyle Mean Spill Volume per Year","5",2070,"CMIP3","Reduce ET 30%",163.0602,133.378960653795,"4"
"Boyle Mean Spill Volume per Year","5",2070,"CMIP3","Reduce ET 50%",163.0602,134.594033369271,"4"
"Boyle Mean Spill Volume per Year","5",2070,"CMIP3","Add 30KAF",163.0602,138.075508309201,"4"
"Boyle Mean Spill Volume per Year","5",2070,"CMIP5","Baseline",163.0602,109.495695454807,"3"
"Boyle Mean Spill Volume per Year","5",2070,"CMIP5","Reduce ET 30%",163.0602,110.496368825747,"3"
"Boyle Mean Spill Volume per Year","5",2070,"CMIP5","Reduce ET 50%",163.0602,111.169739764823,"3"
"Boyle Mean Spill Volume per Year","5",2070,"CMIP5","Add 30KAF",163.0602,115.270924480652,"3"
"Copco1 Mean Spill Days per Year","1",2070,"CMIP3","Baseline",42.8,51.6355140186916,"3"
"Copco1 Mean Spill Days per Year","1",2070,"CMIP3","Reduce ET 30%",42.8,52.4142523364486,"3"
"Copco1 Mean Spill Days per Year","1",2070,"CMIP3","Reduce ET 50%",42.8,53.0373831775701,"3"
"Copco1 Mean Spill Days per Year","1",2070,"CMIP3","Add 30KAF",42.8,54.9843457943925,"3"
"Copco1 Mean Spill Days per Year","1",2070,"CMIP5","Baseline",42.8,37.8504672897196,"3"
"Copco1 Mean Spill Days per Year","1",2070,"CMIP5","Reduce ET 30%",42.8,38.3955607476636,"3"
"Copco1 Mean Spill Days per Year","1",2070,"CMIP5","Reduce ET 50%",42.8,38.8628504672897,"3"
"Copco1 Mean Spill Days per Year","1",2070,"CMIP5","Add 30KAF",42.8,40.6542056074766,"3"
"Copco1 Mean Spill Days per Year","2",2070,"CMIP3","Baseline",42.8,-2.57009345794391,"2"
"Copco1 Mean Spill Days per Year","2",2070,"CMIP3","Reduce ET 30%",42.8,-2.02499999999999,"2"
"Copco1 Mean Spill Days per Year","2",2070,"CMIP3","Reduce ET 50%",42.8,-1.63551401869158,"2"
"Copco1 Mean Spill Days per Year","2",2070,"CMIP3","Add 30KAF",42.8,1.6355140186916,"3"
"Copco1 Mean Spill Days per Year","2",2070,"CMIP5","Baseline",42.8,3.19322429906542,"3"
"Copco1 Mean Spill Days per Year","2",2070,"CMIP5","Reduce ET 30%",42.8,3.0373831775701,"3"
"Copco1 Mean Spill Days per Year","2",2070,"CMIP5","Reduce ET 50%",42.8,3.58247663551403,"3"
"Copco1 Mean Spill Days per Year","2",2070,"CMIP5","Add 30KAF",42.8,7.00934579439252,"3"
"Copco1 Mean Spill Days per Year","3",2070,"CMIP3","Baseline",42.8,44.4703271028038,"3"
"Copco1 Mean Spill Days per Year","3",2070,"CMIP3","Reduce ET 30%",42.8,46.4953271028038,"3"
"Copco1 Mean Spill Days per Year","3",2070,"CMIP3","Reduce ET 50%",42.8,47.5077102803738,"3"
"Copco1 Mean Spill Days per Year","3",2070,"CMIP3","Add 30KAF",42.8,48.3644859813084,"3"
"Copco1 Mean Spill Days per Year","3",2070,"CMIP5","Baseline",42.8,45.8721962616823,"3"
"Copco1 Mean Spill Days per Year","3",2070,"CMIP5","Reduce ET 30%",42.8,47.4299065420561,"3"
"Copco1 Mean Spill Days per Year","3",2070,"CMIP5","Reduce ET 50%",42.8,48.5203271028037,"3"
"Copco1 Mean Spill Days per Year","3",2070,"CMIP5","Add 30KAF",42.8,50.6231308411215,"3"
"Copco1 Mean Spill Days per Year","4",2070,"CMIP3","Baseline",42.8,-12.3053738317757,"2"
"Copco1 Mean Spill Days per Year","4",2070,"CMIP3","Reduce ET 30%",42.8,-11.6822429906542,"2"
"Copco1 Mean Spill Days per Year","4",2070,"CMIP3","Reduce ET 50%",42.8,-11.0591121495327,"2"
"Copco1 Mean Spill Days per Year","4",2070,"CMIP3","Add 30KAF",42.8,-9.34579439252337,"2"
"Copco1 Mean Spill Days per Year","4",2070,"CMIP5","Baseline",42.8,-11.1371495327103,"2"
"Copco1 Mean Spill Days per Year","4",2070,"CMIP5","Reduce ET 30%",42.8,-9.57943925233644,"2"
"Copco1 Mean Spill Days per Year","4",2070,"CMIP5","Reduce ET 50%",42.8,-8.48901869158878,"2"
"Copco1 Mean Spill Days per Year","4",2070,"CMIP5","Add 30KAF",42.8,-8.33341121495327,"2"
"Copco1 Mean Spill Days per Year","5",2070,"CMIP3","Baseline",42.8,27.1806074766355,"3"
"Copco1 Mean Spill Days per Year","5",2070,"CMIP3","Reduce ET 30%",42.8,28.5046728971963,"3"
"Copco1 Mean Spill Days per Year","5",2070,"CMIP3","Reduce ET 50%",42.8,28.6605140186916,"3"
"Copco1 Mean Spill Days per Year","5",2070,"CMIP3","Add 30KAF",42.8,30.8411214953271,"3"
"Copco1 Mean Spill Days per Year","5",2070,"CMIP5","Baseline",42.8,19.7039719626168,"3"
"Copco1 Mean Spill Days per Year","5",2070,"CMIP5","Reduce ET 30%",42.8,20.4829439252336,"3"
"Copco1 Mean Spill Days per Year","5",2070,"CMIP5","Reduce ET 50%",42.8,21.4953271028037,"3"
"Copco1 Mean Spill Days per Year","5",2070,"CMIP5","Add 30KAF",42.8,24.7663551401869,"3"
"Copco1 Mean Spill Volume per Year","1",2070,"CMIP3","Baseline",186.3791,183.986723833305,"4"
"Copco1 Mean Spill Volume per Year","1",2070,"CMIP3","Reduce ET 30%",186.3791,185.764659234861,"4"
"Copco1 Mean Spill Volume per Year","1",2070,"CMIP3","Reduce ET 50%",186.3791,186.891609627904,"4"
"Copco1 Mean Spill Volume per Year","1",2070,"CMIP3","Add 30KAF",186.3791,190.491798704898,"4"
"Copco1 Mean Spill Volume per Year","1",2070,"CMIP5","Baseline",186.3791,123.355676682632,"3"
"Copco1 Mean Spill Volume per Year","1",2070,"CMIP5","Reduce ET 30%",186.3791,124.587735427417,"3"
"Copco1 Mean Spill Volume per Year","1",2070,"CMIP5","Reduce ET 50%",186.3791,125.46873549663,"3"
"Copco1 Mean Spill Volume per Year","1",2070,"CMIP5","Add 30KAF",186.3791,128.877594107923,"3"
"Copco1 Mean Spill Volume per Year","2",2070,"CMIP3","Baseline",186.3791,22.7990692089403,"3"
