"measure","scenario","period","climset","strategy","value_hist","pctchange","colournm"
"Mean Ann UKL Flood Control Release Volume","2",2030,"CMIP3","Reduce ET 50%",224.4786,-2.59908962368795,"2"
"Mean Ann UKL Flood Control Release Volume","2",2030,"CMIP3","Add 30KAF",224.4786,0.851306093320255,"3"
"Mean Ann UKL Flood Control Release Volume","2",2030,"CMIP5","Baseline",224.4786,-1.405612829018,"2"
"Mean Ann UKL Flood Control Release Volume","2",2030,"CMIP5","Reduce ET 30%",224.4786,-1.24702310153395,"2"
"Mean Ann UKL Flood Control Release Volume","2",2030,"CMIP5","Reduce ET 50%",224.4786,-1.13111004790657,"2"
"Mean Ann UKL Flood Control Release Volume","2",2030,"CMIP5","Add 30KAF",224.4786,1.91024890568633,"3"
"Mean Ann UKL Flood Control Release Volume","3",2030,"CMIP3","Baseline",224.4786,68.828520847867,"4"
"Mean Ann UKL Flood Control Release Volume","3",2030,"CMIP3","Reduce ET 30%",224.4786,69.3185452867222,"4"
"Mean Ann UKL Flood Control Release Volume","3",2030,"CMIP3","Reduce ET 50%",224.4786,69.3325332570677,"4"
"Mean Ann UKL Flood Control Release Volume","3",2030,"CMIP3","Add 30KAF",224.4786,73.9843798027964,"4"
"Mean Ann UKL Flood Control Release Volume","3",2030,"CMIP5","Baseline",224.4786,63.089711001405,"4"
"Mean Ann UKL Flood Control Release Volume","3",2030,"CMIP5","Reduce ET 30%",224.4786,63.798865459781,"4"
"Mean Ann UKL Flood Control Release Volume","3",2030,"CMIP5","Reduce ET 50%",224.4786,64.3378923425217,"4"
"Mean Ann UKL Flood Control Release Volume","3",2030,"CMIP5","Add 30KAF",224.4786,67.9764574440503,"4"
"Mean Ann UKL Flood Control Release Volume","4",2030,"CMIP3","Baseline",224.4786,3.17317552764495,"3"
"Mean Ann UKL Flood Control Release Volume","4",2030,"CMIP3","Reduce ET 30%",224.4786,3.6645809444642,"3"
"Mean Ann UKL Flood Control Release Volume","4",2030,"CMIP3","Reduce ET 50%",224.4786,3.8269572244303,"3"
"Mean Ann UKL Flood Control Release Volume","4",2030,"CMIP3","Add 30KAF",224.4786,6.9057807737575,"3"
"Mean Ann UKL Flood Control Release Volume","4",2030,"CMIP5","Baseline",224.4786,-4.08154719425371,"2"
"Mean Ann UKL Flood Control Release Volume","4",2030,"CMIP5","Reduce ET 30%",224.4786,-3.7799148783002,"2"
"Mean Ann UKL Flood Control Release Volume","4",2030,"CMIP5","Reduce ET 50%",224.4786,-3.22516266583986,"2"
"Mean Ann UKL Flood Control Release Volume","4",2030,"CMIP5","Add 30KAF",224.4786,0.218506352053157,"3"
"Mean Ann UKL Flood Control Release Volume","5",2030,"CMIP3","Baseline",224.4786,29.4589773813629,"3"
"Mean Ann UKL Flood Control Release Volume","5",2030,"CMIP3","Reduce ET 30%",224.4786,29.7431915558989,"3"
"Mean Ann UKL Flood Control Release Volume","5",2030,"CMIP3","Reduce ET 50%",224.4786,29.9316282264768,"3"
"Mean Ann UKL Flood Control Release Volume","5",2030,"CMIP3","Add 30KAF",224.4786,33.5479194898756,"3"
"Mean Ann UKL Flood Control Release Volume","5",2030,"CMIP5","Baseline",224.4786,33.1051601355318,"3"
"Mean Ann UKL Flood Control Release Volume","5",2030,"CMIP5","Reduce ET 30%",224.4786,33.7655794360799,"3"
"Mean Ann UKL Flood Control Release Volume","5",2030,"CMIP5","Reduce ET 50%",224.4786,33.9568226102622,"3"
"Mean Ann UKL Flood Control Release Volume","5",2030,"CMIP5","Add 30KAF",224.4786,37.3176329503124,"3"
