"measure","scenario","period","climset","strategy","value_hist","pctchange","colournm"
"Frequency Meeting Dry Year Fish Targets Shasta","2",2030,"CMIP3","Add 30KAF",56.8769,-6.33824979912758,"2"
"Frequency Meeting Dry Year Fish Targets Shasta","2",2030,"CMIP5","Baseline",56.8769,-10.8312865152637,"2"
"Frequency Meeting Dry Year Fish Targets Shasta","2",2030,"CMIP5","Reduce ET 30%",56.8769,-10.2215486427706,"2"
"Frequency Meeting Dry Year Fish Targets Shasta","2",2030,"CMIP5","Reduce ET 50%",56.8769,-9.96467810306117,"2"
"Frequency Meeting Dry Year Fish Targets Shasta","2",2030,"CMIP5","Add 30KAF",56.8769,-10.8312865152637,"2"
"Frequency Meeting Dry Year Fish Targets Shasta","3",2030,"CMIP3","Baseline",56.8769,2.90434253624933,"3"
"Frequency Meeting Dry Year Fish Targets Shasta","3",2030,"CMIP3","Reduce ET 30%",56.8769,2.16625730305274,"3"
"Frequency Meeting Dry Year Fish Targets Shasta","3",2030,"CMIP3","Reduce ET 50%",56.8769,0.754084698708964,"3"
"Frequency Meeting Dry Year Fish Targets Shasta","3",2030,"CMIP3","Add 30KAF",56.8769,2.90434253624933,"3"
"Frequency Meeting Dry Year Fish Targets Shasta","3",2030,"CMIP5","Baseline",56.8769,5.43964245590037,"3"
"Frequency Meeting Dry Year Fish Targets Shasta","3",2030,"CMIP5","Reduce ET 30%",56.8769,3.83494881050128,"3"
"Frequency Meeting Dry Year Fish Targets Shasta","3",2030,"CMIP5","Reduce ET 50%",56.8769,1.78103940263973,"3"
"Frequency Meeting Dry Year Fish Targets Shasta","3",2030,"CMIP5","Add 30KAF",56.8769,5.43964245590037,"3"
"Frequency Meeting Dry Year Fish Targets Shasta","4",2030,"CMIP3","Baseline",56.8769,-9.61163495197523,"2"
"Frequency Meeting Dry Year Fish Targets Shasta","4",2030,"CMIP3","Reduce ET 30%",56.8769,-10.3498960034742,"2"
"Frequency Meeting Dry Year Fish Targets Shasta","4",2030,"CMIP3","Reduce ET 50%",56.8769,-11.2965017432385,"2"
"Frequency Meeting Dry Year Fish Targets Shasta","4",2030,"CMIP3","Add 30KAF",56.8769,-9.61163495197523,"2"
"Frequency Meeting Dry Year Fish Targets Shasta","4",2030,"CMIP5","Baseline",56.8769,-8.63285446288388,"2"
"Frequency Meeting Dry Year Fish Targets Shasta","4",2030,"CMIP5","Reduce ET 30%",56.8769,-9.90050442270939,"2"
"Frequency Meeting Dry Year Fish Targets Shasta","4",2030,"CMIP5","Reduce ET 50%",56.8769,-11.0719817711584,"2"
"Frequency Meeting Dry Year Fish Targets Shasta","4",2030,"CMIP5","Add 30KAF",56.8769,-8.63285446288388,"2"
"Frequency Meeting Dry Year Fish Targets Shasta","5",2030,"CMIP3","Baseline",56.8769,-2.92051782006403,"2"
"Frequency Meeting Dry Year Fish Targets Shasta","5",2030,"CMIP3","Reduce ET 30%",56.8769,-3.41790779736589,"2"
"Frequency Meeting Dry Year Fish Targets Shasta","5",2030,"CMIP3","Reduce ET 50%",56.8769,-4.44486250129666,"2"
"Frequency Meeting Dry Year Fish Targets Shasta","5",2030,"CMIP3","Add 30KAF",56.8769,-2.92051782006403,"2"
"Frequency Meeting Dry Year Fish Targets Shasta","5",2030,"CMIP5","Baseline",56.8769,-1.39599732052907,"2"
"Frequency Meeting Dry Year Fish Targets Shasta","5",2030,"CMIP5","Reduce ET 30%",56.8769,-2.88834307073698,"2"
"Frequency Meeting Dry Year Fish Targets Shasta","5",2030,"CMIP5","Reduce ET 50%",56.8769,-4.25234146024132,"2"
"Frequency Meeting Dry Year Fish Targets Shasta","5",2030,"CMIP5","Add 30KAF",56.8769,-1.39599732052907,"2"
"Mean Annual Water Delivery to LKNWR","1",2030,"CMIP3","Baseline",24.6143,-27.3718935740606,"2"
"Mean Annual Water Delivery to LKNWR","1",2030,"CMIP3","Reduce ET 30%",24.6143,-22.0111886179985,"2"
"Mean Annual Water Delivery to LKNWR","1",2030,"CMIP3","Reduce ET 50%",24.6143,-15.7591318867488,"2"
"Mean Annual Water Delivery to LKNWR","1",2030,"CMIP3","Add 30KAF",24.6143,-26.7645230617974,"2"
"Mean Annual Water Delivery to LKNWR","1",2030,"CMIP5","Baseline",24.6143,-21.260405536619,"2"
"Mean Annual Water Delivery to LKNWR","1",2030,"CMIP5","Reduce ET 30%",24.6143,-13.8167650512101,"2"
"Mean Annual Water Delivery to LKNWR","1",2030,"CMIP5","Reduce ET 50%",24.6143,-5.92501107080031,"2"
"Mean Annual Water Delivery to LKNWR","1",2030,"CMIP5","Add 30KAF",24.6143,-20.2045152614537,"2"
"Mean Annual Water Delivery to LKNWR","2",2030,"CMIP3","Baseline",24.6143,-33.6227315016068,"1"
"Mean Annual Water Delivery to LKNWR","2",2030,"CMIP3","Reduce ET 30%",24.6143,-29.4211088676095,"2"
"Mean Annual Water Delivery to LKNWR","2",2030,"CMIP3","Reduce ET 50%",24.6143,-22.3784548006646,"2"
"Mean Annual Water Delivery to LKNWR","2",2030,"CMIP3","Add 30KAF",24.6143,-31.9050308154203,"2"
"Mean Annual Water Delivery to LKNWR","2",2030,"CMIP5","Baseline",24.6143,-34.3913903706382,"1"
"Mean Annual Water Delivery to LKNWR","2",2030,"CMIP5","Reduce ET 30%",24.6143,-29.2586017071377,"2"
"Mean Annual Water Delivery to LKNWR","2",2030,"CMIP5","Reduce ET 50%",24.6143,-25.9467057767233,"2"
"Mean Annual Water Delivery to LKNWR","2",2030,"CMIP5","Add 30KAF",24.6143,-32.8284777548011,"2"
"Mean Annual Water Delivery to LKNWR","3",2030,"CMIP3","Baseline",24.6143,-48.9471567340936,"1"
"Mean Annual Water Delivery to LKNWR","3",2030,"CMIP3","Reduce ET 30%",24.6143,-43.1984659324051,"1"
"Mean Annual Water Delivery to LKNWR","3",2030,"CMIP3","Reduce ET 50%",24.6143,-36.7428689826646,"1"
"Mean Annual Water Delivery to LKNWR","3",2030,"CMIP3","Add 30KAF",24.6143,-46.3064153764275,"1"
"Mean Annual Water Delivery to LKNWR","3",2030,"CMIP5","Baseline",24.6143,-45.8509890592054,"1"
"Mean Annual Water Delivery to LKNWR","3",2030,"CMIP5","Reduce ET 30%",24.6143,-40.5877883994263,"1"
"Mean Annual Water Delivery to LKNWR","3",2030,"CMIP5","Reduce ET 50%",24.6143,-35.3599330470499,"1"
"Mean Annual Water Delivery to LKNWR","3",2030,"CMIP5","Add 30KAF",24.6143,-42.9230162954055,"1"
"Mean Annual Water Delivery to LKNWR","4",2030,"CMIP3","Baseline",24.6143,-57.4503439057783,"1"
"Mean Annual Water Delivery to LKNWR","4",2030,"CMIP3","Reduce ET 30%",24.6143,-52.3687449978265,"1"
"Mean Annual Water Delivery to LKNWR","4",2030,"CMIP3","Reduce ET 50%",24.6143,-45.1241757839955,"1"
"Mean Annual Water Delivery to LKNWR","4",2030,"CMIP3","Add 30KAF",24.6143,-54.5678731469105,"1"
"Mean Annual Water Delivery to LKNWR","4",2030,"CMIP5","Baseline",24.6143,-51.6618388497743,"1"
"Mean Annual Water Delivery to LKNWR","4",2030,"CMIP5","Reduce ET 30%",24.6143,-43.5161674311274,"1"
"Mean Annual Water Delivery to LKNWR","4",2030,"CMIP5","Reduce ET 50%",24.6143,-38.0786778417424,"1"
"Mean Annual Water Delivery to LKNWR","4",2030,"CMIP5","Add 30KAF",24.6143,-49.1031636081465,"1"
"Mean Annual Water Delivery to LKNWR","5",2030,"CMIP3","Baseline",24.6143,-30.2888971045287,"2"
"Mean Annual Water Delivery to LKNWR","5",2030,"CMIP3","Reduce ET 30%",24.6143,-25.4807164940705,"2"
"Mean Annual Water Delivery to LKNWR","5",2030,"CMIP3","Reduce ET 50%",24.6143,-20.6075330194237,"2"
"Mean Annual Water Delivery to LKNWR","5",2030,"CMIP3","Add 30KAF",24.6143,-27.9817016937309,"2"
"Mean Annual Water Delivery to LKNWR","5",2030,"CMIP5","Baseline",24.6143,-42.8710140040546,"1"
"Mean Annual Water Delivery to LKNWR","5",2030,"CMIP5","Reduce ET 30%",24.6143,-37.2608605566683,"1"
"Mean Annual Water Delivery to LKNWR","5",2030,"CMIP5","Reduce ET 50%",24.6143,-32.7021284375343,"2"
"Mean Annual Water Delivery to LKNWR","5",2030,"CMIP5","Add 30KAF",24.6143,-39.8861637340895,"1"
