"measure","scenario","period","climset","strategy","value","value_hist"
"Freq of UKL Flood Control Release","HW",2070,"CMIP3","Reduce ET 50%",43.2691,44.1179
"Freq of UKL Flood Control Release","HW",2070,"CMIP5","Add 30KAF",44.629,44.1179
"Freq of UKL Flood Control Release","HW",2070,"CMIP5","Baseline",43.9263,44.1179
"Freq of UKL Flood Control Release","HW",2070,"CMIP5","Reduce ET 30%",44.337,44.1179
"Freq of UKL Flood Control Release","HW",2070,"CMIP5","Reduce ET 50%",44.0084,44.1179
"Freq of UKL Flood Control Release","CT",2070,"CMIP3","Add 30KAF",43.3787,44.1179
"Freq of UKL Flood Control Release","CT",2070,"CMIP3","Baseline",42.174,44.1179
"Freq of UKL Flood Control Release","CT",2070,"CMIP3","Reduce ET 30%",42.1009,44.1179
"Freq of UKL Flood Control Release","CT",2070,"CMIP3","Reduce ET 50%",42.0644,44.1179
"Freq of UKL Flood Control Release","CT",2070,"CMIP5","Add 30KAF",42.4751,44.1179
"Freq of UKL Flood Control Release","CT",2070,"CMIP5","Baseline",41.4712,44.1179
"Freq of UKL Flood Control Release","CT",2070,"CMIP5","Reduce ET 30%",41.5716,44.1179
"Freq of UKL Flood Control Release","CT",2070,"CMIP5","Reduce ET 50%",41.2248,44.1179
"Mean Ann UKL Flood Control Release Volume","WD",2030,"CMIP3","Add 30KAF",226.3896,224.4786
"Mean Ann UKL Flood Control Release Volume","WD",2030,"CMIP3","Baseline",218.4893,224.4786
"Mean Ann UKL Flood Control Release Volume","WD",2030,"CMIP3","Reduce ET 30%",218.8492,224.4786
"Mean Ann UKL Flood Control Release Volume","WD",2030,"CMIP3","Reduce ET 50%",218.6442,224.4786
"Mean Ann UKL Flood Control Release Volume","WD",2030,"CMIP5","Add 30KAF",228.7667,224.4786
"Mean Ann UKL Flood Control Release Volume","WD",2030,"CMIP5","Baseline",221.3233,224.4786
"Mean Ann UKL Flood Control Release Volume","WD",2030,"CMIP5","Reduce ET 30%",221.6793,224.4786
"Mean Ann UKL Flood Control Release Volume","WD",2030,"CMIP5","Reduce ET 50%",221.9395,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2030,"CMIP3","Add 30KAF",327.2522,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2030,"CMIP3","Baseline",317.8676,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2030,"CMIP3","Reduce ET 30%",318.0576,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2030,"CMIP3","Reduce ET 50%",318.1406,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2030,"CMIP5","Add 30KAF",344.22,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2030,"CMIP5","Baseline",334.2088,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2030,"CMIP5","Reduce ET 30%",335.0236,224.4786
"Mean Ann UKL Flood Control Release Volume","WW",2030,"CMIP5","Reduce ET 50%",335.0615,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2030,"CMIP3","Add 30KAF",239.9806,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2030,"CMIP3","Baseline",231.6017,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2030,"CMIP3","Reduce ET 30%",232.7048,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2030,"CMIP3","Reduce ET 50%",233.0693,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2030,"CMIP5","Add 30KAF",224.9691,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2030,"CMIP5","Baseline",215.3164,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2030,"CMIP5","Reduce ET 30%",215.9935,224.4786
"Mean Ann UKL Flood Control Release Volume","HD",2030,"CMIP5","Reduce ET 50%",217.2388,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2030,"CMIP3","Add 30KAF",390.5577,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2030,"CMIP3","Baseline",378.9839,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2030,"CMIP3","Reduce ET 30%",380.0839,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2030,"CMIP3","Reduce ET 50%",380.1153,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2030,"CMIP5","Add 30KAF",377.0712,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2030,"CMIP5","Baseline",366.1015,224.4786
"Mean Ann UKL Flood Control Release Volume","HW",2030,"CMIP5","Reduce ET 30%",367.6934,224.4786
