"measure","value","units","category","scenario","climset","period","strategy"
"SalmonTrinityReach Mean Ann Boating Days",223.9,"days","Recreation Boating","CT","CMIP3",2070,"Reduce
Shasta
Scott
4degC"
"TrinityOceanReach Mean Ann Boating Days",252.7,"days","Recreation Boating","CT","CMIP3",2070,"Reduce
Shasta
Scott
4degC"
"Mean Project Supply (Apr-Sep)",360.073,"KAF","Water Delivery","CT","CMIP3",2070,"Reduce
Shasta
Scott
4degC"
"Mean Annual UKL Stg and Inflow",1397.6768,"KAF","Water Delivery","CT","CMIP3",2070,"Reduce
Shasta
Scott
4degC"
"Mean Annual Shasta Flow",196.5632,"cfs","Water Delivery","CT","CMIP3",2070,"Reduce
Shasta
Scott
4degC"
"Mean Annual Scott Flow",755.673,"cfs","Water Delivery","CT","CMIP3",2070,"Reduce
Shasta
Scott
4degC"
"Mean Annual MWAT",81.1229,"degF","Water Quality","CT","CMIP3",2070,"Reduce
Shasta
Scott
4degC"
"Mean exceedence of MWAT - Poor",17.4429,"degF","Water Quality","CT","CMIP3",2070,"Reduce
Shasta
Scott
4degC"
"Frequency Meeting Dry Year Fish Targets Scott",70.5029,"% of Days","Ecological Resources","CT","CMIP5",2030,"Historical"
"Frequency Meeting Dry Year Fish Targets Shasta",56.8769,"% of Days","Ecological Resources","CT","CMIP5",2030,"Historical"
"Mean Annual Water Delivery to LKNWR",24.6143,"KAF","Ecological Resources","CT","CMIP5",2030,"Historical"
"Mean Annual Hydropower Generated (MW)",26741.1142,"MW","Hydropower","CT","CMIP5",2030,"Historical"
"Boyle Mean Spill Volume per Year",163.0602,"KAF","Hydropower","CT","CMIP5",2030,"Historical"
"Copco1 Mean Spill Volume per Year",186.3791,"KAF","Hydropower","CT","CMIP5",2030,"Historical"
"Iron Gate Mean Spill Volume per Year",533.8601,"KAF","Hydropower","CT","CMIP5",2030,"Historical"
"Boyle Mean Spill Days per Year",105.9,"days","Hydropower","CT","CMIP5",2030,"Historical"
"Copco1 Mean Spill Days per Year",42.8,"days","Hydropower","CT","CMIP5",2030,"Historical"
"Iron Gate Mean Spill Days per Year",170.3333,"days","Hydropower","CT","CMIP5",2030,"Historical"
"Freq of UKL Flood Control Release",44.1179,"Percent of Days","Flood Control","CT","CMIP5",2030,"Historical"
"Mean Ann UKL Flood Control Release Volume",224.4786,"KAF","Flood Control","CT","CMIP5",2030,"Historical"
"KenoReach Mean Ann Fishing Days",247.6667,"days","Recreation Fishing","CT","CMIP5",2030,"Historical"
"BoyleReach Mean Ann Fishing Days",154.9,"days","Recreation Fishing","CT","CMIP5",2030,"Historical"
"HellsCornerReach Mean Ann Fishing Days",220.4333,"days","Recreation Fishing","CT","CMIP5",2030,"Historical"
"IGScottReach Mean Ann Fishing Days",274.7333,"days","Recreation Fishing","CT","CMIP5",2030,"Historical"
"ScottSalmonReach Mean Ann Fishing Days",183.9667,"days","Recreation Fishing","CT","CMIP5",2030,"Historical"
"SalmonTrinityReach Mean Ann Fishing Days",213.9333,"days","Recreation Fishing","CT","CMIP5",2030,"Historical"
"TrinityOceanReach Mean Ann Fishing Days",252.9333,"days","Recreation Fishing","CT","CMIP5",2030,"Historical"
"KenoReach Mean Ann Boating Days",171.8,"days","Recreation Boating","CT","CMIP5",2030,"Historical"
"BoyleReach Mean Ann Boating Days",59,"days","Recreation Boating","CT","CMIP5",2030,"Historical"
"HellsCornerReach Mean Ann Boating Days",256,"days","Recreation Boating","CT","CMIP5",2030,"Historical"
"IGScottReach Mean Ann Boating Days",274.7333,"days","Recreation Boating","CT","CMIP5",2030,"Historical"
"ScottSalmonReach Mean Ann Boating Days",249.2333,"days","Recreation Boating","CT","CMIP5",2030,"Historical"
"SalmonTrinityReach Mean Ann Boating Days",213.9333,"days","Recreation Boating","CT","CMIP5",2030,"Historical"
"TrinityOceanReach Mean Ann Boating Days",252.9333,"days","Recreation Boating","CT","CMIP5",2030,"Historical"
"Mean Project Supply (Apr-Sep)",361.3104,"KAF","Water Delivery","CT","CMIP5",2030,"Historical"
"Mean Annual UKL Stg and Inflow",1377.9978,"KAF","Water Delivery","CT","CMIP5",2030,"Historical"
"Mean Annual Shasta Flow",187.6871,"cfs","Water Delivery","CT","CMIP5",2030,"Historical"
"Mean Annual Scott Flow",668.7854,"cfs","Water Delivery","CT","CMIP5",2030,"Historical"
"Mean Annual MWAT",75.7443,"degF","Water Quality","CT","CMIP5",2030,"Historical"
"Mean exceedence of MWAT - Poor",12.0643,"degF","Water Quality","CT","CMIP5",2030,"Historical"
"Frequency Meeting Dry Year Fish Targets Scott",69.718,"% of Days","Ecological Resources","CT","CMIP5",2030,"Baseline"
"Frequency Meeting Dry Year Fish Targets Shasta",56.0829,"% of Days","Ecological Resources","CT","CMIP5",2030,"Baseline"
"Mean Annual Water Delivery to LKNWR",14.0619,"KAF","Ecological Resources","CT","CMIP5",2030,"Baseline"
"Mean Annual Hydropower Generated (MW)",25991.6784,"MW","Hydropower","CT","CMIP5",2030,"Baseline"
"Boyle Mean Spill Volume per Year",321.0458,"KAF","Hydropower","CT","CMIP5",2030,"Baseline"
"Copco1 Mean Spill Volume per Year",351.3173,"KAF","Hydropower","CT","CMIP5",2030,"Baseline"
"Iron Gate Mean Spill Volume per Year",685.8091,"KAF","Hydropower","CT","CMIP5",2030,"Baseline"
"Boyle Mean Spill Days per Year",192.9,"days","Hydropower","CT","CMIP5",2030,"Baseline"
"Copco1 Mean Spill Days per Year",51.7,"days","Hydropower","CT","CMIP5",2030,"Baseline"
"Iron Gate Mean Spill Days per Year",135.7333,"days","Hydropower","CT","CMIP5",2030,"Baseline"
"Freq of UKL Flood Control Release",41.9093,"Percent of Days","Flood Control","CT","CMIP5",2030,"Baseline"
"Mean Ann UKL Flood Control Release Volume",298.7926,"KAF","Flood Control","CT","CMIP5",2030,"Baseline"
"KenoReach Mean Ann Fishing Days",239.0333,"days","Recreation Fishing","CT","CMIP5",2030,"Baseline"
"BoyleReach Mean Ann Fishing Days",144.3,"days","Recreation Fishing","CT","CMIP5",2030,"Baseline"
"HellsCornerReach Mean Ann Fishing Days",249.3667,"days","Recreation Fishing","CT","CMIP5",2030,"Baseline"
"IGScottReach Mean Ann Fishing Days",274.9,"days","Recreation Fishing","CT","CMIP5",2030,"Baseline"
"ScottSalmonReach Mean Ann Fishing Days",192.4,"days","Recreation Fishing","CT","CMIP5",2030,"Baseline"
"SalmonTrinityReach Mean Ann Fishing Days",222.4333,"days","Recreation Fishing","CT","CMIP5",2030,"Baseline"
"TrinityOceanReach Mean Ann Fishing Days",255.8,"days","Recreation Fishing","CT","CMIP5",2030,"Baseline"
"KenoReach Mean Ann Boating Days",183.4667,"days","Recreation Boating","CT","CMIP5",2030,"Baseline"
"BoyleReach Mean Ann Boating Days",55.6333,"days","Recreation Boating","CT","CMIP5",2030,"Baseline"
"HellsCornerReach Mean Ann Boating Days",199.3,"days","Recreation Boating","CT","CMIP5",2030,"Baseline"
"IGScottReach Mean Ann Boating Days",274.9,"days","Recreation Boating","CT","CMIP5",2030,"Baseline"
"ScottSalmonReach Mean Ann Boating Days",249.8667,"days","Recreation Boating","CT","CMIP5",2030,"Baseline"
"SalmonTrinityReach Mean Ann Boating Days",222.4333,"days","Recreation Boating","CT","CMIP5",2030,"Baseline"
"TrinityOceanReach Mean Ann Boating Days",255.8,"days","Recreation Boating","CT","CMIP5",2030,"Baseline"
"Mean Project Supply (Apr-Sep)",359.0016,"KAF","Water Delivery","CT","CMIP5",2030,"Baseline"
"Mean Annual UKL Stg and Inflow",1407.597,"KAF","Water Delivery","CT","CMIP5",2030,"Baseline"
"Mean Annual Shasta Flow",195.5116,"cfs","Water Delivery","CT","CMIP5",2030,"Baseline"
"Mean Annual Scott Flow",738.8394,"cfs","Water Delivery","CT","CMIP5",2030,"Baseline"
"Mean Annual MWAT",79.7917,"degF","Water Quality","CT","CMIP5",2030,"Baseline"
"Mean exceedence of MWAT - Poor",16.1117,"degF","Water Quality","CT","CMIP5",2030,"Baseline"
"Frequency Meeting Dry Year Fish Targets Scott",69.718,"% of Days","Ecological Resources","CT","CMIP5",2030,"Add Flow
10%"
"Frequency Meeting Dry Year Fish Targets Shasta",56.0829,"% of Days","Ecological Resources","CT","CMIP5",2030,"Add Flow
10%"
"Mean Percent of Annual Refuge Demand",14.74,"% of Years","Ecological Resources","CT","CMIP5",2030,"Add Flow
10%"
"Mean Annual Hydropower Generated (MW)",25991.6784,"MW","Hydropower","CT","CMIP5",2030,"Add Flow
10%"
"Boyle Mean Spill Volume per year",321.0458,"KAF","Hydropower","CT","CMIP5",2030,"Add Flow
10%"
"Copco1 Mean Spill Volume per year",351.3173,"KAF","Hydropower","CT","CMIP5",2030,"Add Flow
10%"
"Iron Gate Mean Spill Volume per year",685.8091,"KAF","Hydropower","CT","CMIP5",2030,"Add Flow
10%"
"Boyle Mean Spill Days per year",192.9,"days","Hydropower","CT","CMIP5",2030,"Add Flow
10%"
"Copco1 Mean Spill Days per year",51.7,"days","Hydropower","CT","CMIP5",2030,"Add Flow
10%"
"IronGate Mean Spill Days per year",135.7333,"days","Hydropower","CT","CMIP5",2030,"Add Flow
10%"
"Freq of UKL Flood Control Release",41.9093,"Percent of Days","Flood Control","CT","CMIP5",2030,"Add Flow
10%"
"Mean Ann UKL Flood Control Release Volume",298.7926,"KAF","Flood Control","CT","CMIP5",2030,"Add Flow
10%"
"KenoReach Mean Ann Fishing Days",239.0333,"days","Recreation Fishing","CT","CMIP5",2030,"Add Flow
10%"
"BoyleReach Mean Ann Fishing Days",144.3,"days","Recreation Fishing","CT","CMIP5",2030,"Add Flow
10%"
"HellsCornerReach Mean Ann Fishing Days",249.3667,"days","Recreation Fishing","CT","CMIP5",2030,"Add Flow
10%"
"IGScottReach Mean Ann Fishing Days",274.9,"days","Recreation Fishing","CT","CMIP5",2030,"Add Flow
10%"
"ScottSalmonReach Mean Ann Fishing Days",192.4,"days","Recreation Fishing","CT","CMIP5",2030,"Add Flow
10%"
"SalmonTrinityReach Mean Ann Fishing Days",222.4333,"days","Recreation Fishing","CT","CMIP5",2030,"Add Flow
10%"
"TrinityOceanReach Mean Ann Fishing Days",255.8,"days","Recreation Fishing","CT","CMIP5",2030,"Add Flow
10%"
"KenoReach Mean Ann Boating Days",183.4667,"days","Recreation Boating","CT","CMIP5",2030,"Add Flow
10%"
"BoyleReach Mean Ann Boating Days",55.6333,"days","Recreation Boating","CT","CMIP5",2030,"Add Flow
10%"
"HellsCornerReach Mean Ann Boating Days",199.3,"days","Recreation Boating","CT","CMIP5",2030,"Add Flow
10%"
"IGScottReach Mean Ann Boating Days",274.9,"days","Recreation Boating","CT","CMIP5",2030,"Add Flow
10%"
"ScottSalmonReach Mean Ann Boating Days",249.8667,"days","Recreation Boating","CT","CMIP5",2030,"Add Flow
10%"
"SalmonTrinityReach Mean Ann Boating Days",222.4333,"days","Recreation Boating","CT","CMIP5",2030,"Add Flow
10%"
"TrinityOceanReach Mean Ann Boating Days",255.8,"days","Recreation Boating","CT","CMIP5",2030,"Add Flow
10%"
"Mean Percent Full Supply (Apr-Sep)",92.0517,"%","Water Delivery","CT","CMIP5",2030,"Add Flow
10%"
"Mean Annual UKL Stg and Inflow",1407.597,"KAF","Water Delivery","CT","CMIP5",2030,"Add Flow
10%"
"Mean Annual Shasta Flow",195.5116,"cfs","Water Delivery","CT","CMIP5",2030,"Add Flow
10%"
"Mean Annual Scott Flow",738.8394,"cfs","Water Delivery","CT","CMIP5",2030,"Add Flow
10%"
"Mean Annual MWAT",79.376,"degF","Water Quality","CT","CMIP5",2030,"Add Flow
10%"
"Mean exceedence of MWAT - Poor",15.696,"degF","Water Quality","CT","CMIP5",2030,"Add Flow
10%"
"Frequency Meeting Dry Year Fish Targets Scott",69.718,"% of Days","Ecological Resources","CT","CMIP5",2030,"Add Flow
20%"
"Frequency Meeting Dry Year Fish Targets Shasta",56.0829,"% of Days","Ecological Resources","CT","CMIP5",2030,"Add Flow
20%"
"Mean Percent of Annual Refuge Demand",14.74,"% of Years","Ecological Resources","CT","CMIP5",2030,"Add Flow
20%"
"Mean Annual Hydropower Generated (MW)",25991.6784,"MW","Hydropower","CT","CMIP5",2030,"Add Flow
20%"
"Boyle Mean Spill Volume per year",321.0458,"KAF","Hydropower","CT","CMIP5",2030,"Add Flow
20%"
"Copco1 Mean Spill Volume per year",351.3173,"KAF","Hydropower","CT","CMIP5",2030,"Add Flow
20%"
"Iron Gate Mean Spill Volume per year",685.8091,"KAF","Hydropower","CT","CMIP5",2030,"Add Flow
20%"
"Boyle Mean Spill Days per year",192.9,"days","Hydropower","CT","CMIP5",2030,"Add Flow
20%"
"Copco1 Mean Spill Days per year",51.7,"days","Hydropower","CT","CMIP5",2030,"Add Flow
20%"
"IronGate Mean Spill Days per year",135.7333,"days","Hydropower","CT","CMIP5",2030,"Add Flow
20%"
"Freq of UKL Flood Control Release",41.9093,"Percent of Days","Flood Control","CT","CMIP5",2030,"Add Flow
20%"
"Mean Ann UKL Flood Control Release Volume",298.7926,"KAF","Flood Control","CT","CMIP5",2030,"Add Flow
20%"
"KenoReach Mean Ann Fishing Days",239.0333,"days","Recreation Fishing","CT","CMIP5",2030,"Add Flow
20%"
"BoyleReach Mean Ann Fishing Days",144.3,"days","Recreation Fishing","CT","CMIP5",2030,"Add Flow
20%"
"HellsCornerReach Mean Ann Fishing Days",249.3667,"days","Recreation Fishing","CT","CMIP5",2030,"Add Flow
20%"
"IGScottReach Mean Ann Fishing Days",274.9,"days","Recreation Fishing","CT","CMIP5",2030,"Add Flow
20%"
"ScottSalmonReach Mean Ann Fishing Days",192.4,"days","Recreation Fishing","CT","CMIP5",2030,"Add Flow
20%"
"SalmonTrinityReach Mean Ann Fishing Days",222.4333,"days","Recreation Fishing","CT","CMIP5",2030,"Add Flow
20%"
"TrinityOceanReach Mean Ann Fishing Days",255.8,"days","Recreation Fishing","CT","CMIP5",2030,"Add Flow
20%"
"KenoReach Mean Ann Boating Days",183.4667,"days","Recreation Boating","CT","CMIP5",2030,"Add Flow
20%"
"BoyleReach Mean Ann Boating Days",55.6333,"days","Recreation Boating","CT","CMIP5",2030,"Add Flow
20%"
"HellsCornerReach Mean Ann Boating Days",199.3,"days","Recreation Boating","CT","CMIP5",2030,"Add Flow
20%"
"IGScottReach Mean Ann Boating Days",274.9,"days","Recreation Boating","CT","CMIP5",2030,"Add Flow
20%"
"ScottSalmonReach Mean Ann Boating Days",249.8667,"days","Recreation Boating","CT","CMIP5",2030,"Add Flow
20%"
"SalmonTrinityReach Mean Ann Boating Days",222.4333,"days","Recreation Boating","CT","CMIP5",2030,"Add Flow
20%"
"TrinityOceanReach Mean Ann Boating Days",255.8,"days","Recreation Boating","CT","CMIP5",2030,"Add Flow
20%"
"Mean Percent Full Supply (Apr-Sep)",92.0517,"%","Water Delivery","CT","CMIP5",2030,"Add Flow
20%"
"Mean Annual UKL Stg and Inflow",1407.597,"KAF","Water Delivery","CT","CMIP5",2030,"Add Flow
20%"
"Mean Annual Shasta Flow",195.5116,"cfs","Water Delivery","CT","CMIP5",2030,"Add Flow
20%"
"Mean Annual Scott Flow",738.8394,"cfs","Water Delivery","CT","CMIP5",2030,"Add Flow
20%"
"Mean Annual MWAT",79.0597,"degF","Water Quality","CT","CMIP5",2030,"Add Flow
20%"
"Mean exceedence of MWAT - Poor",15.3797,"degF","Water Quality","CT","CMIP5",2030,"Add Flow
20%"
"Frequency Meeting Dry Year Fish Targets Scott",69.718,"% of Days","Ecological Resources","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"Frequency Meeting Dry Year Fish Targets Shasta",56.0829,"% of Days","Ecological Resources","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"Mean Percent of Annual Refuge Demand",14.74,"% of Years","Ecological Resources","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"Mean Annual Hydropower Generated (MW)",25991.6784,"MW","Hydropower","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"Boyle Mean Spill Volume per year",321.0458,"KAF","Hydropower","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"Copco1 Mean Spill Volume per year",351.3173,"KAF","Hydropower","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"Iron Gate Mean Spill Volume per year",685.8091,"KAF","Hydropower","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"Boyle Mean Spill Days per year",192.9,"days","Hydropower","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"Copco1 Mean Spill Days per year",51.7,"days","Hydropower","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"IronGate Mean Spill Days per year",135.7333,"days","Hydropower","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"Freq of UKL Flood Control Release",41.9093,"Percent of Days","Flood Control","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"Mean Ann UKL Flood Control Release Volume",298.7926,"KAF","Flood Control","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"KenoReach Mean Ann Fishing Days",239.0333,"days","Recreation Fishing","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"BoyleReach Mean Ann Fishing Days",144.3,"days","Recreation Fishing","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"HellsCornerReach Mean Ann Fishing Days",249.3667,"days","Recreation Fishing","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"IGScottReach Mean Ann Fishing Days",274.9,"days","Recreation Fishing","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"ScottSalmonReach Mean Ann Fishing Days",192.4,"days","Recreation Fishing","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"SalmonTrinityReach Mean Ann Fishing Days",222.4333,"days","Recreation Fishing","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"TrinityOceanReach Mean Ann Fishing Days",255.8,"days","Recreation Fishing","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"KenoReach Mean Ann Boating Days",183.4667,"days","Recreation Boating","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"BoyleReach Mean Ann Boating Days",55.6333,"days","Recreation Boating","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"HellsCornerReach Mean Ann Boating Days",199.3,"days","Recreation Boating","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"IGScottReach Mean Ann Boating Days",274.9,"days","Recreation Boating","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"ScottSalmonReach Mean Ann Boating Days",249.8667,"days","Recreation Boating","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"SalmonTrinityReach Mean Ann Boating Days",222.4333,"days","Recreation Boating","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"TrinityOceanReach Mean Ann Boating Days",255.8,"days","Recreation Boating","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"Mean Percent Full Supply (Apr-Sep)",92.0517,"%","Water Delivery","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"Mean Annual UKL Stg and Inflow",1407.597,"KAF","Water Delivery","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"Mean Annual Shasta Flow",195.5116,"cfs","Water Delivery","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"Mean Annual Scott Flow",738.8394,"cfs","Water Delivery","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"Mean Annual MWAT",76.3631,"degF","Water Quality","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"Mean exceedence of MWAT - Poor",12.6831,"degF","Water Quality","CT","CMIP5",2030,"Reduce
Tribs
4degC"
"Frequency Meeting Dry Year Fish Targets Scott",69.718,"% of Days","Ecological Resources","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"Frequency Meeting Dry Year Fish Targets Shasta",56.0829,"% of Days","Ecological Resources","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"Mean Percent of Annual Refuge Demand",14.74,"% of Years","Ecological Resources","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"Mean Annual Hydropower Generated (MW)",25991.6784,"MW","Hydropower","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"Boyle Mean Spill Volume per year",321.0458,"KAF","Hydropower","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"Copco1 Mean Spill Volume per year",351.3173,"KAF","Hydropower","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"Iron Gate Mean Spill Volume per year",685.8091,"KAF","Hydropower","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"Boyle Mean Spill Days per year",192.9,"days","Hydropower","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"Copco1 Mean Spill Days per year",51.7,"days","Hydropower","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"IronGate Mean Spill Days per year",135.7333,"days","Hydropower","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"Freq of UKL Flood Control Release",41.9093,"Percent of Days","Flood Control","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"Mean Ann UKL Flood Control Release Volume",298.7926,"KAF","Flood Control","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"KenoReach Mean Ann Fishing Days",239.0333,"days","Recreation Fishing","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"BoyleReach Mean Ann Fishing Days",144.3,"days","Recreation Fishing","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"HellsCornerReach Mean Ann Fishing Days",249.3667,"days","Recreation Fishing","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"IGScottReach Mean Ann Fishing Days",274.9,"days","Recreation Fishing","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"ScottSalmonReach Mean Ann Fishing Days",192.4,"days","Recreation Fishing","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"SalmonTrinityReach Mean Ann Fishing Days",222.4333,"days","Recreation Fishing","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"TrinityOceanReach Mean Ann Fishing Days",255.8,"days","Recreation Fishing","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"KenoReach Mean Ann Boating Days",183.4667,"days","Recreation Boating","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"BoyleReach Mean Ann Boating Days",55.6333,"days","Recreation Boating","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"HellsCornerReach Mean Ann Boating Days",199.3,"days","Recreation Boating","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"IGScottReach Mean Ann Boating Days",274.9,"days","Recreation Boating","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"ScottSalmonReach Mean Ann Boating Days",249.8667,"days","Recreation Boating","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"SalmonTrinityReach Mean Ann Boating Days",222.4333,"days","Recreation Boating","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"TrinityOceanReach Mean Ann Boating Days",255.8,"days","Recreation Boating","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"Mean Percent Full Supply (Apr-Sep)",92.0517,"%","Water Delivery","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"Mean Annual UKL Stg and Inflow",1407.597,"KAF","Water Delivery","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"Mean Annual Shasta Flow",195.5116,"cfs","Water Delivery","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"Mean Annual Scott Flow",738.8394,"cfs","Water Delivery","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"Mean Annual MWAT",76.8166,"degF","Water Quality","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"Mean exceedence of MWAT - Poor",13.1366,"degF","Water Quality","CT","CMIP5",2030,"Reduce
Dam
Outflow
4degC"
"Frequency Meeting Dry Year Fish Targets Scott",69.718,"% of Days","Ecological Resources","CT","CMIP5",2030,"Reduce
Shasta
Scott
4degC"
"Frequency Meeting Dry Year Fish Targets Shasta",56.0829,"% of Days","Ecological Resources","CT","CMIP5",2030,"Reduce
Shasta
Scott
4degC"
"Mean Annual Water Delivery to LKNWR",14.0619,"KAF","Ecological Resources","CT","CMIP5",2030,"Reduce
Shasta
Scott
4degC"
"Mean Annual Hydropower Generated (MW)",25991.6784,"MW","Hydropower","CT","CMIP5",2030,"Reduce
Shasta
Scott
4degC"
"Boyle Mean Spill Volume per Year",321.0458,"KAF","Hydropower","CT","CMIP5",2030,"Reduce
Shasta
Scott
4degC"
"Copco1 Mean Spill Volume per Year",351.3173,"KAF","Hydropower","CT","CMIP5",2030,"Reduce
Shasta
Scott
4degC"
"Iron Gate Mean Spill Volume per Year",685.8091,"KAF","Hydropower","CT","CMIP5",2030,"Reduce
Shasta
Scott
4degC"
"Boyle Mean Spill Days per Year",192.9,"days","Hydropower","CT","CMIP5",2030,"Reduce
Shasta
Scott
4degC"
"Copco1 Mean Spill Days per Year",51.7,"days","Hydropower","CT","CMIP5",2030,"Reduce
Shasta
Scott
4degC"
"Iron Gate Mean Spill Days per Year",135.7333,"days","Hydropower","CT","CMIP5",2030,"Reduce
Shasta
Scott
4degC"
"Freq of UKL Flood Control Release",41.9093,"Percent of Days","Flood Control","CT","CMIP5",2030,"Reduce
Shasta
Scott
4degC"
"Mean Ann UKL Flood Control Release Volume",298.7926,"KAF","Flood Control","CT","CMIP5",2030,"Reduce
Shasta
Scott
4degC"
"KenoReach Mean Ann Fishing Days",239.0333,"days","Recreation Fishing","CT","CMIP5",2030,"Reduce
Shasta
Scott
4degC"
"BoyleReach Mean Ann Fishing Days",144.3,"days","Recreation Fishing","CT","CMIP5",2030,"Reduce
Shasta
Scott
4degC"
"HellsCornerReach Mean Ann Fishing Days",249.3667,"days","Recreation Fishing","CT","CMIP5",2030,"Reduce
Shasta
Scott
4degC"
"IGScottReach Mean Ann Fishing Days",274.9,"days","Recreation Fishing","CT","CMIP5",2030,"Reduce
Shasta
Scott
4degC"
"ScottSalmonReach Mean Ann Fishing Days",192.4,"days","Recreation Fishing","CT","CMIP5",2030,"Reduce
Shasta
Scott
4degC"
"SalmonTrinityReach Mean Ann Fishing Days",222.4333,"days","Recreation Fishing","CT","CMIP5",2030,"Reduce
Shasta
Scott
4degC"
"TrinityOceanReach Mean Ann Fishing Days",255.8,"days","Recreation Fishing","CT","CMIP5",2030,"Reduce
Shasta
Scott
4degC"
"KenoReach Mean Ann Boating Days",183.4667,"days","Recreation Boating","CT","CMIP5",2030,"Reduce
Shasta
Scott
4degC"
"BoyleReach Mean Ann Boating Days",55.6333,"days","Recreation Boating","CT","CMIP5",2030,"Reduce
Shasta
Scott
4degC"
"HellsCornerReach Mean Ann Boating Days",199.3,"days","Recreation Boating","CT","CMIP5",2030,"Reduce
Shasta
Scott
4degC"
"IGScottReach Mean Ann Boating Days",274.9,"days","Recreation Boating","CT","CMIP5",2030,"Reduce
Shasta
Scott
4degC"
"ScottSalmonReach Mean Ann Boating Days",249.8667,"days","Recreation Boating","CT","CMIP5",2030,"Reduce
Shasta
Scott
4degC"
"SalmonTrinityReach Mean Ann Boating Days",222.4333,"days","Recreation Boating","CT","CMIP5",2030,"Reduce
Shasta
Scott
4degC"
"TrinityOceanReach Mean Ann Boating Days",255.8,"days","Recreation Boating","CT","CMIP5",2030,"Reduce
Shasta
Scott
4degC"
"Mean Project Supply (Apr-Sep)",359.0016,"KAF","Water Delivery","CT","CMIP5",2030,"Reduce
Shasta
Scott
4degC"
"Mean Annual UKL Stg and Inflow",1407.597,"KAF","Water Delivery","CT","CMIP5",2030,"Reduce
Shasta
Scott
4degC"
"Mean Annual Shasta Flow",195.5116,"cfs","Water Delivery","CT","CMIP5",2030,"Reduce
Shasta
Scott
4degC"
