"measure","value","units","category","scenario","climset","period","strategy"
"Mean Project Supply (Apr-Sep)",357.9902,"KAF","Water Delivery","CT","CMIP3",2030,"Baseline"
"Mean Annual UKL Stg and Inflow",1372.1452,"KAF","Water Delivery","CT","CMIP3",2030,"Baseline"
"Mean Annual Shasta Flow",188.9612,"cfs","Water Delivery","CT","CMIP3",2030,"Baseline"
"Mean Annual Scott Flow",712.1465,"cfs","Water Delivery","CT","CMIP3",2030,"Baseline"
"Mean Annual MWAT",79.8731,"degF","Water Quality","CT","CMIP3",2030,"Baseline"
"Mean exceedence of MWAT - Poor",16.1931,"degF","Water Quality","CT","CMIP3",2030,"Baseline"
"Frequency Meeting Dry Year Fish Targets Scott",69.3073,"% of Days","Ecological Resources","CT","CMIP3",2030,"Add Flow
10%"
"Frequency Meeting Dry Year Fish Targets Shasta",55.2158,"% of Days","Ecological Resources","CT","CMIP3",2030,"Add Flow
10%"
"Mean Percent of Annual Refuge Demand",17.9863,"% of Years","Ecological Resources","CT","CMIP3",2030,"Add Flow
10%"
"Mean Annual Hydropower Generated (MW)",25595.2076,"MW","Hydropower","CT","CMIP3",2030,"Add Flow
10%"
"Boyle Mean Spill Volume per year",255.8815,"KAF","Hydropower","CT","CMIP3",2030,"Add Flow
10%"
"Copco1 Mean Spill Volume per year",288.0424,"KAF","Hydropower","CT","CMIP3",2030,"Add Flow
10%"
"Iron Gate Mean Spill Volume per year",613.494,"KAF","Hydropower","CT","CMIP3",2030,"Add Flow
10%"
"Boyle Mean Spill Days per year",176.3667,"days","Hydropower","CT","CMIP3",2030,"Add Flow
10%"
"Copco1 Mean Spill Days per year",49.6667,"days","Hydropower","CT","CMIP3",2030,"Add Flow
10%"
"IronGate Mean Spill Days per year",131.8333,"days","Hydropower","CT","CMIP3",2030,"Add Flow
10%"
"Freq of UKL Flood Control Release",43.8167,"Percent of Days","Flood Control","CT","CMIP3",2030,"Add Flow
10%"
"Mean Ann UKL Flood Control Release Volume",290.6077,"KAF","Flood Control","CT","CMIP3",2030,"Add Flow
10%"
"KenoReach Mean Ann Fishing Days",251.8333,"days","Recreation Fishing","CT","CMIP3",2030,"Add Flow
10%"
"BoyleReach Mean Ann Fishing Days",156.4333,"days","Recreation Fishing","CT","CMIP3",2030,"Add Flow
10%"
"HellsCornerReach Mean Ann Fishing Days",256.1333,"days","Recreation Fishing","CT","CMIP3",2030,"Add Flow
10%"
"IGScottReach Mean Ann Fishing Days",280.3333,"days","Recreation Fishing","CT","CMIP3",2030,"Add Flow
10%"
"ScottSalmonReach Mean Ann Fishing Days",188.5,"days","Recreation Fishing","CT","CMIP3",2030,"Add Flow
10%"
"SalmonTrinityReach Mean Ann Fishing Days",221.1,"days","Recreation Fishing","CT","CMIP3",2030,"Add Flow
10%"
"TrinityOceanReach Mean Ann Fishing Days",254.6,"days","Recreation Fishing","CT","CMIP3",2030,"Add Flow
10%"
"KenoReach Mean Ann Boating Days",177.2333,"days","Recreation Boating","CT","CMIP3",2030,"Add Flow
10%"
"BoyleReach Mean Ann Boating Days",52.1667,"days","Recreation Boating","CT","CMIP3",2030,"Add Flow
10%"
"HellsCornerReach Mean Ann Boating Days",200.6,"days","Recreation Boating","CT","CMIP3",2030,"Add Flow
10%"
"IGScottReach Mean Ann Boating Days",280.3333,"days","Recreation Boating","CT","CMIP3",2030,"Add Flow
10%"
"ScottSalmonReach Mean Ann Boating Days",248.9667,"days","Recreation Boating","CT","CMIP3",2030,"Add Flow
10%"
"SalmonTrinityReach Mean Ann Boating Days",221.1,"days","Recreation Boating","CT","CMIP3",2030,"Add Flow
10%"
"TrinityOceanReach Mean Ann Boating Days",254.6,"days","Recreation Boating","CT","CMIP3",2030,"Add Flow
10%"
"Mean Percent Full Supply (Apr-Sep)",91.7924,"%","Water Delivery","CT","CMIP3",2030,"Add Flow
10%"
"Mean Annual UKL Stg and Inflow",1372.1452,"KAF","Water Delivery","CT","CMIP3",2030,"Add Flow
10%"
"Mean Annual Shasta Flow",188.9612,"cfs","Water Delivery","CT","CMIP3",2030,"Add Flow
10%"
"Mean Annual Scott Flow",712.1465,"cfs","Water Delivery","CT","CMIP3",2030,"Add Flow
10%"
"Mean Annual MWAT",79.4437,"degF","Water Quality","CT","CMIP3",2030,"Add Flow
10%"
"Mean exceedence of MWAT - Poor",15.7637,"degF","Water Quality","CT","CMIP3",2030,"Add Flow
10%"
"Frequency Meeting Dry Year Fish Targets Scott",69.3073,"% of Days","Ecological Resources","CT","CMIP3",2030,"Add Flow
20%"
"Frequency Meeting Dry Year Fish Targets Shasta",55.2158,"% of Days","Ecological Resources","CT","CMIP3",2030,"Add Flow
20%"
"Mean Percent of Annual Refuge Demand",17.9863,"% of Years","Ecological Resources","CT","CMIP3",2030,"Add Flow
20%"
"Mean Annual Hydropower Generated (MW)",25595.2076,"MW","Hydropower","CT","CMIP3",2030,"Add Flow
20%"
"Boyle Mean Spill Volume per year",255.8815,"KAF","Hydropower","CT","CMIP3",2030,"Add Flow
20%"
"Copco1 Mean Spill Volume per year",288.0424,"KAF","Hydropower","CT","CMIP3",2030,"Add Flow
20%"
"Iron Gate Mean Spill Volume per year",613.494,"KAF","Hydropower","CT","CMIP3",2030,"Add Flow
20%"
"Boyle Mean Spill Days per year",176.3667,"days","Hydropower","CT","CMIP3",2030,"Add Flow
20%"
"Copco1 Mean Spill Days per year",49.6667,"days","Hydropower","CT","CMIP3",2030,"Add Flow
20%"
"IronGate Mean Spill Days per year",131.8333,"days","Hydropower","CT","CMIP3",2030,"Add Flow
20%"
"Freq of UKL Flood Control Release",43.8167,"Percent of Days","Flood Control","CT","CMIP3",2030,"Add Flow
20%"
"Mean Ann UKL Flood Control Release Volume",290.6077,"KAF","Flood Control","CT","CMIP3",2030,"Add Flow
20%"
"KenoReach Mean Ann Fishing Days",251.8333,"days","Recreation Fishing","CT","CMIP3",2030,"Add Flow
20%"
"BoyleReach Mean Ann Fishing Days",156.4333,"days","Recreation Fishing","CT","CMIP3",2030,"Add Flow
20%"
"HellsCornerReach Mean Ann Fishing Days",256.1333,"days","Recreation Fishing","CT","CMIP3",2030,"Add Flow
20%"
"IGScottReach Mean Ann Fishing Days",280.3333,"days","Recreation Fishing","CT","CMIP3",2030,"Add Flow
20%"
"ScottSalmonReach Mean Ann Fishing Days",188.5,"days","Recreation Fishing","CT","CMIP3",2030,"Add Flow
20%"
"SalmonTrinityReach Mean Ann Fishing Days",221.1,"days","Recreation Fishing","CT","CMIP3",2030,"Add Flow
20%"
"TrinityOceanReach Mean Ann Fishing Days",254.6,"days","Recreation Fishing","CT","CMIP3",2030,"Add Flow
20%"
"KenoReach Mean Ann Boating Days",177.2333,"days","Recreation Boating","CT","CMIP3",2030,"Add Flow
20%"
"BoyleReach Mean Ann Boating Days",52.1667,"days","Recreation Boating","CT","CMIP3",2030,"Add Flow
20%"
"HellsCornerReach Mean Ann Boating Days",200.6,"days","Recreation Boating","CT","CMIP3",2030,"Add Flow
20%"
"IGScottReach Mean Ann Boating Days",280.3333,"days","Recreation Boating","CT","CMIP3",2030,"Add Flow
20%"
"ScottSalmonReach Mean Ann Boating Days",248.9667,"days","Recreation Boating","CT","CMIP3",2030,"Add Flow
20%"
"SalmonTrinityReach Mean Ann Boating Days",221.1,"days","Recreation Boating","CT","CMIP3",2030,"Add Flow
20%"
"TrinityOceanReach Mean Ann Boating Days",254.6,"days","Recreation Boating","CT","CMIP3",2030,"Add Flow
20%"
"Mean Percent Full Supply (Apr-Sep)",91.7924,"%","Water Delivery","CT","CMIP3",2030,"Add Flow
20%"
"Mean Annual UKL Stg and Inflow",1372.1452,"KAF","Water Delivery","CT","CMIP3",2030,"Add Flow
20%"
"Mean Annual Shasta Flow",188.9612,"cfs","Water Delivery","CT","CMIP3",2030,"Add Flow
20%"
"Mean Annual Scott Flow",712.1465,"cfs","Water Delivery","CT","CMIP3",2030,"Add Flow
20%"
"Mean Annual MWAT",79.142,"degF","Water Quality","CT","CMIP3",2030,"Add Flow
20%"
"Mean exceedence of MWAT - Poor",15.462,"degF","Water Quality","CT","CMIP3",2030,"Add Flow
20%"
"Frequency Meeting Dry Year Fish Targets Scott",69.3073,"% of Days","Ecological Resources","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"Frequency Meeting Dry Year Fish Targets Shasta",55.2158,"% of Days","Ecological Resources","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"Mean Percent of Annual Refuge Demand",17.9863,"% of Years","Ecological Resources","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"Mean Annual Hydropower Generated (MW)",25595.2076,"MW","Hydropower","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"Boyle Mean Spill Volume per year",255.8815,"KAF","Hydropower","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"Copco1 Mean Spill Volume per year",288.0424,"KAF","Hydropower","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"Iron Gate Mean Spill Volume per year",613.494,"KAF","Hydropower","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"Boyle Mean Spill Days per year",176.3667,"days","Hydropower","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"Copco1 Mean Spill Days per year",49.6667,"days","Hydropower","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"IronGate Mean Spill Days per year",131.8333,"days","Hydropower","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"Freq of UKL Flood Control Release",43.8167,"Percent of Days","Flood Control","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"Mean Ann UKL Flood Control Release Volume",290.6077,"KAF","Flood Control","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"KenoReach Mean Ann Fishing Days",251.8333,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"BoyleReach Mean Ann Fishing Days",156.4333,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"HellsCornerReach Mean Ann Fishing Days",256.1333,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"IGScottReach Mean Ann Fishing Days",280.3333,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"ScottSalmonReach Mean Ann Fishing Days",188.5,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"SalmonTrinityReach Mean Ann Fishing Days",221.1,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"TrinityOceanReach Mean Ann Fishing Days",254.6,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"KenoReach Mean Ann Boating Days",177.2333,"days","Recreation Boating","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"BoyleReach Mean Ann Boating Days",52.1667,"days","Recreation Boating","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"HellsCornerReach Mean Ann Boating Days",200.6,"days","Recreation Boating","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"IGScottReach Mean Ann Boating Days",280.3333,"days","Recreation Boating","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"ScottSalmonReach Mean Ann Boating Days",248.9667,"days","Recreation Boating","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"SalmonTrinityReach Mean Ann Boating Days",221.1,"days","Recreation Boating","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"TrinityOceanReach Mean Ann Boating Days",254.6,"days","Recreation Boating","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"Mean Percent Full Supply (Apr-Sep)",91.7924,"%","Water Delivery","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"Mean Annual UKL Stg and Inflow",1372.1452,"KAF","Water Delivery","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"Mean Annual Shasta Flow",188.9612,"cfs","Water Delivery","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"Mean Annual Scott Flow",712.1465,"cfs","Water Delivery","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"Mean Annual MWAT",76.4463,"degF","Water Quality","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"Mean exceedence of MWAT - Poor",12.7663,"degF","Water Quality","CT","CMIP3",2030,"Reduce
Tribs
4degC"
"Frequency Meeting Dry Year Fish Targets Scott",69.3073,"% of Days","Ecological Resources","CT","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"Frequency Meeting Dry Year Fish Targets Shasta",55.2158,"% of Days","Ecological Resources","CT","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"Mean Percent of Annual Refuge Demand",17.9863,"% of Years","Ecological Resources","CT","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"Mean Annual Hydropower Generated (MW)",25595.2076,"MW","Hydropower","CT","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"Boyle Mean Spill Volume per year",255.8815,"KAF","Hydropower","CT","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"Copco1 Mean Spill Volume per year",288.0424,"KAF","Hydropower","CT","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"Iron Gate Mean Spill Volume per year",613.494,"KAF","Hydropower","CT","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"Boyle Mean Spill Days per year",176.3667,"days","Hydropower","CT","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"Copco1 Mean Spill Days per year",49.6667,"days","Hydropower","CT","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"IronGate Mean Spill Days per year",131.8333,"days","Hydropower","CT","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"Freq of UKL Flood Control Release",43.8167,"Percent of Days","Flood Control","CT","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"Mean Ann UKL Flood Control Release Volume",290.6077,"KAF","Flood Control","CT","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"KenoReach Mean Ann Fishing Days",251.8333,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"BoyleReach Mean Ann Fishing Days",156.4333,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"HellsCornerReach Mean Ann Fishing Days",256.1333,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"IGScottReach Mean Ann Fishing Days",280.3333,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"ScottSalmonReach Mean Ann Fishing Days",188.5,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"SalmonTrinityReach Mean Ann Fishing Days",221.1,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
