"measure","scenario","period","climset","strategy","value_hist","pctchange","colournm"
"BoyleReach Mean Ann Fishing Days","1",2070,"CMIP3","Baseline",154.9,-22.6597805035507,"1"
"BoyleReach Mean Ann Fishing Days","1",2070,"CMIP3","Reduce ET 30%",154.9,-23.2408005164622,"1"
"BoyleReach Mean Ann Fishing Days","1",2070,"CMIP3","Reduce ET 50%",154.9,-23.9939961265333,"1"
"BoyleReach Mean Ann Fishing Days","1",2070,"CMIP3","Add 30KAF",154.9,-24.6395739186572,"1"
"BoyleReach Mean Ann Fishing Days","1",2070,"CMIP5","Baseline",154.9,-18.6786959328599,"1"
"BoyleReach Mean Ann Fishing Days","1",2070,"CMIP5","Reduce ET 30%",154.9,-19.3673337637185,"1"
"BoyleReach Mean Ann Fishing Days","1",2070,"CMIP5","Reduce ET 50%",154.9,-19.5825048418334,"1"
"BoyleReach Mean Ann Fishing Days","1",2070,"CMIP5","Add 30KAF",154.9,-21.4116849580374,"1"
"BoyleReach Mean Ann Fishing Days","2",2070,"CMIP3","Baseline",154.9,13.8368624919303,"3"
"BoyleReach Mean Ann Fishing Days","2",2070,"CMIP3","Reduce ET 30%",154.9,12.8469980632666,"3"
"BoyleReach Mean Ann Fishing Days","2",2070,"CMIP3","Reduce ET 50%",154.9,12.2659780503551,"3"
"BoyleReach Mean Ann Fishing Days","2",2070,"CMIP3","Add 30KAF",154.9,11.2761136216914,"3"
"BoyleReach Mean Ann Fishing Days","2",2070,"CMIP5","Baseline",154.9,13.6216914138154,"3"
"BoyleReach Mean Ann Fishing Days","2",2070,"CMIP5","Reduce ET 30%",154.9,12.8900581020013,"3"
"BoyleReach Mean Ann Fishing Days","2",2070,"CMIP5","Reduce ET 50%",154.9,12.0508069722401,"3"
"BoyleReach Mean Ann Fishing Days","2",2070,"CMIP5","Add 30KAF",154.9,10.8026468689477,"3"
"BoyleReach Mean Ann Fishing Days","3",2070,"CMIP3","Baseline",154.9,-10.6305358295675,"2"
"BoyleReach Mean Ann Fishing Days","3",2070,"CMIP3","Reduce ET 30%",154.9,-12.3090380890897,"2"
"BoyleReach Mean Ann Fishing Days","3",2070,"CMIP3","Reduce ET 50%",154.9,-13.1697869593286,"2"
"BoyleReach Mean Ann Fishing Days","3",2070,"CMIP3","Add 30KAF",154.9,-13.0837314396385,"2"
"BoyleReach Mean Ann Fishing Days","3",2070,"CMIP5","Baseline",154.9,-10.9102646868948,"2"
"BoyleReach Mean Ann Fishing Days","3",2070,"CMIP5","Reduce ET 30%",154.9,-11.1899935442221,"2"
"BoyleReach Mean Ann Fishing Days","3",2070,"CMIP5","Reduce ET 50%",154.9,-12.3305358295675,"2"
"BoyleReach Mean Ann Fishing Days","3",2070,"CMIP5","Add 30KAF",154.9,-11.6849580374435,"2"
"BoyleReach Mean Ann Fishing Days","4",2070,"CMIP3","Baseline",154.9,27.9320206584893,"4"
"BoyleReach Mean Ann Fishing Days","4",2070,"CMIP3","Reduce ET 30%",154.9,26.9636539703034,"4"
"BoyleReach Mean Ann Fishing Days","4",2070,"CMIP3","Reduce ET 50%",154.9,26.2750161394448,"4"
"BoyleReach Mean Ann Fishing Days","4",2070,"CMIP3","Add 30KAF",154.9,26.468689477082,"4"
"BoyleReach Mean Ann Fishing Days","4",2070,"CMIP5","Baseline",154.9,25.6724983860555,"4"
"BoyleReach Mean Ann Fishing Days","4",2070,"CMIP5","Reduce ET 30%",154.9,24.7901872175597,"4"
"BoyleReach Mean Ann Fishing Days","4",2070,"CMIP5","Reduce ET 50%",154.9,24.768689477082,"4"
"BoyleReach Mean Ann Fishing Days","4",2070,"CMIP5","Add 30KAF",154.9,23.8433182698515,"4"
"BoyleReach Mean Ann Fishing Days","5",2070,"CMIP3","Baseline",154.9,-1.4202711426727,"2"
"BoyleReach Mean Ann Fishing Days","5",2070,"CMIP3","Reduce ET 30%",154.9,-2.73292446739833,"2"
"BoyleReach Mean Ann Fishing Days","5",2070,"CMIP3","Reduce ET 50%",154.9,-3.42156229825695,"2"
"BoyleReach Mean Ann Fishing Days","5",2070,"CMIP3","Add 30KAF",154.9,-3.1202711426727,"2"
"BoyleReach Mean Ann Fishing Days","5",2070,"CMIP5","Baseline",154.9,5.37979341510653,"3"
"BoyleReach Mean Ann Fishing Days","5",2070,"CMIP5","Reduce ET 30%",154.9,4.34686894770819,"3"
"BoyleReach Mean Ann Fishing Days","5",2070,"CMIP5","Reduce ET 50%",154.9,3.44306003873467,"3"
"BoyleReach Mean Ann Fishing Days","5",2070,"CMIP5","Add 30KAF",154.9,2.96965784377017,"3"
"HellsCornerReach Mean Ann Fishing Days","1",2070,"CMIP3","Baseline",220.4333,3.90140691084332,"3"
"HellsCornerReach Mean Ann Fishing Days","1",2070,"CMIP3","Reduce ET 30%",220.4333,3.58385053437934,"3"
"HellsCornerReach Mean Ann Fishing Days","1",2070,"CMIP3","Reduce ET 50%",220.4333,3.19071574031691,"3"
