"measure","scenario","period","climset","strategy","value","value_hist"
"BoyleReach Mean Ann Boating Days","HW",2070,"CMIP3","Reduce ET 50%",54.4667,59
"BoyleReach Mean Ann Boating Days","HW",2070,"CMIP5","Add 30KAF",50.5333,59
"BoyleReach Mean Ann Boating Days","HW",2070,"CMIP5","Baseline",50.7333,59
"BoyleReach Mean Ann Boating Days","HW",2070,"CMIP5","Reduce ET 30%",50.7667,59
"BoyleReach Mean Ann Boating Days","HW",2070,"CMIP5","Reduce ET 50%",51.2,59
"BoyleReach Mean Ann Boating Days","CT",2070,"CMIP3","Add 30KAF",50.2333,59
"BoyleReach Mean Ann Boating Days","CT",2070,"CMIP3","Baseline",50.8,59
"BoyleReach Mean Ann Boating Days","CT",2070,"CMIP3","Reduce ET 30%",51.3667,59
"BoyleReach Mean Ann Boating Days","CT",2070,"CMIP3","Reduce ET 50%",51.5333,59
"BoyleReach Mean Ann Boating Days","CT",2070,"CMIP5","Add 30KAF",53.0667,59
"BoyleReach Mean Ann Boating Days","CT",2070,"CMIP5","Baseline",51.3667,59
"BoyleReach Mean Ann Boating Days","CT",2070,"CMIP5","Reduce ET 30%",51.6667,59
"BoyleReach Mean Ann Boating Days","CT",2070,"CMIP5","Reduce ET 50%",52.4,59
"HellsCornerReach Mean Ann Boating Days","WD",2030,"CMIP3","Add 30KAF",215.3,256
"HellsCornerReach Mean Ann Boating Days","WD",2030,"CMIP3","Baseline",210.9667,256
"HellsCornerReach Mean Ann Boating Days","WD",2030,"CMIP3","Reduce ET 30%",211.4,256
"HellsCornerReach Mean Ann Boating Days","WD",2030,"CMIP3","Reduce ET 50%",211.4667,256
"HellsCornerReach Mean Ann Boating Days","WD",2030,"CMIP5","Add 30KAF",216.6333,256
"HellsCornerReach Mean Ann Boating Days","WD",2030,"CMIP5","Baseline",209.3333,256
"HellsCornerReach Mean Ann Boating Days","WD",2030,"CMIP5","Reduce ET 30%",211.2333,256
"HellsCornerReach Mean Ann Boating Days","WD",2030,"CMIP5","Reduce ET 50%",212.3667,256
"HellsCornerReach Mean Ann Boating Days","WW",2030,"CMIP3","Add 30KAF",230.9667,256
"HellsCornerReach Mean Ann Boating Days","WW",2030,"CMIP3","Baseline",224.4667,256
"HellsCornerReach Mean Ann Boating Days","WW",2030,"CMIP3","Reduce ET 30%",225.0333,256
"HellsCornerReach Mean Ann Boating Days","WW",2030,"CMIP3","Reduce ET 50%",224.8333,256
"HellsCornerReach Mean Ann Boating Days","WW",2030,"CMIP5","Add 30KAF",212.5,256
"HellsCornerReach Mean Ann Boating Days","WW",2030,"CMIP5","Baseline",209.7667,256
"HellsCornerReach Mean Ann Boating Days","WW",2030,"CMIP5","Reduce ET 30%",210.5,256
"HellsCornerReach Mean Ann Boating Days","WW",2030,"CMIP5","Reduce ET 50%",210.3667,256
"HellsCornerReach Mean Ann Boating Days","HD",2030,"CMIP3","Add 30KAF",183.7,256
