"measure","scenario","period","climset","value","value_hist"
"KenoReach Mean Ann Boating Days","CT",2070,"CMIP5",167.2,171.8
"SalmonTrinityReach Mean Ann Boating Days","WD",2030,"CMIP3",231.9667,213.9333
"SalmonTrinityReach Mean Ann Boating Days","WD",2030,"CMIP5",233.6667,213.9333
"SalmonTrinityReach Mean Ann Boating Days","WW",2030,"CMIP3",199.6667,213.9333
"SalmonTrinityReach Mean Ann Boating Days","WW",2030,"CMIP5",206.3667,213.9333
"SalmonTrinityReach Mean Ann Boating Days","HD",2030,"CMIP3",244.0667,213.9333
"SalmonTrinityReach Mean Ann Boating Days","HD",2030,"CMIP5",242.2667,213.9333
"SalmonTrinityReach Mean Ann Boating Days","HW",2030,"CMIP3",211.4333,213.9333
"SalmonTrinityReach Mean Ann Boating Days","HW",2030,"CMIP5",214.5667,213.9333
"SalmonTrinityReach Mean Ann Boating Days","CT",2030,"CMIP3",221.1,213.9333
"SalmonTrinityReach Mean Ann Boating Days","CT",2030,"CMIP5",222.4333,213.9333
"SalmonTrinityReach Mean Ann Boating Days","WD",2070,"CMIP3",243.4667,213.9333
"SalmonTrinityReach Mean Ann Boating Days","WD",2070,"CMIP5",238.1,213.9333
"SalmonTrinityReach Mean Ann Boating Days","WW",2070,"CMIP3",207.2,213.9333
"SalmonTrinityReach Mean Ann Boating Days","WW",2070,"CMIP5",206.2,213.9333
"SalmonTrinityReach Mean Ann Boating Days","HD",2070,"CMIP3",249.5333,213.9333
"SalmonTrinityReach Mean Ann Boating Days","HD",2070,"CMIP5",246.1667,213.9333
"SalmonTrinityReach Mean Ann Boating Days","HW",2070,"CMIP3",221.6667,213.9333
"SalmonTrinityReach Mean Ann Boating Days","HW",2070,"CMIP5",220,213.9333
"SalmonTrinityReach Mean Ann Boating Days","CT",2070,"CMIP3",223.9,213.9333
"SalmonTrinityReach Mean Ann Boating Days","CT",2070,"CMIP5",220.3333,213.9333
"ScottSalmonReach Mean Ann Boating Days","WD",2030,"CMIP3",257.3,249.2333
"ScottSalmonReach Mean Ann Boating Days","WD",2030,"CMIP5",255.4667,249.2333
"ScottSalmonReach Mean Ann Boating Days","WW",2030,"CMIP3",231.8333,249.2333
