Datetime,Stage,Flow
2019-02-27,14.9125,34846.0416667
2019-02-28,14.9333333333,34863.2083333
2019-03-01,12.5208333333,24557.9583333
2019-03-02,11.2541666667,19724.875
2019-03-03,10.96,18663.6
