"","scen","Accretion","Wyear","Flow"
"124","Alt_5","I1",1984,2277.54521975698
"125","Alt_5","I1",1985,2300.55347322672
"126","Alt_5","I1",1986,1389.52108318145
"127","Alt_5","I1",1987,1566.07526758912
"128","Alt_5","I1",1988,1540.11797981572
"129","Alt_5","I1",1989,1334.64936701624
"130","Alt_5","I1",1990,2733.4837028706
"131","Alt_5","I1",1991,1463.92508054049
"132","Alt_5","I1",1992,1332.50526284608
"133","Alt_5","I1",1993,1233.08996525721
"134","Alt_5","I1",1994,893.992539029183
"135","Alt_5","I1",1995,1060.04771751056
"136","Alt_5","I1",1996,839.994846254826
"137","Alt_5","I1",1997,1004.30554327586
"138","Alt_5","I1",1998,1637.87589588765
"139","Alt_5","I1",1999,1227.17814032066
"140","Alt_5","I1",2000,1949.82707064016
"141","Alt_5","I1",2001,827.498687960607
"142","Alt_5","I1",2002,1331.27106014344
"143","Alt_5","I1",2003,1362.03419782659
"144","Alt_5","I1",2004,1488.07987695345
"145","Alt_5","I1",2005,1193.88614221713
"146","Alt_5","I1",2006,1236.03522976336
"147","Alt_5","I1",2007,1661.53354030892
"148","Alt_5","I1",2008,1872.41218103452
"149","Alt_5","I1",2009,1031.47841755579
"150","Alt_5","I1",2010,1428.65697331478
"151","Alt_5","I1",2011,1323.51063497277
"152","Alt_5","I1",2012,2712.65863096089
"153","Alt_5","I1",2013,1525.7317955931
"154","Alt_5","I1",2014,1328.83643334772
"155","Alt_5","I1",2015,1526.68642089153
"156","Alt_5","I1",2016,1093.48664054956
"157","Alt_5","I1",2017,1539.87758819577
"158","Alt_5","I1",2018,1361.31949200355
"159","Alt_5","I1",2019,1480.05914313635
"160","Alt_5","I1",2020,1541.55548721763
"161","Alt_5","I15",1981,575.86584697867
"162","Alt_5","I15",1982,720.321637828524
"163","Alt_5","I15",1983,519.304083481876
"164","Alt_5","I15",1984,484.827135151888
"165","Alt_5","I15",1985,671.389756283862
"166","Alt_5","I15",1986,514.790860229772
"167","Alt_5","I15",1987,371.580736267356
"168","Alt_5","I15",1988,365.421882782959
"169","Alt_5","I15",1989,350.293705499135
"170","Alt_5","I15",1990,682.322965860127
"171","Alt_5","I15",1991,428.30770964291
"172","Alt_5","I15",1992,471.432976555214
"173","Alt_5","I15",1993,405.013652529257
"174","Alt_5","I15",1994,295.815955357729
"175","Alt_5","I15",1995,364.971195992969
"176","Alt_5","I15",1996,303.943894302862
"177","Alt_5","I15",1997,302.8483382467
"178","Alt_5","I15",1998,479.968029876619
"179","Alt_5","I15",1999,357.057868105017
"180","Alt_5","I15",2000,484.807979333601
"181","Alt_5","I15",2001,299.422282033627
"182","Alt_5","I15",2002,470.996322471348
"183","Alt_5","I15",2003,357.481161715661
"184","Alt_5","I15",2004,435.374796366471
"185","Alt_5","I15",2005,430.506920791047
"186","Alt_5","I15",2006,405.981037217317
"187","Alt_5","I15",2007,486.900736438632
"188","Alt_5","I15",2008,449.018620016778
"189","Alt_5","I15",2009,311.04231852233
"190","Alt_5","I15",2010,400.209951212572
