Date,I1,I15,I91
10/1/1980,1.9791343,0.715807797,0.167663081
10/2/1980,1.925263051,0.745480705,0.205451813
10/3/1980,1.748002294,0.745480705,0.2201479
10/4/1980,1.477869316,0.690238291,0.234058337
10/5/1980,1.778727047,0.563999576,0.275580463
10/6/1980,1.872177837,0.661094044,0.230226046
10/7/1980,1.788075537,0.666754355,0.23356092
10/8/1980,1.766519409,0.666754355,0.234165691
10/9/1980,1.810646668,0.666754355,0.22849078
10/10/1980,2.675552688,0.665999646,0.197849365
10/11/1980,1.684907635,0.687942504,0.189082593
10/12/1980,1.16880566,0.687942504,0.163107273
10/13/1980,1.54525275,0.687942504,0.189037373
10/14/1980,1.986641127,0.682282193,0.188675615
10/15/1980,2.520785948,0.682282193,0.217208614
10/16/1980,2.561876262,0.682282193,0.203479057
10/17/1980,2.225586041,0.631766828,0.098009067
10/18/1980,1.820438932,0.648406483,0.064069542
10/19/1980,1.98890868,0.648406483,0.086376534
10/20/1980,1.880899793,0.663783015,0.068362488
10/21/1980,2.40131742,0.685292196,0.053900956
10/22/1980,2.326445043,0.685292196,0.068181609
10/23/1980,2.408023532,0.685292196,0.007958682
10/24/1980,2.796373833,0.682650718,0.052815682
10/25/1980,2.707255232,0.696370941,0.058473679
10/26/1980,2.596228419,0.696370941,0.057371489
10/27/1980,2.685586222,0.71280038,0.212686636
10/28/1980,3.026147746,0.71280038,0.299673466
10/29/1980,2.680843545,0.692220046,0.29857421
10/30/1980,2.557510478,0.675675376,0.186341101
10/31/1980,2.505812611,0.635138354,0.103050902
11/1/1980,2.139004691,0.722448863,0.078547988
11/2/1980,2.152279327,0.661955153,0.080464133
11/3/1980,2.568266989,0.661955153,0.089909202
11/4/1980,3.070396468,0.662038722,0.084748622
11/5/1980,2.816329049,0.654559379,0.074806136
11/6/1980,2.442629361,0.654559379,0.159071322
11/7/1980,2.354561116,0.641483048,0.285031056
11/8/1980,2.604373046,0.641483048,0.291836462
11/9/1980,3.212132836,0.654559379,0.286223685
