Date,ACHO,doy,ADDO Ag,MHPO - Spill,NOCO,ST48,FFF,LRDC,LKNWR
2020-01-01,0.0,1,0.00855618740239878,0.0,0.009089571955822526,0.0,0.001916122258823659,0.0035984200470887697,0.0009030225765007614
2020-01-02,0.0,2,0.008485878851735927,0.0,0.008989095254955976,0.0,0.002043737994862588,0.003431833198020299,0.000940117802127016
2020-01-03,0.0,3,0.009069939622374325,0.0,0.008657746866692906,0.0,0.001969684559534851,0.002945033716428317,0.00093457874066559
2020-01-04,0.0,4,0.010104606665624289,0.0,0.009316712530352003,0.0,0.002091929907890172,0.002859192665192953,0.0011101076895333065
2020-01-05,0.0,5,0.009775052933466116,0.0,0.010002802960198273,0.0,0.0020377008061490884,0.002624692496450824,0.0011227057689152057
2020-01-06,0.0,6,0.009835848300218435,0.0,0.010816521474540727,0.0,0.0020259508329261568,0.0022689341682728434,0.0011091658408983868
2020-01-07,0.0,7,0.010375603008266546,0.0,0.010770914163564642,0.0,0.001968197446741683,0.0022191319598702515,0.0010441521695138357
2020-01-08,0.0,8,0.009985463593547765,0.0,0.010219984026487234,0.0,0.0018128018597872628,0.0026822691043850533,0.0010447676207873272
2020-01-09,0.0,9,0.00992492685391555,0.0,0.009670491294500561,0.0,0.0022153765542366186,0.0027348483992035997,0.0010435367182403438
2020-01-10,0.0,10,0.010107550518107763,0.0,0.00932585207717085,8.072864289154313e-05,0.0020457673414423713,0.0030122433926041904,0.0011278093571836963
2020-01-11,0.0,11,0.010708439898050379,0.0,0.009591444509052775,0.0001845226123235272,0.002049804345389526,0.004180974306533462,0.0008529334746890453
2020-01-12,0.0,12,0.01063652717856351,0.0,0.01046499746201203,8.441909513801368e-05,0.0019078970863821026,0.003612835006292023,0.0009489045824931093
2020-01-13,0.0,13,0.010438140204372049,0.0,0.010610665491883404,0.0,0.0020683218515599113,0.003623481534154979,0.0008292502104215693
2020-01-14,0.0,14,0.009860629569310907,0.0,0.011198111996900845,0.0,0.0018388253261292643,0.004276597419405788,0.0007563737592852178
2020-01-15,0.0,15,0.010076666920240543,0.0,0.01140621327774471,0.0,0.002207086628013306,0.0038562322405569062,0.0008499712769823888
2020-01-16,0.0,16,0.01051680580377581,0.0,0.01067045252184594,0.0,0.0021195300615542514,0.0034904283865591027,0.000954973892233523
2020-01-17,0.0,17,0.010628330425699434,0.0,0.010538918550172938,0.0,0.002403600264140072,0.0038356998121714405,0.0008499343667599621
2020-01-18,0.0,18,0.009956334968131439,0.0,0.009842877462623745,0.0,0.0023925828427210755,0.00406204775250599,0.0007710274265782885
2020-01-19,0.0,19,0.00992024721468105,0.0,0.008478260668034435,0.0,0.0023743720938624916,0.004043895893489373,0.000773563052117109
2020-01-20,0.0,20,0.009415355160834912,0.0,0.007719483545252537,0.0,0.0023670923802292087,0.003959692509583822,0.0007723321495701255
2020-01-21,0.0,21,0.009288372591091056,0.0,0.007938094389511255,0.0,0.0025893368296580565,0.003754536964488016,0.00076921798298024
2020-01-22,0.0,22,0.008750881773626484,0.0,0.008021939439811016,0.0,0.0025686112757661497,0.003313745233171263,0.0008007289401284934
2020-01-23,0.0,23,0.008409573017960725,0.0,0.008506666015612317,0.0,0.0025530932961631064,0.003465506727354463,0.0009458847001137098
2020-01-24,0.0,24,0.008540213264116397,0.0,0.008122211322913754,0.0,0.002661537910163386,0.003286414870562397,0.0009508452205240705
2020-01-25,0.0,25,0.008133301391114336,0.0,0.00714268925691015,0.0,0.0027392128521976857,0.003048571618007777,0.0009472263333279733
