"measure","value","units","category","scenario","climset","period","strategy"
"KenoReach Mean Ann Fishing Days",251.8333,"days","Recreation Fishing","CT","CMIP3",2030,"Baseline"
"BoyleReach Mean Ann Fishing Days",156.4333,"days","Recreation Fishing","CT","CMIP3",2030,"Baseline"
"HellsCornerReach Mean Ann Fishing Days",256.1333,"days","Recreation Fishing","CT","CMIP3",2030,"Baseline"
"IGScottReach Mean Ann Fishing Days",280.3333,"days","Recreation Fishing","CT","CMIP3",2030,"Baseline"
"ScottSalmonReach Mean Ann Fishing Days",188.5,"days","Recreation Fishing","CT","CMIP3",2030,"Baseline"
"SalmonTrinityReach Mean Ann Fishing Days",221.1,"days","Recreation Fishing","CT","CMIP3",2030,"Baseline"
"TrinityOceanReach Mean Ann Fishing Days",254.6,"days","Recreation Fishing","CT","CMIP3",2030,"Baseline"
"KenoReach Mean Ann Boating Days",177.2333,"days","Recreation Boating","CT","CMIP3",2030,"Baseline"
"BoyleReach Mean Ann Boating Days",52.1667,"days","Recreation Boating","CT","CMIP3",2030,"Baseline"
"HellsCornerReach Mean Ann Boating Days",200.6,"days","Recreation Boating","CT","CMIP3",2030,"Baseline"
"IGScottReach Mean Ann Boating Days",280.3333,"days","Recreation Boating","CT","CMIP3",2030,"Baseline"
"ScottSalmonReach Mean Ann Boating Days",248.9667,"days","Recreation Boating","CT","CMIP3",2030,"Baseline"
"SalmonTrinityReach Mean Ann Boating Days",221.1,"days","Recreation Boating","CT","CMIP3",2030,"Baseline"
"TrinityOceanReach Mean Ann Boating Days",254.6,"days","Recreation Boating","CT","CMIP3",2030,"Baseline"
"Mean Project Supply (Apr-Sep)",357.9902,"KAF","Water Delivery","CT","CMIP3",2030,"Baseline"
"Mean Annual UKL Stg and Inflow",1372.1452,"KAF","Water Delivery","CT","CMIP3",2030,"Baseline"
"Mean Annual Shasta Flow",188.9612,"cfs","Water Delivery","CT","CMIP3",2030,"Baseline"
"Mean Annual Scott Flow",712.1465,"cfs","Water Delivery","CT","CMIP3",2030,"Baseline"
"Mean Annual MWAT",79.8731,"degF","Water Quality","CT","CMIP3",2030,"Baseline"
"Mean exceedence of MWAT - Poor",16.1931,"degF","Water Quality","CT","CMIP3",2030,"Baseline"
"Frequency Meeting Dry Year Fish Targets Scott",68.6502,"% of Days","Ecological Resources","CT","CMIP3",2030,"Reduce
ET 30%"
"Frequency Meeting Dry Year Fish Targets Shasta",54.9329,"% of Days","Ecological Resources","CT","CMIP3",2030,"Reduce
ET 30%"
"Mean Annual Water Delivery to LKNWR",18.3424,"KAF","Ecological Resources","CT","CMIP3",2030,"Reduce
ET 30%"
"Mean Annual Hydropower Generated (MW)",25714.7781,"MW","Hydropower","CT","CMIP3",2030,"Reduce
ET 30%"
"Boyle Mean Spill Volume per Year",256.5593,"KAF","Hydropower","CT","CMIP3",2030,"Reduce
ET 30%"
"Copco1 Mean Spill Volume per Year",288.935,"KAF","Hydropower","CT","CMIP3",2030,"Reduce
ET 30%"
"Iron Gate Mean Spill Volume per Year",616.4567,"KAF","Hydropower","CT","CMIP3",2030,"Reduce
ET 30%"
"Boyle Mean Spill Days per Year",176.4333,"days","Hydropower","CT","CMIP3",2030,"Reduce
ET 30%"
"Copco1 Mean Spill Days per Year",49.9333,"days","Hydropower","CT","CMIP3",2030,"Reduce
ET 30%"
"Iron Gate Mean Spill Days per Year",133.5,"days","Hydropower","CT","CMIP3",2030,"Reduce
ET 30%"
"Freq of UKL Flood Control Release",42.3017,"Percent of Days","Flood Control","CT","CMIP3",2030,"Reduce
ET 30%"
"Mean Ann UKL Flood Control Release Volume",291.2457,"KAF","Flood Control","CT","CMIP3",2030,"Reduce
ET 30%"
"KenoReach Mean Ann Fishing Days",251.1333,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce
ET 30%"
"BoyleReach Mean Ann Fishing Days",154.8333,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce
ET 30%"
"HellsCornerReach Mean Ann Fishing Days",254.6667,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce
ET 30%"
"IGScottReach Mean Ann Fishing Days",280.2667,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce
ET 30%"
"ScottSalmonReach Mean Ann Fishing Days",188.4,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce
ET 30%"
"SalmonTrinityReach Mean Ann Fishing Days",221.0667,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce
ET 30%"
"TrinityOceanReach Mean Ann Fishing Days",254.4667,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce
ET 30%"
"KenoReach Mean Ann Boating Days",179.6,"days","Recreation Boating","CT","CMIP3",2030,"Reduce
ET 30%"
"BoyleReach Mean Ann Boating Days",52.7333,"days","Recreation Boating","CT","CMIP3",2030,"Reduce
ET 30%"
"HellsCornerReach Mean Ann Boating Days",202.3,"days","Recreation Boating","CT","CMIP3",2030,"Reduce
ET 30%"
"IGScottReach Mean Ann Boating Days",280.2667,"days","Recreation Boating","CT","CMIP3",2030,"Reduce
ET 30%"
"ScottSalmonReach Mean Ann Boating Days",248.7333,"days","Recreation Boating","CT","CMIP3",2030,"Reduce
ET 30%"
"SalmonTrinityReach Mean Ann Boating Days",221.0667,"days","Recreation Boating","CT","CMIP3",2030,"Reduce
ET 30%"
"TrinityOceanReach Mean Ann Boating Days",254.4667,"days","Recreation Boating","CT","CMIP3",2030,"Reduce
ET 30%"
"Mean Project Supply (Apr-Sep)",358.4929,"KAF","Water Delivery","CT","CMIP3",2030,"Reduce
ET 30%"
"Mean Annual UKL Stg and Inflow",1377.0365,"KAF","Water Delivery","CT","CMIP3",2030,"Reduce
ET 30%"
"Mean Annual Shasta Flow",190.2655,"cfs","Water Delivery","CT","CMIP3",2030,"Reduce
ET 30%"
"Mean Annual Scott Flow",713.5683,"cfs","Water Delivery","CT","CMIP3",2030,"Reduce
ET 30%"
"Mean Annual MWAT",79.8731,"degF","Water Quality","CT","CMIP3",2030,"Reduce
ET 30%"
"Mean exceedence of MWAT - Poor",16.1931,"degF","Water Quality","CT","CMIP3",2030,"Reduce
ET 30%"
"Frequency Meeting Dry Year Fish Targets Scott",67.8653,"% of Days","Ecological Resources","CT","CMIP3",2030,"Reduce
ET 50%"
"Frequency Meeting Dry Year Fish Targets Shasta",54.3488,"% of Days","Ecological Resources","CT","CMIP3",2030,"Reduce
ET 50%"
"Mean Annual Water Delivery to LKNWR",19.5419,"KAF","Ecological Resources","CT","CMIP3",2030,"Reduce
ET 50%"
"Mean Annual Hydropower Generated (MW)",25782.5856,"MW","Hydropower","CT","CMIP3",2030,"Reduce
ET 50%"
"Boyle Mean Spill Volume per Year",257.1903,"KAF","Hydropower","CT","CMIP3",2030,"Reduce
ET 50%"
"Copco1 Mean Spill Volume per Year",289.7193,"KAF","Hydropower","CT","CMIP3",2030,"Reduce
ET 50%"
"Iron Gate Mean Spill Volume per Year",618.456,"KAF","Hydropower","CT","CMIP3",2030,"Reduce
ET 50%"
"Boyle Mean Spill Days per Year",176.5333,"days","Hydropower","CT","CMIP3",2030,"Reduce
ET 50%"
"Copco1 Mean Spill Days per Year",50.1667,"days","Hydropower","CT","CMIP3",2030,"Reduce
ET 50%"
"Iron Gate Mean Spill Days per Year",133.9333,"days","Hydropower","CT","CMIP3",2030,"Reduce
ET 50%"
"Freq of UKL Flood Control Release",41.9914,"Percent of Days","Flood Control","CT","CMIP3",2030,"Reduce
ET 50%"
"Mean Ann UKL Flood Control Release Volume",291.6687,"KAF","Flood Control","CT","CMIP3",2030,"Reduce
ET 50%"
"KenoReach Mean Ann Fishing Days",250.5,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce
ET 50%"
"BoyleReach Mean Ann Fishing Days",153.2,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce
ET 50%"
"HellsCornerReach Mean Ann Fishing Days",253.9333,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce
ET 50%"
"IGScottReach Mean Ann Fishing Days",280.1,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce
ET 50%"
"ScottSalmonReach Mean Ann Fishing Days",188.4667,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce
ET 50%"
"SalmonTrinityReach Mean Ann Fishing Days",221,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce
ET 50%"
"TrinityOceanReach Mean Ann Fishing Days",254.3667,"days","Recreation Fishing","CT","CMIP3",2030,"Reduce
ET 50%"
"KenoReach Mean Ann Boating Days",180.4333,"days","Recreation Boating","CT","CMIP3",2030,"Reduce
ET 50%"
"BoyleReach Mean Ann Boating Days",52.9333,"days","Recreation Boating","CT","CMIP3",2030,"Reduce
ET 50%"
"HellsCornerReach Mean Ann Boating Days",203.9333,"days","Recreation Boating","CT","CMIP3",2030,"Reduce
ET 50%"
"IGScottReach Mean Ann Boating Days",280.1,"days","Recreation Boating","CT","CMIP3",2030,"Reduce
ET 50%"
"ScottSalmonReach Mean Ann Boating Days",249,"days","Recreation Boating","CT","CMIP3",2030,"Reduce
ET 50%"
"SalmonTrinityReach Mean Ann Boating Days",221,"days","Recreation Boating","CT","CMIP3",2030,"Reduce
ET 50%"
"TrinityOceanReach Mean Ann Boating Days",254.3667,"days","Recreation Boating","CT","CMIP3",2030,"Reduce
ET 50%"
"Mean Project Supply (Apr-Sep)",358.8836,"KAF","Water Delivery","CT","CMIP3",2030,"Reduce
ET 50%"
"Mean Annual UKL Stg and Inflow",1380.2383,"KAF","Water Delivery","CT","CMIP3",2030,"Reduce
ET 50%"
"Mean Annual Shasta Flow",191.293,"cfs","Water Delivery","CT","CMIP3",2030,"Reduce
ET 50%"
"Mean Annual Scott Flow",714.6789,"cfs","Water Delivery","CT","CMIP3",2030,"Reduce
ET 50%"
"Mean Annual MWAT",79.8757,"degF","Water Quality","CT","CMIP3",2030,"Reduce
ET 50%"
"Mean exceedence of MWAT - Poor",16.1957,"degF","Water Quality","CT","CMIP3",2030,"Reduce
ET 50%"
"Frequency Meeting Dry Year Fish Targets Scott",69.3073,"% of Days","Ecological Resources","CT","CMIP3",2030,"Add
30KAF"
"Frequency Meeting Dry Year Fish Targets Shasta",55.2158,"% of Days","Ecological Resources","CT","CMIP3",2030,"Add
30KAF"
"Mean Annual Water Delivery to LKNWR",17.7268,"KAF","Ecological Resources","CT","CMIP3",2030,"Add
30KAF"
"Mean Annual Hydropower Generated (MW)",26027.2985,"MW","Hydropower","CT","CMIP3",2030,"Add
30KAF"
"Boyle Mean Spill Volume per Year",264.2508,"KAF","Hydropower","CT","CMIP3",2030,"Add
30KAF"
"Copco1 Mean Spill Volume per Year",298.0948,"KAF","Hydropower","CT","CMIP3",2030,"Add
30KAF"
"Iron Gate Mean Spill Volume per Year",632.0062,"KAF","Hydropower","CT","CMIP3",2030,"Add
30KAF"
"Boyle Mean Spill Days per Year",177.3333,"days","Hydropower","CT","CMIP3",2030,"Add
30KAF"
"Copco1 Mean Spill Days per Year",51.5667,"days","Hydropower","CT","CMIP3",2030,"Add
30KAF"
"Iron Gate Mean Spill Days per Year",135.2667,"days","Hydropower","CT","CMIP3",2030,"Add
30KAF"
"Freq of UKL Flood Control Release",44.3461,"Percent of Days","Flood Control","CT","CMIP3",2030,"Add
30KAF"
"Mean Ann UKL Flood Control Release Volume",299.7865,"KAF","Flood Control","CT","CMIP3",2030,"Add
30KAF"
"KenoReach Mean Ann Fishing Days",248.2,"days","Recreation Fishing","CT","CMIP3",2030,"Add
30KAF"
"BoyleReach Mean Ann Fishing Days",150.7333,"days","Recreation Fishing","CT","CMIP3",2030,"Add
30KAF"
"HellsCornerReach Mean Ann Fishing Days",251.9,"days","Recreation Fishing","CT","CMIP3",2030,"Add
30KAF"
"IGScottReach Mean Ann Fishing Days",279.0667,"days","Recreation Fishing","CT","CMIP3",2030,"Add
30KAF"
"ScottSalmonReach Mean Ann Fishing Days",188.0667,"days","Recreation Fishing","CT","CMIP3",2030,"Add
30KAF"
"SalmonTrinityReach Mean Ann Fishing Days",221.0667,"days","Recreation Fishing","CT","CMIP3",2030,"Add
30KAF"
"TrinityOceanReach Mean Ann Fishing Days",254.3333,"days","Recreation Fishing","CT","CMIP3",2030,"Add
30KAF"
"KenoReach Mean Ann Boating Days",183,"days","Recreation Boating","CT","CMIP3",2030,"Add
30KAF"
"BoyleReach Mean Ann Boating Days",53.3,"days","Recreation Boating","CT","CMIP3",2030,"Add
30KAF"
"HellsCornerReach Mean Ann Boating Days",206.2,"days","Recreation Boating","CT","CMIP3",2030,"Add
30KAF"
"IGScottReach Mean Ann Boating Days",279.0667,"days","Recreation Boating","CT","CMIP3",2030,"Add
30KAF"
"ScottSalmonReach Mean Ann Boating Days",248.7333,"days","Recreation Boating","CT","CMIP3",2030,"Add
30KAF"
"SalmonTrinityReach Mean Ann Boating Days",221.0667,"days","Recreation Boating","CT","CMIP3",2030,"Add
30KAF"
"TrinityOceanReach Mean Ann Boating Days",254.3333,"days","Recreation Boating","CT","CMIP3",2030,"Add
30KAF"
"Mean Project Supply (Apr-Sep)",361.798,"KAF","Water Delivery","CT","CMIP3",2030,"Add
30KAF"
"Mean Annual UKL Stg and Inflow",1393.353,"KAF","Water Delivery","CT","CMIP3",2030,"Add
30KAF"
"Mean Annual Shasta Flow",188.9612,"cfs","Water Delivery","CT","CMIP3",2030,"Add
30KAF"
"Mean Annual Scott Flow",712.1465,"cfs","Water Delivery","CT","CMIP3",2030,"Add
30KAF"
"Mean Annual MWAT",79.8809,"degF","Water Quality","CT","CMIP3",2030,"Add
30KAF"
"Mean exceedence of MWAT - Poor",16.2009,"degF","Water Quality","CT","CMIP3",2030,"Add
30KAF"
"Frequency Meeting Dry Year Fish Targets Scott",70.5029,"% of Days","Ecological Resources","CT","CMIP3",2070,"Historical"
"Frequency Meeting Dry Year Fish Targets Shasta",56.8769,"% of Days","Ecological Resources","CT","CMIP3",2070,"Historical"
"Mean Annual Water Delivery to LKNWR",24.6143,"KAF","Ecological Resources","CT","CMIP3",2070,"Historical"
"Mean Annual Hydropower Generated (MW)",26741.1142,"MW","Hydropower","CT","CMIP3",2070,"Historical"
"Boyle Mean Spill Volume per Year",163.0602,"KAF","Hydropower","CT","CMIP3",2070,"Historical"
"Copco1 Mean Spill Volume per Year",186.3791,"KAF","Hydropower","CT","CMIP3",2070,"Historical"
"Iron Gate Mean Spill Volume per Year",533.8601,"KAF","Hydropower","CT","CMIP3",2070,"Historical"
"Boyle Mean Spill Days per Year",105.9,"days","Hydropower","CT","CMIP3",2070,"Historical"
"Copco1 Mean Spill Days per Year",42.8,"days","Hydropower","CT","CMIP3",2070,"Historical"
"Iron Gate Mean Spill Days per Year",170.3333,"days","Hydropower","CT","CMIP3",2070,"Historical"
"Freq of UKL Flood Control Release",44.1179,"Percent of Days","Flood Control","CT","CMIP3",2070,"Historical"
"Mean Ann UKL Flood Control Release Volume",224.4786,"KAF","Flood Control","CT","CMIP3",2070,"Historical"
"KenoReach Mean Ann Fishing Days",247.6667,"days","Recreation Fishing","CT","CMIP3",2070,"Historical"
"BoyleReach Mean Ann Fishing Days",154.9,"days","Recreation Fishing","CT","CMIP3",2070,"Historical"
"HellsCornerReach Mean Ann Fishing Days",220.4333,"days","Recreation Fishing","CT","CMIP3",2070,"Historical"
"IGScottReach Mean Ann Fishing Days",274.7333,"days","Recreation Fishing","CT","CMIP3",2070,"Historical"
"ScottSalmonReach Mean Ann Fishing Days",183.9667,"days","Recreation Fishing","CT","CMIP3",2070,"Historical"
"SalmonTrinityReach Mean Ann Fishing Days",213.9333,"days","Recreation Fishing","CT","CMIP3",2070,"Historical"
"TrinityOceanReach Mean Ann Fishing Days",252.9333,"days","Recreation Fishing","CT","CMIP3",2070,"Historical"
"KenoReach Mean Ann Boating Days",171.8,"days","Recreation Boating","CT","CMIP3",2070,"Historical"
"BoyleReach Mean Ann Boating Days",59,"days","Recreation Boating","CT","CMIP3",2070,"Historical"
"HellsCornerReach Mean Ann Boating Days",256,"days","Recreation Boating","CT","CMIP3",2070,"Historical"
"IGScottReach Mean Ann Boating Days",274.7333,"days","Recreation Boating","CT","CMIP3",2070,"Historical"
"ScottSalmonReach Mean Ann Boating Days",249.2333,"days","Recreation Boating","CT","CMIP3",2070,"Historical"
"SalmonTrinityReach Mean Ann Boating Days",213.9333,"days","Recreation Boating","CT","CMIP3",2070,"Historical"
"TrinityOceanReach Mean Ann Boating Days",252.9333,"days","Recreation Boating","CT","CMIP3",2070,"Historical"
"Mean Project Supply (Apr-Sep)",361.3104,"KAF","Water Delivery","CT","CMIP3",2070,"Historical"
"Mean Annual UKL Stg and Inflow",1377.9978,"KAF","Water Delivery","CT","CMIP3",2070,"Historical"
"Mean Annual Shasta Flow",187.6871,"cfs","Water Delivery","CT","CMIP3",2070,"Historical"
"Mean Annual Scott Flow",668.7854,"cfs","Water Delivery","CT","CMIP3",2070,"Historical"
"Mean Annual MWAT",75.7443,"degF","Water Quality","CT","CMIP3",2070,"Historical"
"Mean exceedence of MWAT - Poor",12.0643,"degF","Water Quality","CT","CMIP3",2070,"Historical"
"Frequency Meeting Dry Year Fish Targets Scott",69.3894,"% of Days","Ecological Resources","CT","CMIP3",2070,"Baseline"
"Frequency Meeting Dry Year Fish Targets Shasta",56.6578,"% of Days","Ecological Resources","CT","CMIP3",2070,"Baseline"
"Mean Annual Water Delivery to LKNWR",12.4664,"KAF","Ecological Resources","CT","CMIP3",2070,"Baseline"
"Mean Annual Hydropower Generated (MW)",25923.4083,"MW","Hydropower","CT","CMIP3",2070,"Baseline"
"Boyle Mean Spill Volume per Year",378.0733,"KAF","Hydropower","CT","CMIP3",2070,"Baseline"
"Copco1 Mean Spill Volume per Year",419.0979,"KAF","Hydropower","CT","CMIP3",2070,"Baseline"
"Iron Gate Mean Spill Volume per Year",754.2105,"KAF","Hydropower","CT","CMIP3",2070,"Baseline"
"Boyle Mean Spill Days per Year",205.9667,"days","Hydropower","CT","CMIP3",2070,"Baseline"
"Copco1 Mean Spill Days per Year",54.4333,"days","Hydropower","CT","CMIP3",2070,"Baseline"
"Iron Gate Mean Spill Days per Year",141.2667,"days","Hydropower","CT","CMIP3",2070,"Baseline"
"Freq of UKL Flood Control Release",42.174,"Percent of Days","Flood Control","CT","CMIP3",2070,"Baseline"
"Mean Ann UKL Flood Control Release Volume",359.1891,"KAF","Flood Control","CT","CMIP3",2070,"Baseline"
"KenoReach Mean Ann Fishing Days",233.6333,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline"
"BoyleReach Mean Ann Fishing Days",152.7,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline"
"HellsCornerReach Mean Ann Fishing Days",244.9,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline"
"IGScottReach Mean Ann Fishing Days",271.4,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline"
"ScottSalmonReach Mean Ann Fishing Days",192.8,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline"
"SalmonTrinityReach Mean Ann Fishing Days",223.9,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline"
"TrinityOceanReach Mean Ann Fishing Days",252.7,"days","Recreation Fishing","CT","CMIP3",2070,"Baseline"
"KenoReach Mean Ann Boating Days",174.2667,"days","Recreation Boating","CT","CMIP3",2070,"Baseline"
"BoyleReach Mean Ann Boating Days",50.8,"days","Recreation Boating","CT","CMIP3",2070,"Baseline"
"HellsCornerReach Mean Ann Boating Days",176.9,"days","Recreation Boating","CT","CMIP3",2070,"Baseline"
"IGScottReach Mean Ann Boating Days",271.4,"days","Recreation Boating","CT","CMIP3",2070,"Baseline"
"ScottSalmonReach Mean Ann Boating Days",243.6667,"days","Recreation Boating","CT","CMIP3",2070,"Baseline"
"SalmonTrinityReach Mean Ann Boating Days",223.9,"days","Recreation Boating","CT","CMIP3",2070,"Baseline"
"TrinityOceanReach Mean Ann Boating Days",252.7,"days","Recreation Boating","CT","CMIP3",2070,"Baseline"
"Mean Project Supply (Apr-Sep)",360.073,"KAF","Water Delivery","CT","CMIP3",2070,"Baseline"
"Mean Annual UKL Stg and Inflow",1397.6768,"KAF","Water Delivery","CT","CMIP3",2070,"Baseline"
"Mean Annual Shasta Flow",196.5632,"cfs","Water Delivery","CT","CMIP3",2070,"Baseline"
"Mean Annual Scott Flow",755.673,"cfs","Water Delivery","CT","CMIP3",2070,"Baseline"
"Mean Annual MWAT",81.1974,"degF","Water Quality","CT","CMIP3",2070,"Baseline"
"Mean exceedence of MWAT - Poor",17.5174,"degF","Water Quality","CT","CMIP3",2070,"Baseline"
"Frequency Meeting Dry Year Fish Targets Scott",68.7414,"% of Days","Ecological Resources","CT","CMIP3",2070,"Reduce
ET 30%"
"Frequency Meeting Dry Year Fish Targets Shasta",56.4571,"% of Days","Ecological Resources","CT","CMIP3",2070,"Reduce
ET 30%"
"Mean Annual Water Delivery to LKNWR",14.199,"KAF","Ecological Resources","CT","CMIP3",2070,"Reduce
ET 30%"
"Mean Annual Hydropower Generated (MW)",26068.8609,"MW","Hydropower","CT","CMIP3",2070,"Reduce
ET 30%"
"Boyle Mean Spill Volume per Year",380.5482,"KAF","Hydropower","CT","CMIP3",2070,"Reduce
ET 30%"
"Copco1 Mean Spill Volume per Year",421.712,"KAF","Hydropower","CT","CMIP3",2070,"Reduce
ET 30%"
"Iron Gate Mean Spill Volume per Year",759.7491,"KAF","Hydropower","CT","CMIP3",2070,"Reduce
ET 30%"
"Boyle Mean Spill Days per Year",206.5667,"days","Hydropower","CT","CMIP3",2070,"Reduce
ET 30%"
"Copco1 Mean Spill Days per Year",55,"days","Hydropower","CT","CMIP3",2070,"Reduce
ET 30%"
"Iron Gate Mean Spill Days per Year",142.2,"days","Hydropower","CT","CMIP3",2070,"Reduce
ET 30%"
"Freq of UKL Flood Control Release",42.1009,"Percent of Days","Flood Control","CT","CMIP3",2070,"Reduce
ET 30%"
"Mean Ann UKL Flood Control Release Volume",361.1132,"KAF","Flood Control","CT","CMIP3",2070,"Reduce
ET 30%"
"KenoReach Mean Ann Fishing Days",231.7667,"days","Recreation Fishing","CT","CMIP3",2070,"Reduce
ET 30%"
"BoyleReach Mean Ann Fishing Days",150.6667,"days","Recreation Fishing","CT","CMIP3",2070,"Reduce
ET 30%"
"HellsCornerReach Mean Ann Fishing Days",243.3,"days","Recreation Fishing","CT","CMIP3",2070,"Reduce
ET 30%"
"IGScottReach Mean Ann Fishing Days",271.6,"days","Recreation Fishing","CT","CMIP3",2070,"Reduce
ET 30%"
"ScottSalmonReach Mean Ann Fishing Days",192.2,"days","Recreation Fishing","CT","CMIP3",2070,"Reduce
ET 30%"
"SalmonTrinityReach Mean Ann Fishing Days",224,"days","Recreation Fishing","CT","CMIP3",2070,"Reduce
ET 30%"
"TrinityOceanReach Mean Ann Fishing Days",252.6333,"days","Recreation Fishing","CT","CMIP3",2070,"Reduce
ET 30%"
"KenoReach Mean Ann Boating Days",176.8333,"days","Recreation Boating","CT","CMIP3",2070,"Reduce
ET 30%"
